"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00000,United States,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,1,"  Real GDP (millions of chained 2012 dollars) 1/",12045824.0,12623361.0,13138035.0,13263417.0,13488357.0,13865519.0,14399696.0,14901269.0,15315943.0,15623871.0,15642962.0,15236262.0,15648991.0,15891534.0,16253970.0,16553348.0,16932051.0,17390295.0,17680274.0,18076651.0,18609078.0,19036052.0,18509143.0,19609812.0
00000,United States,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13226438.1,12835528.5,13145590.4,13578992.1,14003346.0,13999660.3,14549525.5,15207440.0,15451718.3,15876254.0,16314204.8,16897074.2,17825584.2,18412541.1
00000,United States,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10654688.5,10515591.5,10716007.5,10898345.3,11047363.2,11211711.4,11515312.3,11892947.4,12187675.5,12478228.1,12837303.4,13092261.6,12700723.2,13754090.1
00000,United States,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,4,"  Gross domestic product (GDP)",9062817.0,9631172.0,10250952.0,10581929.0,10929108.0,11456450.0,12217196.0,13039197.0,13815583.0,14474228.0,14769862.0,14478067.0,15048970.0,15599731.0,16253970.0,16843196.0,17550687.0,18206023.0,18695106.0,19477337.0,20533058.0,21380976.0,21060474.0,23315081.0
00000,United States,5,"  Personal income",7601594.0,8006585.0,8654561.0,9009842.0,9157682.0,9491393.0,10037313.0,10599603.0,11374142.0,12014107.0,12475898.0,12073407.0,12586509.0,13330436.0,14003346.0,14189228.0,14969527.0,15681233.0,16092713.0,16837337.0,17671054.0,18575467.0,19812171.0,21288709.0
00000,United States,6,"  Disposable personal income",6570164.0,6895701.0,7419311.0,7771915.0,8106499.0,8488947.0,8989689.0,9388418.0,10018674.0,10523276.0,10970087.0,10922500.0,11350505.0,11878781.0,12495876.0,12515000.0,13187189.0,13743790.0,14136149.0,14790170.0,15598091.0,16379175.0,17577865.0,18629289.0
00000,United States,7,"  Personal consumption expenditures",5877248.2,6283757.5,6767179.3,7073801.0,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857.0,11047363.2,11363527.8,11847725.1,12263476.3,12693265.6,13233608.6,13904979.5,14392721.0,14116165.7,15902575.3
00000,United States,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,8,"  Real per capita personal income 4/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43495,41841,42490,43545,44548,44200,45571,47253,47636,48607,49656,51167,53772,55477
00000,United States,9,"  Real per capita PCE 5/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35037,34278,34637,34948,35144,35398,36068,36954,37574,38204,39074,39646,38313,41441
00000,United States,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,10,"  Per capita personal income 6/",27557,28693,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40683,42747,44548,44798,46887,48725,49613,51550,53786,56250,59765,64143
00000,United States,11,"  Per capita disposable personal income 7/",23818,24712,26294,27273,28184,29261,30702,31770,33577,34934,36075,35605,36688,38092,39752,39512,41304,42705,43581,45282,47477,49599,53025,56130
00000,United States,12,"  Per capita personal consumption expenditures (PCE) 8/",21306,22519,23983,24823,25550,26682,28114,29674,31092,32356,33049,32243,33164,34309,35144,35877,37109,38106,39132,40516,42323,43584,42583,47915
00000,United States,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,13,"  Regional price parities (RPPs) 9/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
00000,United States,14,"  Implicit regional price deflator 10/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
00000,United States,,Employment,,,,,,,,,,,,,,,,,,,,,,,,
00000,United States,15,"  Total employment (number of jobs)",158481200,161531300,165370800,165522200,165095100,165921500,168839700,172338400,175868600,179543700,179213900,173636700,172901700,176091700,178979700,182325100,186233800,190325800,193425900,196394100,200281200,201648200,195301600,201142600
01000,Alabama,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,1,"  Real GDP (millions of chained 2012 dollars) 1/",149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625.0,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3
01000,Alabama,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),187336.6,187152.4,187279.9,189172.7,190450.8,190336.3,193661.1,203544.4,203118.8,209348.5,219468.5,223626.5,239485.0,246873.9
01000,Alabama,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),154136.2,154251.7,152978.9,154000.3,153964.4,156274.7,158801.9,164127.8,165559.2,171213.9,180919.8,182791.4,182200.5,196126.6
01000,Alabama,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,4,"  Gross domestic product (GDP)",110212.0,115680.1,119851.7,122915.5,127505.0,134152.6,147715.2,158846.8,166469.0,172975.2,174526.3,170930.9,177249.2,183916.6,189245.5,194786.9,197406.9,202372.4,207368.4,214606.3,223859.3,231561.9,230892.1,254109.7
01000,Alabama,5,"  Personal income",99847.7,103369.4,108215.4,111947.4,114904.5,120123.4,128828.7,136861.1,145692.3,152984.4,158450.6,155913.5,162531.1,168474.3,173361.7,175185.3,181078.8,189115.4,192363.5,199191.8,206712.0,216587.5,232040.3,250828.8
01000,Alabama,6,"  Disposable personal income",88623.2,91638.9,96052.3,99428.2,103803.4,109451.3,117849.8,123979.7,130981.2,137246.0,142497.3,143477.6,149324.4,153427.5,158534.0,159063.1,164562.8,171157.0,173653.1,180348.3,188347.5,196622.7,211949.4,227447.3
01000,Alabama,7,"  Personal consumption expenditures",80481.0,85034.2,89929.0,93426.3,97418.0,102313.2,108647.0,115868.6,121798.9,127522.3,130497.7,128675.8,132956.3,137347.4,140347.7,144027.9,148689.4,152755.9,157119.9,163308.1,170793.3,177412.1,177093.9,199866.7
01000,Alabama,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,8,"  Real per capita personal income 4/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39705,39335,39114,39312,39355,39128,39629,41471,41196,42274,44102,44695,47661,48984
01000,Alabama,9,"  Real per capita PCE 5/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32668,32420,31950,32002,31816,32126,32496,33440,33578,34573,36356,36533,36260,38915
01000,Alabama,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,10,"  Per capita personal income 6/",22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33946,35010,35824,36014,37055,38531,39014,40223,41539,43288,46179,49769
01000,Alabama,11,"  Per capita disposable personal income 7/",20120,20685,21574,22255,23170,24304,26011,27130,28296,29371,30202,30155,31187,31883,32760,32699,33675,34872,35220,36418,37848,39298,42181,45130
01000,Alabama,12,"  Per capita personal consumption expenditures (PCE) 8/",18272,19194,20199,20912,21745,22719,23980,25355,26312,27290,27658,27044,27769,28542,29002,29609,30427,31123,31866,32977,34321,35458,35244,39657
01000,Alabama,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,13,"  Regional price parities (RPPs) 9/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.757,88.685,90.772,90.849,91.156,90.932,91.005,90.259,91.122,89.938,87.154,88.288,87.451,88.139
01000,Alabama,14,"  Implicit regional price deflator 10/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),84.664,83.419,86.912,89.186,91.156,92.163,93.632,93.071,94.903,95.383,94.403,97.057,97.197,101.907
01000,Alabama,,Employment,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,15,"  Total employment (number of jobs)",2361892,2378217,2392225,2376053,2364828,2371430,2425649,2486833,2545556,2604078,2582591,2479507,2460298,2497933,2503678,2523338,2551872,2587451,2619737,2649157,2692095,2712163,2671253,2738167
02000,Alaska,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,1,"  Real GDP (millions of chained 2012 dollars) 1/",41095.9,40590.5,39406.6,40958.7,42979.0,42355.3,44055.0,45657.1,49190.2,51721.0,51252.1,56215.1,54601.5,55280.3,58283.6,55354.3,54188.2,54740.8,54246.6,54278.7,53327.0,53433.8,50705.2,50869.4
02000,Alaska,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32874.4,32771.5,35717.2,36862.9,37973.4,37516.9,38785.7,39586.9,38320.5,38217.1,38939.2,39945.8,41161.8,40052.1
02000,Alaska,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),27132.4,27160.9,28769.3,29231.9,30101.0,30479.9,30847.5,31106.5,31276.5,31655.1,32365.2,33391.5,31986.2,32965.8
02000,Alaska,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,4,"  Gross domestic product (GDP)",24227.5,24744.3,26806.6,28494.1,29756.8,32037.9,35302.4,40356.6,45094.1,49583.7,55122.5,49957.8,53331.6,56896.3,58283.6,57247.7,56484.9,51490.9,50727.7,53301.5,54899.6,54728.2,50475.2,57349.4
02000,Alaska,5,"  Personal income",18136.0,18712.5,20122.4,21309.2,22325.3,23340.3,24404.3,26061.2,27793.4,29869.1,32907.7,33028.4,35452.0,37981.8,39266.0,38978.0,41210.0,42555.1,41837.4,42431.4,43981.2,45056.8,45965.1,48219.2
02000,Alaska,6,"  Disposable personal income",16167.7,16724.9,17963.3,18990.8,20286.8,21418.5,22518.7,23909.6,25373.5,27079.9,29740.1,30563.8,32781.5,34900.4,36214.2,35601.4,37647.8,38714.9,38255.9,39036.5,40765.9,41593.3,42437.8,44123.9
02000,Alaska,7,"  Personal consumption expenditures",14922.5,15857.8,17079.7,18093.4,19397.3,20522.0,21809.9,23313.9,24497.2,25924.9,27186.6,27410.3,28597.2,30162.4,31169.8,31709.4,32820.9,33496.5,34218.2,35232.3,36639.5,37743.5,35831.5,39807.1
02000,Alaska,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,8,"  Real per capita personal income 4/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47820,46890,50023,51021,51940,50832,52581,53559,51547,51509,52783,54361,56198,54666
02000,Alaska,9,"  Real per capita PCE 5/",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39468,38863,40292,40459,41172,41297,41819,42085,42072,42665,43872,45442,43671,44994
02000,Alaska,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,10,"  Per capita personal income 6/",29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49652,52569,53708,52812,55867,57575,56278,57189,59618,61316,62756,65813
02000,Alaska,11,"  Per capita disposable personal income 7/",26080,26769,28606,29967,31583,33032,34156,35849,37574,39806,43261,43732,45912,48304,49533,48237,51038,52379,51460,52613,55260,56603,57940,60223
02000,Alaska,12,"  Per capita personal consumption expenditures (PCE) 8/",24071,25381,27199,28551,30198,31649,33081,34956,36276,38108,39547,39219,40051,41747,42634,42963,44495,45319,46029,47486,49666,51364,48921,54331
02000,Alaska,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,
