GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "91000","New England",1,SAGDP2N,1,"...","All industry total ","Millions of current dollars",488807.8,514383.9,542744.5,589445.4,608694.5,622693.0,644774.7,687522.2,719221.7,759636.8,797439.6,815405.3,811243.6,839810.7,856035.1,886830.9,903108.6,931130.6,980272.5,1006667.1,1035653.9,1084681.8,1130342.9,1115240.5,1221038.6
 "91000","New England",1,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",433637.9,457388.1,482501.8,525976.3,541703.4,552374.9,571536.7,610543.5,638118.4,674723.3,707579.5,721565.7,716585.1,743746.9,756822.9,789201.3,802424.7,827478.0,873263.0,898856.3,925243.0,970925.7,1014868.7,998456.7,1099568.3
 "91000","New England",1,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",2079.9,2111.8,2250.7,2511.5,2454.8,2305.6,2430.3,2612.7,2613.9,2803.7,2815.5,2835.0,2664.9,3121.3,3107.0,3127.1,3061.5,2834.6,2859.3,2630.8,2739.4,2624.1,2724.6,2472.6,2644.3
 "91000","New England",1,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",1040.9,1064.5,1075.7,1179.9,1126.6,1022.0,1100.0,1346.6,1287.0,1211.4,1394.6,1527.2,1260.3,1464.2,1610.5,1669.9,1779.0,1559.3,1417.7,1181.1,1303.6,1259.2,1366.9,1099.4,1192.8
 "91000","New England",1,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",1039.0,1047.2,1175.0,1331.6,1328.2,1283.6,1330.3,1266.2,1326.9,1592.3,1420.9,1307.8,1404.6,1657.1,1496.5,1457.2,1282.5,1275.3,1441.6,1449.6,1435.9,1364.9,1357.6,1373.2,1451.6
 "91000","New England",1,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",227.6,281.6,304.6,330.1,367.3,384.8,425.1,458.4,484.3,582.7,705.2,580.2,618.2,664.1,610.6,631.8,584.5,664.6,777.0,893.1,773.1,794.5,773.6,758.4,763.6
 "91000","New England",1,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",1.7,1.4,0.5,0.6,0.0,0.1,1.8,2.3,2.1,1.4,4.6,5.4,1.8,1.6,2.8,3.8,4.1,3.5,3.2,5.9,0.8,0.5,2.7,0.5,0.9
 "91000","New England",1,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",214.9,268.1,289.9,313.5,358.6,376.5,410.6,442.1,473.6,570.2,682.4,554.2,598.5,639.0,574.8,598.1,545.1,624.9,742.6,856.2,737.0,762.5,728.5,730.3,736.6
 "91000","New England",1,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",10.9,12.1,14.3,16.1,8.8,8.3,12.6,14.1,8.6,11.1,18.2,20.6,18.0,23.6,33.1,30.0,35.3,36.1,31.1,31.0,35.3,31.6,42.3,27.6,26.1
 "91000","New England",1,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",8451.5,7996.3,8685.7,8574.8,9022.9,8033.8,8619.2,9332.8,9975.8,11865.3,12353.2,13791.7,13399.2,14032.4,13708.5,13824.5,14517.2,15202.9,14873.4,13916.2,15036.9,16000.5,16868.8,18416.0,20432.2
