GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "24000","Maryland",2,SAGDP3N,1,"...","All industry total ","Thousands of dollars",9576569,10214719,10484986,11644325,12360785,12993138,13567517,14510184,16788376,17561113,17765655,17358692,15859665,18168697,18295439,18864625,19652292,21384068,22116739,22670025,23859441,25187225,25967954,14022503,20917030
 "24000","Maryland",2,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",9853943,10428670,10698456,11851708,12579556,13253679,13859507,14823802,17105963,17893311,18103345,17695317,16272778,18585941,18736685,19309427,20102601,21865944,22602577,23171210,24334592,25787193,26593155,15228802,22099202
 "24000","Maryland",2,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",10407,-6991,-26443,-58023,-45260,-10060,-21883,-7719,-32884,-13943,12902,5988,4763,4347,22522,13142,26645,51025,46943,27166,23136,36823,-26849,-99972,-20527
 "24000","Maryland",2,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",7613,-9801,-29380,-61299,-48430,-13384,-25557,-12004,-38362,-20216,7235,31,-16,-1309,17058,8013,21213,45389,41290,21440,15246,28655,-34475,-97026,-22040
 "24000","Maryland",2,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",2794,2811,2937,3276,3170,3324,3674,4284,5478,6273,5667,5957,4779,5656,5464,5128,5432,5637,5653,5726,7890,8168,7625,-2946,1513
 "24000","Maryland",2,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",13509,14262,13807,15996,15364,15301,15394,16377,19738,20752,17320,15986,14986,16985,16903,17841,16529,19453,20089,22429,21936,21460,22554,4613,22322
 "24000","Maryland",2,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",222,281,120,400,1772,1246,1177,617,651,622,178,168,106,97,102,117,207,421,481,507,83,108,139,338,705
 "24000","Maryland",2,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",12602,13218,12862,14626,12894,13188,13217,14402,16556,16925,14200,12995,11722,13032,12548,13020,11851,13446,13553,15296,17257,17760,19254,1701,18732
 "24000","Maryland",2,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",684,763,824,970,699,867,1001,1358,2530,3205,2942,2822,3158,3857,4252,4703,4471,5586,6055,6626,4597,3593,3162,2574,2885
 "24000","Maryland",2,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",649786,637524,657236,696564,664067,655475,797875,948886,959495,1039124,1113780,1148313,1125646,1292981,1428593,1455937,1419073,1453493,1508340,1481325,1491812,1530782,1540365,1442948,1552540
