GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,SAGDP3N,1,"...","All industry total ","Thousands of dollars",2656203,2751843,2991917,3115097,3171726,3343318,3693712,3922174,4041674,4138657,4202487,4178258,4308227,4254012,4436000,4638892,4912031,5317152,5621064,5850746,6258935,6506579,6243773,3882728,4746687
 "33000","New Hampshire",1,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",2683797,2775204,3015125,3137623,3200545,3383510,3740542,3974635,4093505,4181256,4242137,4217279,4352739,4301660,4489043,4680965,4953408,5362271,5665713,5899898,6305639,6560791,6296308,3978634,4840391
 "33000","New Hampshire",1,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",11596,9544,9923,8016,8932,7298,6776,9091,7495,9258,13259,14298,11378,2273,10990,10885,13863,21770,20959,19919,21255,20149,20939,-9562,10124
 "33000","New Hampshire",1,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",9474,7270,7391,5419,6484,4859,4239,6235,4479,6139,9896,10645,8121,-1078,7544,7040,10056,17551,16714,15782,17137,15686,16745,-2242,11622
 "33000","New Hampshire",1,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",2122,2274,2532,2597,2448,2439,2538,2855,3017,3119,3362,3653,3257,3352,3446,3845,3806,4219,4245,4137,4118,4463,4194,-7320,-1498
 "33000","New Hampshire",1,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1874,1946,2308,2198,3740,4042,4111,4770,5393,6023,6779,6205,6196,6279,6567,7588,8141,9760,10744,12737,13867,14060,13747,14568,15668
 "33000","New Hampshire",1,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1449,1510,1834,1772,3641,4024,3979,4626,5252,5748,5793,5250,5237,5231,5212,6539,7058,8514,9159,10933,12303,12720,12303,13072,14197
 "33000","New Hampshire",1,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",424,436,474,426,99,18,132,144,141,274,986,955,959,1048,1128,1049,1083,1245,1586,1804,1564,1341,1445,1496,1471
 "33000","New Hampshire",1,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",184360,179037,183263,181346,169674,179728,187200,212836,212648,222488,227555,244081,265619,270373,283938,285428,294301,291239,289810,277598,301963,312251,281231,298009,310943
 "33000","New Hampshire",1,SAGDP3N,11,"23","  Construction ","Thousands of dollars",20745,23493,27285,29460,26191,29949,30501,34153,33473,32984,31968,28863,29736,30348,32546,32755,34292,36882,40194,42372,54464,53406,55492,-283033,-208777
 "33000","New Hampshire",1,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",287260,292199,317221,329052,339501,331881,350719,358223,355765,381605,392219,407900,386261,377790,422712,425052,523079,549430,558246,548535,646499,678515,684236,399070,494047
