GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,SAGDP3N,1,"...","All industry total ","Thousands of dollars",22857714,24068143,25185328,25971519,26722266,27558096,29336498,32168604,35589734,37158599,39447296,37905487,36422001,37494236,39322754,40982517,42452661,43663676,45611813,46304123,47809322,50834454,52058340,29140862,42844372
 "42000","Pennsylvania",2,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",23503626,24610767,25701539,26471951,27259934,28201246,30024385,32883699,36324467,37907925,40172434,38613160,37192359,38297839,40206119,41776249,43263261,44459231,46386718,47148618,48634721,51725978,52944327,30728514,44403763
 "42000","Pennsylvania",2,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",113804,94229,82336,27953,60619,36534,5990,94304,65125,88590,170282,186870,101437,169445,211542,187444,219538,298799,270491,237983,254937,249683,184149,-227675,106719
 "42000","Pennsylvania",2,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",103349,83400,70953,15392,47564,23238,-7783,78654,47789,69548,150736,165730,83463,151214,192709,168274,199048,279331,252276,219154,231609,223781,159605,-229907,95098
 "42000","Pennsylvania",2,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",10455,10829,11383,12561,13056,13296,13772,15650,17337,19042,19546,21140,17974,18232,18833,19170,20490,19467,18215,18829,23328,25902,24544,2232,11622
 "42000","Pennsylvania",2,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",201971,219130,207596,206562,198049,197644,200468,230722,285305,324773,355851,358163,373869,430458,513202,641901,679892,868579,871697,786102,928181,831253,870882,721311,991652
 "42000","Pennsylvania",2,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",37885,45554,44391,47779,45241,50308,54070,66255,96400,131188,148148,161364,170679,217913,261878,358146,408284,564550,609189,546516,673355,570402,615026,611815,780275
 "42000","Pennsylvania",2,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",157556,166158,155141,150110,145235,138603,137312,153652,174317,175660,185549,175311,172267,168971,189361,202923,192755,202525,170107,160163,172414,175348,169741,104468,165222
 "42000","Pennsylvania",2,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",6531,7418,8063,8674,7573,8733,9087,10815,14587,17925,22154,21487,30924,43574,61963,80832,78854,101505,92400,79423,82411,85503,86114,5028,46155
 "42000","Pennsylvania",2,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",1703555,1737645,1749677,1777015,1660078,1677805,1779965,1932075,2103757,2251948,2354602,2337324,2331045,2354367,2417939,2538531,2557583,2525712,2579064,2603420,2607636,2672801,2731562,2647607,2825766
 "42000","Pennsylvania",2,SAGDP3N,11,"23","  Construction ","Thousands of dollars",121555,135664,149114,156198,197937,208942,205954,231284,302110,307797,319247,238869,256885,220393,220332,226189,232461,250400,249834,266500,296324,317405,338805,-2497259,-873282
 "42000","Pennsylvania",2,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",1362144,1426525,1486148,1546541,1565984,1590847,1599157,1736031,1947348,2045896,2115520,1859449,1863208,1711016,1932752,1935769,2141080,2115045,2161025,2122163,2293694,2432926,2578011,-233416,1622865
 "42000","Pennsylvania",2,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",637522,676119,735793,762041,726668,760843,770170,833261,983426,1007402,1046481,891388,893188,769614,782538,785806,904305,898244,913097,845032,897965,955638,1033840,-881775,311128
 "42000","Pennsylvania",2,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",17526,19007,20711,21517,19869,21759,23714,27404,33860,35338,36375,30459,29239,26479,25312,24527,27472,26749,27800,28732,30093,32082,34287,-62990,-7033
 "42000","Pennsylvania",2,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",48702,52007,53767,53980,51545,52717,55503,57929,69767,66985,70281,62212,64958,57838,57127,54376,53648,57077,57302,59386,61892,64852,69760,-51783,47030
 "42000","Pennsylvania",2,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",141337,143998,144922,151837,129212,131597,132158,143272,148532,159683,185143,180194,189765,178938,186163,182801,187723,184607,184888,183821,193261,205500,216363,84917,179370
 "42000","Pennsylvania",2,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",84030,88668,95604,105780,94973,103231,111825,126444,148836,151298,163346,133124,134532,118680,127892,121829,136166,128110,129914,127882,146056,155746,179123,-507959,-105911
 "42000","Pennsylvania",2,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",89994,98517,104601,103437,99817,98460,96689,107226,128024,132880,141051,118760,119022,104012,105533,105973,107566,106122,107289,106162,111766,119206,131094,-224228,24353
 "42000","Pennsylvania",2,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",98075,103853,120321,132764,138399,147891,135721,137720,157040,159511,147362,122437,120191,108680,111838,112585,126649,130495,137267,118447,123251,127239,132933,-37931,86845
