GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,SAGDP4N,1,"...","All industry total ","Thousands of dollars",75823859,83882313,91784798,103429185,107435003,106707427,108800236,114072441,120698980,128021904,135559908,140506938,136685927,138375607,143059966,150874498,157077554,168061883,176758568,182139857,193377617,205848918,219628505,224646200,244634815
 "08000","Colorado",7,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",61618845,69101973,76072720,86656766,89229060,87014869,88098500,92494703,97921886,104413609,110975098,114260255,109152284,109912910,114349643,121911218,127246276,136910825,144270340,148217914,158416306,169044418,181298853,184760021,202986268
 "08000","Colorado",7,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",409430,400095,424087,462899,485195,532480,487597,519707,560513,566064,637590,624994,690902,635383,638198,730730,809792,806083,730078,815485,874962,879022,763678,949886,999669
 "08000","Colorado",7,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",348012,341324,353064,392802,407443,452052,401373,422167,462538,439003,505442,482962,525734,464487,456872,528657,597016,576766,485788,565257,602633,593572,449026,617235,690793
 "08000","Colorado",7,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",61418,58772,71023,70098,77752,80428,86225,97540,97975,127061,132148,142032,165168,170896,181326,202073,212776,229317,244290,250227,272329,285450,314652,332651,308876
 "08000","Colorado",7,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",886450,921182,970269,935872,1150590,979782,1044077,1420478,1642245,2051869,2525978,3195381,2583985,2834054,3376297,3721237,3930633,4484613,4129615,3184438,3622872,4101736,4239348,3543292,3230844
 "08000","Colorado",7,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",363577,365843,346751,384036,532517,381397,458880,711437,718092,849302,1023580,1337296,1240205,1395854,1606404,1676963,1913395,2122584,2135899,1772921,1814944,1938039,2077757,2014973,1690915
 "08000","Colorado",7,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",384379,404558,482530,382481,390479,386820,337451,362113,391012,444350,475124,514205,457291,481269,510455,554235,534389,503322,473645,414177,421359,451980,454781,429921,460456
 "08000","Colorado",7,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",138493,150781,140988,169355,227594,211565,247746,346929,533142,758217,1027274,1343880,886489,956931,1259438,1490039,1482850,1858707,1520071,997340,1386569,1711717,1706810,1098398,1079472
 "08000","Colorado",7,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",553525,543665,594000,614556,718800,733256,701978,786866,786685,1034097,864485,916793,940644,987847,1027786,1061036,984909,1054685,1076921,1140496,1125216,1187897,1294169,1411110,1451832
 "08000","Colorado",7,SAGDP4N,11,"23","  Construction ","Thousands of dollars",4694119,5588885,6359686,7583790,8099925,7823289,7453580,7731932,8374677,8969102,9436259,9537149,7870711,6975401,6861215,7289658,8222394,9640387,10282278,10981926,11979291,13257437,14300582,14673738,15414783
 "08000","Colorado",7,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",8708414,9414618,9987231,10778918,10713418,10171905,9786230,10046916,10346159,10421188,10450121,10535626,9708920,9695619,10079550,10464975,10601958,11371837,11905943,11969452,12647038,13225478,13974873,14210793,15062590
 "08000","Colorado",7,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",6301824,6922521,7411604,8029423,7884128,7413235,6967225,7215919,7438590,7555220,7594853,7461674,6839492,6832271,7179716,7515122,7526151,7981617,8423739,8420378,8973846,9307437,9837802,9934202,10352058
 "08000","Colorado",7,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",141391,155813,175546,188674,192597,186062,190188,220894,239174,254148,253205,227451,152346,129495,127241,138108,152164,167347,174778,175988,188782,199480,217881,232406,264865
 "08000","Colorado",7,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",406115,443988,478998,524655,538816,509597,484459,505386,528171,564712,587541,565073,437083,451467,443217,476886,490941,536358,560171,573756,634491,662969,676395,680535,687097
 "08000","Colorado",7,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",129766,113337,103804,108192,108921,108079,109049,169130,134252,135238,149129,160627,141988,146789,169033,182777,175906,181646,168209,142624,163003,184602,197377,170446,187404
 "08000","Colorado",7,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",693130,752639,789247,838925,826643,793709,752639,790915,782585,820153,866367,876830,768474,739016,791113,848351,907546,983546,987950,962779,983746,1069076,1088806,1082475,1098095
 "08000","Colorado",7,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",532049,558632,541609,575770,564370,531868,504677,533681,562003,601351,674909,741990,716656,729317,823144,892962,864815,923147,998979,1007155,1009803,1094857,1174592,1128897,1126313
 "08000","Colorado",7,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",2748437,3166221,3534748,3930372,3785732,3461935,3029888,2985708,3036623,2953270,2786246,2639983,2465145,2520299,2641557,2727850,2569248,2667506,2819738,2738817,3117684,3156491,3354198,3395297,3539255
 "08000","Colorado",7,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",77483,80365,89586,110478,159482,141453,140338,145173,136390,147330,140855,136116,126741,143298,160573,200659,203638,198219,197865,205518,203120,203251,215704,203357,229450
 "08000","Colorado",7,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",141104,167881,185266,230195,(D),141343,138963,115789,126127,115418,(D),114473,103864,99027,103409,109561,112256,121722,(D),(D),(D),(D),(D),(D),181875
 "08000","Colorado",7,SAGDP4N,22,"3364-3369","    Other transportation equipment manufacturing ","Thousands of dollars",724348,730168,708452,675137,(D),702874,743118,831722,916316,917962,(D),924449,933181,924943,926484,918112,987129,1062684,(D),(D),(D),(D),(D),(D),1612717
 "08000","Colorado",7,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",233948,247642,277327,304813,306702,305792,308992,315307,333153,338211,352571,341676,272223,244538,237874,253701,266810,298740,319076,332118,345189,372886,391309,389019,394046
 "08000","Colorado",7,SAGDP4N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",474052,505835,527022,542213,535970,530523,564914,602214,643795,707426,719160,733006,721790,704081,756070,766155,795698,840702,858871,914212,912151,917858,940264,923070,1030940
 "08000","Colorado",7,SAGDP4N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2406590,2492097,2575627,2749495,2829290,2758670,2819005,2830997,2907569,2865968,2855267,3073952,2869429,2863348,2899834,2949853,3075807,3390220,3482204,3549074,3673193,3918041,4137071,4276591,4710532
 "08000","Colorado",7,SAGDP4N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",978069,1085481,1088712,1165248,1207421,1203650,1218925,1266120,1271376,1266046,1254325,1409873,1377787,1383895,1374819,1415827,1499384,1641344,1775816,1837263,1913000,2035258,2097178,2211460,2488016
 "08000","Colorado",7,SAGDP4N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",52564,54845,55896,57785,56317,62291,71611,75534,75997,78075,86657,90336,78527,74168,66764,68853,67671,71126,74765,80750,83012,84605,82185,78285,79107
 "08000","Colorado",7,SAGDP4N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",75938,81331,83858,87712,86514,73109,68703,52059,58071,52583,45068,45154,34439,28844,30707,34005,36928,40253,41064,41755,43820,38459,30856,33832,37650
 "08000","Colorado",7,SAGDP4N,29,"322","    Paper manufacturing ","Thousands of dollars",167513,112449,158863,149495,163993,168308,189432,154543,169299,136022,119832,121154,110536,112482,103029,102905,102414,106024,101039,100309,98393,98346,104217,106396,107318
