GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "93000","Great Lakes",3,SAGDP4N,1,"...","All industry total ","Thousands of dollars",800947545,853164265,903975530,954729726,973742654,987665799,1012919699,1055990696,1091116769,1133306958,1171529500,1184644264,1123159705,1140520608,1188343129,1234958887,1266091316,1313082966,1369747007,1400789386,1453976172,1514964692,1559221681,1556538551,1664423962
 "93000","Great Lakes",3,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",678124325,725879146,769383415,812218035,821626712,827324119,845308817,880826047,910150955,947799221,980056949,986676208,919793558,929873042,979086603,1025540047,1053229180,1097360739,1149841195,1179089985,1228392076,1283009370,1322413583,1314672726,1415966286
 "93000","Great Lakes",3,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2423423,2691080,2609688,2756735,2832891,2821176,2895203,3301803,3020752,3094119,3966773,3792511,3802970,3432133,3763401,4384395,4291628,4707040,4688196,5180753,4880368,5061287,5039986,(D),5085354
 "93000","Great Lakes",3,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",1993286,2228234,2112110,2268553,2322335,2315114,2378644,2690801,2435017,2353645,3202335,3009561,2964712,2604029,2885254,3409982,3301732,3534150,3456524,3882919,3533791,3650722,3571651,3236753,3483573
 "93000","Great Lakes",3,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",430137,462846,497578,488182,510556,506062,516559,611001,585735,740474,764438,782950,838258,828104,878147,974413,989895,1172890,1231672,1297834,1346577,1410565,1468335,(D),1601781
 "93000","Great Lakes",3,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2275688,2314718,2320911,2253626,2336498,2153959,2185352,2322005,2411864,2645622,2689275,2768146,2615169,2767173,2942486,3258969,3178565,3598860,3410272,2920983,3072865,3322929,3279547,(D),2710365
 "93000","Great Lakes",3,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",232076,224377,252488,242551,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),275487,(D),263487
 "93000","Great Lakes",3,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1830074,1880489,1875383,1803306,1822926,1662317,1676653,1742019,1802918,1912335,1905845,1908430,1791201,1919883,1997392,2122534,2142045,2279255,2218649,1993613,2032294,2190834,2134631,1870612,1868945
 "93000","Great Lakes",3,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",213537,209852,193041,207769,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),869429,596123,577933
 "93000","Great Lakes",3,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",7647702,7694636,8596872,8890294,9439409,9340995,8929382,9142774,9417879,10339781,10558166,11265538,11251351,11116091,11630489,11342411,11835312,12184382,12591023,13075019,13027312,13522886,14084783,14773364,14581950
