GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "26000","Michigan",3,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-713479,-792111,-1004918,-936704,-1078197,-851019,-1060138,-1051969,-1343515,-1121232,-964476,-930355,-1109632,-1042919,-1250086,-1191169,-1201466,-1065782,-1137799,-1187137,-1164231,-1196345,-1352506,-18800497,-11464754
 "26000","Michigan",3,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-538060,-645594,-846450,-779596,-900767,-631436,-794139,-735742,-1004396,-769878,-627608,-578673,-713841,-681712,-820277,-767432,-749612,-667307,-728230,-758925,-751909,-779778,-934284,-18136287,-10779675
 "26000","Michigan",3,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-102869,-179146,-346648,-327710,-314427,-165145,-219142,-183740,-332341,-211569,-125123,-140577,-152810,-156657,-132594,-144445,-115358,-46289,-148207,-162306,-164822,-200467,-350719,-953174,-449584
 "26000","Michigan",3,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-102869,-179146,-346648,-327710,-314427,-165145,-219142,-183740,-332341,-211569,-125123,-140577,-152810,-156657,-132594,-144445,-115358,-46289,-148207,-162306,-164822,-200467,-350719,-917092,-433079
 "26000","Michigan",3,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36082,-16505
 "26000","Michigan",3,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29198,-18730
 "26000","Michigan",3,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2076,-5305
 "26000","Michigan",3,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6051,-3350
 "26000","Michigan",3,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21071,-10075
 "26000","Michigan",3,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43713,-15187
 "26000","Michigan",3,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1875775,-867129
 "26000","Michigan",3,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-97,-44,-3676,-10414,-38440,-46636,-33186,-15800,-13326,-11640,-11419,-10915,-9763,-11729,-3278504,-1504078
 "26000","Michigan",3,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-3627,-10030,-37603,-44221,-30648,-14469,-10824,-10937,-10684,-10287,-9070,-11185,-2545213,-1184551
 "26000","Michigan",3,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76779,-33317
 "26000","Michigan",3,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111687,-32008
 "26000","Michigan",3,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110162,-36148
 "26000","Michigan",3,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-700749,-331721
 "26000","Michigan",3,SAGDP5N,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-599936,-229722
 "26000","Michigan",3,SAGDP5N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100016,-61609
