GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-1128760,-1042833,-1104248,-1062086,-1215201,-1209122,-1368676,-1385319,-1557444,-1393201,-1302802,-1407604,-1641278,-1569542,-1776127,-1656265,-1638469,-1648608,-1594647,-1745142,-1633459,-1631288,-1668974,-24069729,-15081400
 "34000","New Jersey",2,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-582820,-566282,-611947,-606746,-739362,-655826,-775183,-751302,-921398,-740175,-656093,-736320,-888607,-850956,-967444,-908346,-882146,-834714,-793663,-836201,-825126,-775319,-800330,-22588289,-13640134
 "34000","New Jersey",2,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-3078,-4733,-8858,-19323,-14617,-5573,-10547,-8788,-22644,-15265,-9424,-14553,-14878,-18695,-14518,-9823,-7859,-5026,-6729,-10163,-10089,-8581,-19554,-150042,-66761
 "34000","New Jersey",2,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-3078,-4733,-8858,-19323,-14617,-5573,-10547,-8788,-22644,-15265,-9424,-14553,-14878,-18695,-14518,-9823,-7859,-5026,-6729,-10163,-10089,-8581,-19554,-120522,-55930
 "34000","New Jersey",2,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29520,-10831
 "34000","New Jersey",2,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16068,-5575
 "34000","New Jersey",2,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-412,-61
 "34000","New Jersey",2,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13368,-4027
 "34000","New Jersey",2,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2287,-1488
 "34000","New Jersey",2,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48574,-23299
 "34000","New Jersey",2,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2663362,-1180506
 "34000","New Jersey",2,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-254,-102,-2412,-7115,-19832,-26656,-19427,-9518,-11180,-6384,-6390,-5625,-5125,-5933,-2021199,-848530
 "34000","New Jersey",2,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-2304,-5954,-17224,-18976,-13571,-6560,-4723,-5129,-5036,-4493,-4019,-4913,-1070795,-417927
 "34000","New Jersey",2,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47006,-15774
 "34000","New Jersey",2,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64168,-20315
 "34000","New Jersey",2,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52261,-9062
 "34000","New Jersey",2,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-224922,-75213
 "34000","New Jersey",2,SAGDP5N,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127936,-48113
 "34000","New Jersey",2,SAGDP5N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-131028,-68128
 "34000","New Jersey",2,SAGDP5N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-2304,-5954,-17224,-18976,-13571,-6560,-4723,-5129,-5036,-4493,-4019,-4913,-87932,-29043
 "34000","New Jersey",2,SAGDP5N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17422,-12133
 "34000","New Jersey",2,SAGDP5N,22,"3364-3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33080,-15035
 "34000","New Jersey",2,SAGDP5N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79802,-43805
 "34000","New Jersey",2,SAGDP5N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-205238,-81305
