GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "35000","New Mexico",6,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-125952,-144188,-181949,-166092,-199966,-167882,-201912,-192020,-273982,-223143,-198978,-211684,-265231,-264658,-288182,-280006,-301818,-373359,-244476,-269502,-272866,-290828,-329674,-2834640,-2116437
 "35000","New Mexico",6,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-92926,-112487,-150336,-136641,-170580,-135925,-165569,-151739,-211147,-167880,-149193,-160231,-196100,-195022,-214463,-209949,-224256,-302716,-181276,-201223,-200446,-211269,-231406,-2673193,-1945018
 "35000","New Mexico",6,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-33073,-51722,-79770,-68604,-83837,-63853,-79668,-67038,-99989,-70570,-59753,-63072,-69550,-77611,-74609,-80442,-93649,-174660,-63599,-80345,-79006,-96555,-117390,-376215,-217140
 "35000","New Mexico",6,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-33073,-51722,-79770,-68604,-83837,-63853,-79668,-67038,-99989,-70570,-59753,-63072,-69550,-77611,-74609,-80442,-93649,-174660,-63599,-80345,-79006,-96555,-117390,-373679,-211926
 "35000","New Mexico",6,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2536,-5214
 "35000","New Mexico",6,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-180555,-137075
 "35000","New Mexico",6,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13348,-4125
 "35000","New Mexico",6,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5184,-602
 "35000","New Mexico",6,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162023,-132349
 "35000","New Mexico",6,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11161,-5169
