GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-394900,-409753,-447169,-461168,-490250,-459521,-525491,-480073,-588430,-546834,-525840,-546508,-633675,-654004,-666492,-637035,-644807,-632573,-656792,-702864,-686393,-709203,-787479,-8302536,-5823101
 "41000","Oregon",8,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-225934,-262000,-280897,-303136,-321349,-257525,-323800,-281190,-390687,-345730,-331390,-347441,-393447,-425468,-430680,-408893,-410895,-392680,-412249,-433953,-425412,-418658,-455280,-7692058,-5214433
 "41000","Oregon",8,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-53823,-85679,-91223,-118296,-93510,-69779,-95452,-68854,-110704,-100994,-110620,-105453,-86692,-127675,-93804,-97217,-94034,-88560,-114484,-118162,-101536,-101478,-132167,-641416,-388081
 "41000","Oregon",8,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-53823,-85679,-91223,-118296,-93510,-69779,-95452,-68854,-110704,-100994,-110620,-105453,-86692,-127675,-93804,-97217,-94034,-88560,-114484,-118162,-101536,-101478,-132167,-536840,-351877
 "41000","Oregon",8,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104576,-36205
 "41000","Oregon",8,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12549,-8285
 "41000","Oregon",8,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-434
 "41000","Oregon",8,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11991,-2150
 "41000","Oregon",8,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-538,-5700
 "41000","Oregon",8,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13993,-5528
 "41000","Oregon",8,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-876361,-457919
 "41000","Oregon",8,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-24,-12,-749,-1930,-6189,-7755,-3747,-2357,-1723,-1899,-1865,-1853,-1691,-1876,-825960,-421143
 "41000","Oregon",8,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-735,-1857,-6012,-7439,-3458,-2209,-1428,-1767,-1729,-1731,-1569,-1767,-549378,-262736
 "41000","Oregon",8,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-137338,-41673
 "41000","Oregon",8,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14416,-4561
 "41000","Oregon",8,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11389,-1860
 "41000","Oregon",8,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-102313,-68681
