GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,SAGDP6N,1,"...","All industry total ","Thousands of dollars",10733322,11317343,11521024,11810059,11820178,12135420,13051290,13485005,14103005,14129753,14883837,14848301,15023263,15117702,15816402,17568090,17826321,18540174,18481054,18524601,19151672,20318589,20679280,21021373,21989281
 "09000","Connecticut",1,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",10726314,11309883,11513113,11802202,11812200,12127571,13043474,13476908,14094256,14121627,14874579,14838725,15014246,15109219,15807932,17561475,17822664,18537435,18478250,18522105,19148779,20315709,20676587,21018510,21986580
 "09000","Connecticut",1,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",12488,11685,14432,13402,13285,12902,14420,15317,16530,18401,21946,24381,22526,22790,25837,26797,27918,32338,30664,28871,34241,34254,35088,36825,39875
 "09000","Connecticut",1,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",10964,9948,12713,11773,11871,11449,12866,13595,14766,16466,19974,21997,20311,20345,23591,24697,25811,30121,28567,26696,28662,28474,29850,31562,34211
 "09000","Connecticut",1,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",1524,1737,1719,1628,1414,1453,1554,1722,1765,1935,1972,2383,2215,2445,2245,2101,2107,2218,2098,2175,5579,5780,5239,5262,5665
 "09000","Connecticut",1,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",6473,7857,8315,8360,6380,6977,7318,7329,7752,8897,8865,9523,9395,8808,8754,9486,9949,11890,12214,14688,14944,14971,15364,14159,14892
 "09000","Connecticut",1,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",315,213,138,112,0,0,0,34,35,24,22,23,5,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",5191,6680,7218,7364,5856,6429,6852,6833,7272,8227,8219,8745,8658,7911,7718,8469,8912,10750,11128,13658,13791,14142,14617,13371,14173
 "09000","Connecticut",1,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",966,964,958,884,524,547,466,462,445,646,625,755,732,897,1037,1018,1038,1140,1085,1030,1153,829,747,788,719
 "09000","Connecticut",1,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",578541,586818,572826,617984,556918,544843,607826,713859,733036,660409,707279,800923,849559,831301,854731,917318,930862,942639,890786,910340,944478,960529,1003584,1019852,1051533
 "09000","Connecticut",1,SAGDP6N,11,"23","  Construction ","Thousands of dollars",64301,71291,74764,77508,69695,73842,74526,84352,87458,83390,90727,88685,86744,82739,86698,90006,92170,100426,104347,108897,113949,113164,120017,122297,135829
 "09000","Connecticut",1,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",835333,944797,932638,1016367,1160389,1303554,1425719,1225779,1223858,1238848,1325641,1119897,1162149,1175940,1320221,1316658,1455229,1389933,1342743,1273345,1383838,1395397,1458679,1449707,1567477
 "09000","Connecticut",1,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",360561,374196,390892,395167,420293,444720,456649,472303,479669,495614,519013,562309,577561,577706,614861,615908,742688,750073,716430,719283,770635,796568,847197,867134,927423
 "09000","Connecticut",1,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",2359,2585,2638,2749,2541,2869,2809,2752,3004,3098,3371,3468,3413,2552,2940,3064,3174,3284,3192,3344,3331,3402,3359,3327,3664
 "09000","Connecticut",1,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",8063,8128,8415,8466,7186,7790,7653,8329,8938,9128,10858,11358,12396,11199,11346,11520,11519,13093,13115,13900,14188,14318,14839,16212,17591
 "09000","Connecticut",1,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",32205,32031,30192,30984,25573,27765,25803,26053,25829,25857,27636,29179,32456,32528,33309,35351,34476,37343,39240,44069,45177,45820,50167,52347,50795
 "09000","Connecticut",1,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",78961,76692,87944,78079,65799,69757,71963,79322,70520,80334,71900,104174,64345,73609,108146,96211,192182,149143,131063,122725,141902,143067,163060,135589,134933
 "09000","Connecticut",1,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",46401,49707,50339,54584,57818,61262,60774,64054,65399,66054,72239,71902,80436,76930,73289,72063,72268,78134,80290,82286,83203,77950,83558,93617,100748
 "09000","Connecticut",1,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",52155,55738,52534,60370,67810,69674,67542,67872,71689,71261,74242,76797,82822,79492,81011,83979,90732,105338,101788,95164,95597,94513,94384,91858,96507
 "09000","Connecticut",1,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",28849,29146,26677,28457,38942,37835,45614,42654,41930,40964,45583,48510,55597,52314,53304,55526,60366,57013,44506,47602,40482,40793,43078,44030,46398
 "09000","Connecticut",1,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",11510,12542,12366,11816,13579,13782,13826,14937,14024,13743,14777,16352,18464,18652,18095,18223,19180,21995,22143,22952,23588,23298,23240,23853,24560
 "09000","Connecticut",1,SAGDP6N,22,"3364-3369","    Other transportation equipment manufacturing ","Thousands of dollars",78133,83993,89992,96532,111819,123002,127616,132768,142444,149076,161445,163608,186784,190286,189841,194657,202131,224852,224029,247908,282020,310692,326514,359070,400406
 "09000","Connecticut",1,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",1699,1880,2021,2204,2196,2536,2599,2790,2943,3203,3506,3579,3737,3759,3560,3578,3595,3589,3747,3965,4131,4196,4353,4477,5213
 "09000","Connecticut",1,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",20227,21753,27775,20927,27030,28449,30449,30773,32949,32896,33456,33384,37111,36385,40022,41738,53063,56291,53318,35369,37016,38520,40645,42752,46607
 "09000","Connecticut",1,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",474773,570601,541746,621200,740097,858835,969070,753476,744190,743234,806629,557588,584588,598235,705361,700750,712541,639860,626312,554062,613203,598828,611482,582574,640054
 "09000","Connecticut",1,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",296204,381357,341769,412742,454897,565057,669876,437822,415002,391786,416015,181020,183337,194534,198291,210869,209387,166101,164778,181412,166021,157768,165839,125862,140379
 "09000","Connecticut",1,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",5920,5819,6039,5840,4732,4604,4809,4719,5101,5372,6083,6376,6906,6802,6992,7203,7213,7355,8557,9130,9155,7747,8452,8707,9935
 "09000","Connecticut",1,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",2176,2437,1976,1992,1579,1595,2061,2850,2328,1510,2631,1974,1191,1173,1716,1847,2143,2539,2875,3180,3091,1435,1515,1535,1699
 "09000","Connecticut",1,SAGDP6N,29,"322","    Paper manufacturing ","Thousands of dollars",26795,27416,26913,28607,26272,28396,30563,28998,27651,27136,27039,26403,25902,24513,25013,24961,25353,25177,24352,23685,25544,25921,27457,29071,31610
 "09000","Connecticut",1,SAGDP6N,30,"323","    Printing and related support activities ","Thousands of dollars",11957,12296,12585,13208,11655,11825,11634,12778,13419,14062,14493,14070,14694,14214,13962,13665,12960,12485,13066,18289,14745,14246,15149,15751,17618
 "09000","Connecticut",1,SAGDP6N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",7235,6496,6153,5365,3987,6446,6523,7799,7349,7853,8407,8520,9432,8978,8083,8348,9261,12523,13140,18216,16217,14360,16880,15128,15404
 "09000","Connecticut",1,SAGDP6N,32,"325","    Chemical manufacturing ","Thousands of dollars",109835,119557,131159,138074,221832,224661,227005,241644,255824,277757,312671,300014,323475,328654,431318,413930,425925,393261,378940,278570,355163,354116,351744,360537,396640
 "09000","Connecticut",1,SAGDP6N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",14651,15224,15151,15372,15143,16249,16599,16865,17514,17756,19290,19211,19651,19368,19987,19926,20299,20419,20605,21580,23266,23236,24446,25982,26770
 "09000","Connecticut",1,SAGDP6N,34,"42","  Wholesale trade ","Thousands of dollars",1578888,1596249,1553333,1553472,1465948,1433951,1512760,1608585,1574690,1603835,1561513,1701752,1600683,1725912,1741971,2037015,2119904,2090601,1958546,1905510,2070929,2195812,2295422,2092303,2320832
 "09000","Connecticut",1,SAGDP6N,35,"44-45","  Retail trade ","Thousands of dollars",1458500,1579516,1666809,1664983,1735544,1691651,1734271,1767149,1882933,1712666,1842312,1834064,1773379,1799677,2008804,2526793,2482883,2632962,2599921,2505749,2710226,2727751,3064898,3177351,3466984
 "09000","Connecticut",1,SAGDP6N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",138307,149644,158564,171501,155130,165452,166095,176694,186726,187452,205369,198445,202721,195085,213288,219280,209709,218720,231786,250731,234667,249432,259465,218097,268797
 "09000","Connecticut",1,SAGDP6N,37,"481","   Air transportation ","Thousands of dollars",35529,45430,52789,64027,58500,61958,59465,68096,73930,70400,72613,70757,66863,59018,72417,77678,72001,82185,92286,103133,80015,88652,93688,45932,66357
 "09000","Connecticut",1,SAGDP6N,38,"482","   Rail transportation ","Thousands of dollars",1927,2530,2915,2858,2836,2784,2663,2818,2834,2879,2837,4069,5354,5597,6037,6498,7297,7758,8062,10034,10810,11890,12111,12477,13847
 "09000","Connecticut",1,SAGDP6N,39,"483","   Water transportation ","Thousands of dollars",19445,20700,24771,23921,24098,25498,25927,25269,22901,24121,29325,19378,17753,17550,21546,22709,19027,17740,17084,16599,19790,20613,22584,15430,26355
 "09000","Connecticut",1,SAGDP6N,40,"484","   Truck transportation ","Thousands of dollars",17254,16708,16156,16713,17123,17666,17034,16742,19687,21263,20380,20541,21294,21363,22766,23832,23965,23829,24133,26845,28267,29732,31444,32930,36806
 "09000","Connecticut",1,SAGDP6N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",26434,27113,28382,30711,25252,27517,27092,26537,27635,27800,28517,28904,35431,35911,34073,33437,32285,29471,31439,31599,32475,31306,29580,32268,37632
 "09000","Connecticut",1,SAGDP6N,42,"486","   Pipeline transportation ","Thousands of dollars",6572,9447,6514,5553,4285,5973,7734,10029,10929,10869,11288,14966,15627,17939,19034,17825,19438,19931,20069,21276,21310,23505,24196,27220,32647
 "09000","Connecticut",1,SAGDP6N,43,"487-488, 492","   Other transportation and support activities ","Thousands of dollars",24294,20914,20343,20961,18106,18332,18579,18954,19521,20145,29652,29033,28464,26057,26009,26366,25075,25878,26622,28223,28753,29719,30486,33448,35021
 "09000","Connecticut",1,SAGDP6N,44,"493","   Warehousing and storage ","Thousands of dollars",6852,6801,6696,6757,4929,5724,7600,8250,9290,9975,10757,10796,11934,11650,11405,10935,10621,11928,12090,13020,13249,14014,15377,18392,20132
