GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11000","District of Columbia",2,SAGDP6N,1,"...","All industry total ","Thousands of dollars",1885422,1913380,1934308,1904465,1854118,2029395,2706570,3218890,3247008,3333013,3671379,3663360,3515187,3714599,3651735,4011363,4208667,4528842,4997139,5143139,5193124,5575484,5624019,5368284,5626016
 "11000","District of Columbia",2,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",1885422,1913380,1934308,1904465,1854118,2029395,2706570,3218890,3247008,3333013,3671379,3663360,3515187,3714599,3651735,4011363,4208667,4528842,4997139,5143139,5193124,5575484,5624019,5368284,5626016
 "11000","District of Columbia",2,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",31,153,142,132,120,22,20,23,38,36,34,40,33,23,36,31,30,29,29,32,44,40,44,39,1363
 "11000","District of Columbia",2,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",31,153,142,132,120,22,20,23,38,36,34,40,33,23,36,31,30,29,29,32,44,40,44,39,1363
 "11000","District of Columbia",2,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2848,3986,4146,5827,3919,4384,4515,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",2554,3696,3825,5542,3693,4258,4453,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",293,290,189,170,144,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,131,115,81,64,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",157864,166389,169559,174366,170969,176869,209319,231822,252534,263889,272587,286419,284575,245263,243994,256202,262571,269239,281633,287081,279059,303309,289982,282751,302516
