GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "36000","New York",2,SAGDP6N,1,"...","All industry total ","Thousands of dollars",53171789,53809235,55811925,56854368,58389948,60411407,66531358,73418184,81487575,85621806,88314885,86221751,86823087,95927612,99310447,103318106,109157813,114063816,118228776,120552202,122242392,128642479,133184057,130942389,141639033
 "36000","New York",2,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",53137650,53776662,55776110,56820223,58355612,60372934,66494981,73380568,81447953,85582126,88274791,86182260,86779986,95881227,99263090,103270122,109103906,114012812,118183236,120503469,122193352,128580341,133116996,130877725,141572253
 "36000","New York",2,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",116719,105975,131048,122189,121342,116075,123782,125248,135425,144417,165848,184443,170490,175320,199907,207022,215083,244863,234233,220521,249369,248619,255174,268438,291129
 "36000","New York",2,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",105987,95205,120955,111038,110709,105318,114189,115981,121404,129402,150395,166012,153171,152985,177811,185760,192774,223871,213770,200076,214828,213441,223826,236638,256533
 "36000","New York",2,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",10732,10771,10093,11151,10633,10757,9593,9268,14022,15015,15454,18431,17318,22335,22096,21262,22309,20992,20464,20446,34542,35178,31349,31800,34595
 "36000","New York",2,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",41588,43231,42938,45951,39649,39679,49286,52243,69753,86487,98039,110698,98768,114198,163577,151904,135318,178226,140079,138167,118003,134469,132821,141992,169105
 "36000","New York",2,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",2217,2858,3631,4467,7087,6877,11142,8826,24449,35256,42562,52575,45603,60195,105271,84956,65901,95687,55452,41736,20168,29586,28902,31932,42863
 "36000","New York",2,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",35109,36271,35621,37334,29506,29456,34514,39369,40632,45554,49216,48199,45806,46353,50119,56583,61687,74225,76379,87794,89495,96489,96473,101998,117453
 "36000","New York",2,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",4262,4101,3686,4149,3055,3346,3629,4048,4672,5677,6261,9924,7359,7650,8187,10365,7730,8314,8248,8637,8340,8394,7445,8062,8789
 "36000","New York",2,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",3192676,3192074,3106642,3184434,2947899,3086374,3181741,3300049,3503190,3751962,3827882,3893017,4092285,4403993,4553877,4753447,4768001,4977344,4986573,5187773,5257871,5357456,5406544,5464750,5855438
 "36000","New York",2,SAGDP6N,11,"23","  Construction ","Thousands of dollars",234454,265120,290214,320018,320763,336269,354653,403836,391939,423040,424814,447494,461751,557789,600005,630460,663143,699377,777259,822754,826265,858712,893338,862547,942433
 "36000","New York",2,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",2987121,2922097,3044312,2531699,3251640,3258206,3449794,3707158,4417914,4481136,5094912,4593533,5936428,7497557,7543694,7414338,7592522,8181053,8047438,7805162,7668416,7389836,7007839,6846522,7169803
 "36000","New York",2,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",854661,890289,877733,906548,1058565,1091044,1150023,1225669,1239510,1278766,1282386,1298151,1379587,1403738,1475417,1525852,1679491,1723479,1788970,1681416,1613684,1610139,1629448,1571776,1624196
 "36000","New York",2,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",13229,13644,13867,14797,12565,12757,12891,14601,15456,16552,17160,17294,18608,19038,19529,21384,22898,23365,25427,26157,23880,23716,24320,23225,24071
 "36000","New York",2,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",59914,60863,51491,55354,50613,49607,51223,56061,56527,59275,62542,67005,75662,79494,81298,84502,84487,90795,92167,96575,94206,96226,98795,97021,105494
 "36000","New York",2,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",81004,83612,80048,79735,70080,70037,71866,76120,74986,77820,82692,88197,100628,97033,100807,103980,101355,109324,113120,120600,116853,117204,119069,123393,129547
 "36000","New York",2,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",112293,113071,120431,118837,106184,107341,112162,126689,113116,124113,114346,139009,117751,134556,167489,164597,222334,213717,200696,197016,201798,201115,217673,191684,194254
 "36000","New York",2,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",154140,162480,166222,167420,172939,173114,171522,180503,177576,182153,182868,186487,208944,219131,230924,228661,233527,237394,255882,244312,226760,215739,217631,217499,222663
 "36000","New York",2,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",197583,216504,209591,232858,372087,391074,426509,452644,488927,491431,491827,486993,534624,520265,527753,574331,587683,631301,678074,632451,602120,603650,583494,556498,566264
 "36000","New York",2,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",41902,42908,39582,38582,46664,47521,48818,47715,47858,49543,49321,49295,54085,58181,59019,61799,59818,64069,63673,67509,62935,64827,67907,79676,85529
 "36000","New York",2,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",82090,84971,83450,83588,93924,102062,107575,110637,100597,106900,103755,92907,92222,90025,94613,83216,83540,91910,96389,99066,95398,95465,101506,92289,93023
 "36000","New York",2,SAGDP6N,22,"3364-3369","    Other transportation equipment manufacturing ","Thousands of dollars",24370,24888,25217,26414,27747,29463,30772,35252,38047,38860,41044,39238,43653,44759,43713,44936,42203,45334,41133,43810,45739,48562,50283,51815,54605
 "36000","New York",2,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",10702,11735,12382,13254,12449,12900,13974,16035,15805,17374,17625,17411,18497,20330,21574,22489,23303,22277,22797,22836,21564,22079,22841,21313,22349
 "36000","New York",2,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",77432,75615,75450,75708,93313,95170,102712,109413,110615,114747,119205,114315,114914,120925,128698,135959,218343,193994,199612,131084,122432,121557,125929,117361,126397
 "36000","New York",2,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2132459,2031807,2166580,1625151,2193075,2167162,2299771,2481488,3178404,3202370,3812526,3295382,4556841,6093820,6068277,5888485,5913031,6457573,6258468,6123746,6054732,5779697,5378391,5274745,5545607
 "36000","New York",2,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",1416115,1329836,1488059,948708,1403871,1342141,1388991,1499671,2183320,2188001,2796369,2281487,3486749,4955830,4796595,4554870,4552186,5120170,4774470,4700818,4579900,4290013,3904850,3755518,3941095
 "36000","New York",2,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",51586,52367,50048,47875,40006,36639,36517,35833,37066,36661,37350,36855,38879,38291,37793,38448,39010,36598,35032,36059,34492,33552,34086,33326,31271
 "36000","New York",2,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",53284,54790,56312,58026,52755,53499,55470,60993,63742,60849,60912,56438,59508,60976,60424,59755,57646,64807,61980,60073,59810,54452,49707,44311,44686
 "36000","New York",2,SAGDP6N,29,"322","    Paper manufacturing ","Thousands of dollars",107275,105016,99965,101568,84324,84215,87998,92888,94480,97656,96888,93337,97160,99812,103220,107795,108428,104951,108857,111544,110177,111256,111981,115908,124032
 "36000","New York",2,SAGDP6N,30,"323","    Printing and related support activities ","Thousands of dollars",51809,53905,56564,56875,49593,51551,55205,62880,63680,64171,62148,57451,59544,59752,60451,60642,58906,54678,58430,75740,57620,56623,58260,55525,60725
 "36000","New York",2,SAGDP6N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",48895,48166,43531,43881,40181,38229,39393,36086,37581,40789,44515,46701,50506,51328,51290,55668,55249,66557,66196,79748,65822,65131,61775,65891,73625
 "36000","New York",2,SAGDP6N,32,"325","    Chemical manufacturing ","Thousands of dollars",345094,329468,313363,310651,469034,506245,577621,628476,638314,650613,652994,656801,700566,760135,875398,932505,953315,923454,1065633,972278,1055580,1071655,1052712,1104139,1162335
 "36000","New York",2,SAGDP6N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",58402,58259,58737,57567,53309,54644,58576,64661,60221,63631,61349,66311,63929,67695,83106,78802,88289,86359,87869,87486,91330,97015,105020,100128,107837
 "36000","New York",2,SAGDP6N,34,"42","  Wholesale trade ","Thousands of dollars",8179777,8326765,8382963,8872084,8367485,8708706,9445882,10731823,11142174,12339754,12665708,12712354,12736391,14932891,14444595,15125120,15998772,15133631,16083535,14707751,14580481,16112714,18099924,16876731,19696544
 "36000","New York",2,SAGDP6N,35,"44-45","  Retail trade ","Thousands of dollars",8068329,8230968,8802450,8577368,8939640,9558919,10943646,12522820,12926665,12376381,12170915,12290884,11994254,13360663,14718916,14996977,16112146,16431165,16236721,16633329,17143702,17696939,19060880,17603454,19890060
 "36000","New York",2,SAGDP6N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",1106334,1182732,1232110,1339936,1183321,1235263,1301234,1451084,1496419,1517082,1642222,1644269,1735009,1738095,1825878,1903603,2075346,2172945,2288345,2390784,2458724,2596562,2682377,1890581,2351597
 "36000","New York",2,SAGDP6N,37,"481","   Air transportation ","Thousands of dollars",545980,635163,678311,758139,678906,730575,781652,899905,943743,931522,1056942,1050881,1086592,1023555,1089156,1135006,1297701,1406003,1496190,1577453,1653630,1776434,1856470,1090839,1480972
 "36000","New York",2,SAGDP6N,38,"482","   Rail transportation ","Thousands of dollars",21444,24105,26866,27418,26390,23062,23327,26048,26496,26160,26509,30847,35261,37710,45281,53578,54813,59946,62121,66511,64792,63899,64328,66024,69831
