GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,SAGDP6N,1,"...","All industry total ","Thousands of dollars",50087899,52570749,57483750,60861353,62686735,66462478,69606768,73186237,79490363,85724791,93691473,95438600,91892592,94325347,99491890,106367226,111096064,119918432,125610817,127171091,135548596,150455442,158215941,154764453,170024846
 "48000","Texas",6,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",50046803,52530092,57439365,60819753,62645257,66418526,69559886,73134537,79435154,85661081,93627573,95369464,91823746,94252593,99412577,106281801,111006527,119815855,125510543,127071016,135447094,150345731,158103654,154644983,169902457
 "48000","Texas",6,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",318928,329519,386370,363316,357826,378276,433972,426323,431088,492695,566709,649078,717714,748921,792778,811710,832885,945124,896926,846108,912735,919895,957043,1015592,1095744
 "48000","Texas",6,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",283944,293782,347344,324619,325184,342766,395328,383970,387530,447666,519417,596506,667494,695242,737436,758013,779290,896529,848795,794706,853330,847846,889206,940061,1019151
 "48000","Texas",6,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",34983,35737,39026,38697,32642,35509,38644,42353,43558,45029,47292,52572,50219,53679,55342,53697,53595,48595,48131,51402,59405,72049,67837,75531,76592
 "48000","Texas",6,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",5065701,4918001,5047824,6051415,6262841,6795401,8001220,9617291,12595140,14458442,15033832,16419794,12452343,12986873,14407547,15784135,16252403,21471789,19646644,18793361,20037125,23074680,23376718,22203333,24952782
 "48000","Texas",6,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",4628070,4470299,4570927,5583321,5843548,6339255,7514836,9095054,11981886,13759638,14231536,15558962,11575999,12089312,13385490,14455578,15001838,20131505,18295832,17452143,18668934,21628866,21830715,20663014,23313985
 "48000","Texas",6,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",91867,92507,100514,100157,87783,93525,101510,108728,99804,108925,124254,135268,125837,123979,137989,160396,171178,180588,171461,185987,214746,270069,295426,279812,314572
 "48000","Texas",6,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",345763,355194,376384,367937,331510,362621,384874,413509,513450,589879,678042,725563,750507,773582,884068,1168162,1079387,1159696,1179351,1155230,1153444,1175745,1250578,1260506,1324225
 "48000","Texas",6,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",2434425,2570745,2900633,3163116,3231131,3530963,3485679,3613137,3629451,4001163,4252530,4057015,4172297,4338762,4238090,4406193,4388906,4165474,4286289,4426272,4836200,5176708,5552979,5543006,6005818
