GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,SAGDP6N,1,"...","All industry total ","Thousands of dollars",1427892,1559936,1648686,1849997,1860135,1989899,2249413,2520762,2985979,3376823,3660600,3877980,3597069,3625475,4059724,3962701,4030899,3839289,3701853,3536924,3334389,3458078,3501075,3192970,3589482
 "56000","Wyoming",7,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",1422004,1554079,1641669,1839882,1851905,1979837,2238999,2509544,2973406,3361649,3641544,3860146,3581560,3612035,4040175,3940644,4011859,3820203,3685757,3523613,3321021,3444084,3487332,3180540,3577056
 "56000","Wyoming",7,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",26170,25893,27256,27963,27727,30345,30523,31660,34245,39661,51876,51540,49643,50628,51988,52569,55334,62112,58607,55695,61470,61625,63636,68135,73943
 "56000","Wyoming",7,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",23265,22702,23983,24664,23853,26318,26664,27511,30026,35461,47201,46139,44350,45002,46512,47120,49758,57256,53861,50715,54393,53988,56386,59709,64613
 "56000","Wyoming",7,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",2905,3191,3272,3299,3874,4027,3859,4149,4218,4200,4675,5401,5292,5626,5476,5449,5576,4855,4746,4979,7076,7637,7250,8426,9330
 "56000","Wyoming",7,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",513463,565246,548874,671011,744161,737084,996051,1223549,1522435,1781426,1809962,1918238,1585082,1649668,1997536,1783284,1844474,1739123,1557779,1409321,1275527,1354954,1301760,1108494,1335333
 "56000","Wyoming",7,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",260257,292534,278592,373514,421389,418439,569659,726933,947584,1106403,1116140,1181565,924127,979824,1140301,1010511,1058995,1025290,995904,899535,771255,792615,769456,656045,801671
 "56000","Wyoming",7,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",226717,241658,239673,263187,283993,274977,383041,448019,509477,592736,595536,630862,557898,565967,757150,664462,684555,617907,475243,434885,430951,494314,460888,394882,475698
 "56000","Wyoming",7,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",26489,31054,30609,34310,38779,43669,43352,48596,65373,82287,98287,105812,103057,103876,100086,108311,100924,95926,86633,74902,73320,68025,71415,57567,57965
 "56000","Wyoming",7,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",88847,93714,94931,86055,86251,103860,105393,104707,114300,120251,142264,146506,171322,191605,176394,178796,174546,148523,159075,173465,161574,160120,161776,162035,169051
 "56000","Wyoming",7,SAGDP6N,11,"23","  Construction ","Thousands of dollars",9606,11276,12892,12843,13955,16119,15694,15881,18572,21588,28723,29000,30817,31889,26275,26654,26454,24821,26508,25552,23415,25696,30456,30005,32672
 "56000","Wyoming",7,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",32896,36236,35756,33515,44497,47610,44187,42171,45838,49342,60978,64044,77258,85052,85626,89405,97559,91332,103343,118141,110068,109250,108440,109405,112007
 "56000","Wyoming",7,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",7275,8027,8610,7649,8376,9762,9475,9082,9785,10677,13297,13634,15992,16391,15118,15169,15571,13945,14744,13691,14406,15833,19069,16448,16624
 "56000","Wyoming",7,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",1089,1124,1148,1036,985,1216,1035,1003,1077,1187,1391,1213,1137,1045,978,1007,1220,966,1103,1091,1015,1010,1067,1116,1191
 "56000","Wyoming",7,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1570,1749,1940,1683,1853,2144,2130,1991,2178,2240,2906,3078,4152,4306,3610,3611,3357,2845,3119,3486,3363,3282,3657,3887,3831
 "56000","Wyoming",7,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",550,534,599,520,445,396,344,339,338,336,530,426,467,514,470,465,552,530,521,577,525,880,736,889,1276
 "56000","Wyoming",7,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",1508,1675,1948,1603,1906,2147,2199,2221,2477,2831,3489,3864,3947,3884,4054,4026,4425,4084,4524,3958,4769,5444,7442,4981,4384
 "56000","Wyoming",7,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",637,702,711,673,949,1058,772,785,887,1025,1528,1527,2234,2348,2113,2578,2556,1994,1908,1884,1817,1928,2377,2107,2208
 "56000","Wyoming",7,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",714,909,864,781,711,1149,1110,897,775,806,982,817,951,797,703,801,816,1256,1261,815,931,1280,1420,1027,1174
 "56000","Wyoming",7,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",385,378,339,316,509,395,409,380,489,510,585,756,980,1045,943,878,765,719,878,632,512,612,925,940,980
 "56000","Wyoming",7,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",365,442,489,487,376,509,762,805,997,1175,1228,1322,1409,1750,1633,1208,1069,825,658,658,922,818,829,891,882
 "56000","Wyoming",7,SAGDP6N,22,"3364-3369","    Other transportation equipment manufacturing ","Thousands of dollars",96,106,125,138,173,182,149,133,127,133,147,136,153,148,113,126,127,106,124,123,127,132,137,146,164
 "56000","Wyoming",7,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",79,91,103,101,145,174,167,171,186,198,251,246,277,259,205,190,184,152,156,170,166,170,190,190,204
