GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,SAGDP7N,1,"...","All industry total ","Thousands of dollars",7578587,8195805,8249529,8453149,8827632,9009373,10033834,11383893,12959014,13705548,15267327,15542542,14927838,16589873,18133916,18323270,18963160,19343393,19837427,18244780,19968749,20931802,20744659,21656124,24554879
 "30000","Montana",7,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",7011755,7602717,7620597,7793069,8160764,8302610,9287994,10597502,12154411,12795604,14286318,14495459,13838634,15492545,16992146,17128975,17783806,18121232,18598180,16952657,18624917,19554710,19260964,20155236,22948348
 "30000","Montana",7,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",733069,793946,860745,764405,815727,632780,857148,1109657,1159634,762475,1030365,1181010,966348,1261054,1422167,1469801,1734046,1563586,1503676,1382826,1053626,1350187,1501883,1761974,1561583
 "30000","Montana",7,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",638319,693787,769242,668379,732492,550807,761870,1019141,1068690,669942,944745,1098068,894488,1191065,1356277,1400884,1664583,1487226,1423331,1306233,976958,1275367,1430002,1691740,1490165
 "30000","Montana",7,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",94751,100159,91502,96026,83236,81973,95278,90516,90944,92533,85620,82942,71860,69989,65889,68917,69464,76360,80345,76593,76667,74821,71881,70234,71418
 "30000","Montana",7,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",236055,247872,243864,281808,279399,258016,344661,448076,711796,886958,1059382,1271273,1046308,1264382,1505241,1340264,1391989,1210717,732608,341646,602949,618118,533500,689650,703939
 "30000","Montana",7,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",18167,-3774,5617,38964,42708,76230,123911,181523,343292,364460,373410,568080,298857,331270,410955,512084,628329,535870,155318,69501,171779,195823,123505,87603,452146
 "30000","Montana",7,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",202267,240223,234654,228300,190051,151329,186679,212597,291676,360330,538751,521779,669602,825090,940038,653895,615740,513782,526138,275698,416634,374869,374765,534650,179847
 "30000","Montana",7,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",15622,11423,3593,14544,46640,30458,34071,53956,76828,162168,147221,181414,77850,108022,154247,174284,147921,161066,51152,-3553,14536,47427,35230,67397,71947
 "30000","Montana",7,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",294380,267145,289985,260086,298611,259449,282162,311342,294516,346887,382680,389500,444212,479881,512493,495399,515584,517305,520565,523758,536055,485395,531677,505481,594252
