GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "91000","New England",1,SAGDP7N,1,"...","All industry total ","Thousands of dollars",181996924,185022807,190865611,203414062,211838321,224442186,234303904,252258986,267731239,286899486,299241093,306121013,318889893,333540198,330156013,342671877,344076714,347451892,368871576,380625031,385839213,406469479,425654154,434328290,471594438
 "91000","New England",1,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",167697982,170615206,175989637,188098170,196033085,207895683,217311373,234459380,248324419,266264340,276786889,282411926,295358142,310325924,305087282,319725351,320877176,324110919,345207407,356810644,360979952,380740671,399786242,407931572,443236281
 "91000","New England",1,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1318992,1352666,1482925,1691381,(D),(D),(D),1554792,1647502,1663097,1556956,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1383104
 "91000","New England",1,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",576663,609352,661937,734974,627685,439714,573310,810908,869301,726279,805765,954361,753321,999163,1147687,966946,1035901,733000,717461,424986,625105,645764,839445,855294,733167
 "91000","New England",1,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",742329,743314,820988,956407,(D),(D),(D),743884,778201,936818,751191,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),649937
 "91000","New England",1,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",48482,75737,85084,110898,(D),(D),(D),177305,196452,260636,389586,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),428666
 "91000","New England",1,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",176,-105,-203,-225,0,(D),(D),536,365,376,1869,(D),(D),401,734,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",49808,75743,83848,107312,123924,(D),156586,172571,194565,256558,384717,(D),(D),(D),(D),(D),(D),(D),(D),(D),437716,451913,(D),451593,425751
 "91000","New England",1,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",-1502,100,1438,3811,(D),3092,(D),4198,1522,3703,3000,4202,1993,(D),(D),5927,(D),5757,1334,2083,(D),5954,15288,(D),(D)
 "91000","New England",1,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",4768794,4277960,4804755,4444170,(D),(D),4475517,4801384,5504499,7411403,7632128,8710094,8170575,8708222,8107451,8408892,8979842,9478956,9226373,8197170,8902073,9692496,10200181,11379941,13198247
 "91000","New England",1,SAGDP7N,11,"23","  Construction ","Thousands of dollars",6432400,6693514,7395117,8179089,8714159,(D),9385909,11047000,12524684,12733725,11947745,9043913,9795240,9058064,8701513,9353023,8901998,8456591,8663491,9137559,(D),9604149,10031354,12844215,11262103
 "91000","New England",1,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",24837505,23934605,21708444,23528386,20312473,26304408,30160811,32030572,32208104,41373100,42789411,40983586,34443596,37957596,35779241,37135388,38025084,37867668,41580127,40134530,39062058,46201691,47465628,46904028,51305526
 "91000","New England",1,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",17076082,16189085,12401736,14248378,12329122,13777175,18638067,(D),16588322,18588269,19108675,16794018,18098887,24098680,23338595,24103412,23548742,21758557,24977863,24408432,23257498,27843460,28406707,26341004,28653601
 "91000","New England",1,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",158674,115084,102921,105024,-8084,(D),105682,(D),(D),(D),81912,(D),72257,(D),(D),(D),295052,288796,(D),(D),(D),359804,245082,(D),671747
 "91000","New England",1,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",368716,349827,392846,298481,234695,366670,337632,371657,446391,593593,583899,357511,344309,462964,466096,672787,795647,572664,648987,707267,666773,675698,660708,820843,767078
 "91000","New England",1,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",145107,212988,233347,125601,116883,123585,8285,291928,241264,(D),(D),(D),(D),(D),(D),(D),(D),367430,242815,245803,230714,365211,480313,389418,740233
 "91000","New England",1,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",2804802,2713265,2569023,2992053,2545592,1843371,1862175,2083822,2282097,2079684,2075645,2115580,3124160,3662882,3411795,3923922,4158428,3585857,4078732,4325504,3702943,3039540,3538068,3994955,3976239
 "91000","New England",1,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",1445393,1578425,1564497,1178525,1245807,990415,845990,901214,1100085,1762574,905009,914905,651778,973874,1141730,1013579,1603430,1180128,1068924,1136533,1421985,1593558,1569113,2224879,(D)
 "91000","New England",1,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",7195929,6120843,3639485,5637796,2506213,4495351,8615860,7016898,6535611,6319261,7945893,6963542,6706476,9200554,9706625,9618921,9203672,8713113,9057109,8436805,7807153,10823209,9578716,8494420,8485067
 "91000","New England",1,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1376573,1075826,1043072,1087605,938945,(D),1398606,849773,905094,1283829,878455,1393457,1184027,1088801,852358,791047,1340185,1214447,(D),1134594,1164757,1470402,1470179,(D),1458532
 "91000","New England",1,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",421652,419075,371649,397034,311872,348271,370430,386893,(D),291782,(D),(D),-120317,115030,226650,238425,(D),(D),375288,(D),(D),(D),316680,347121,(D)
 "91000","New England",1,SAGDP7N,22,"3364-3369","    Other transportation equipment manufacturing ","Thousands of dollars",105394,104154,-734669,-499200,1513987,(D),2370007,1931983,(D),(D),(D),(D),2605303,4186484,3398059,3870282,2358567,2049533,3541743,(D),3166427,5028182,6302885,3668315,5359139
 "91000","New England",1,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",156164,152705,112004,157261,107587,181789,130753,-4482,82490,105127,112715,(D),(D),57978,49425,45261,115441,(D),140860,153179,155068,(D),138297,266349,158572
 "91000","New England",1,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",2897678,3346892,3107561,2768199,2815624,2599179,2592646,2127730,1672855,2203498,1976387,2359627,3022661,3630014,3158844,2986125,2996798,3339146,3964314,4940703,4159429,4078851,4106665,4355828,4427402
 "91000","New England",1,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",7761423,7745519,9306708,9280008,7983351,12527234,11522744,(D),15619782,22784832,23680736,24189568,16344709,13858915,12440646,13031976,14476342,16109112,16602264,15726098,15804560,18358232,19058921,20563024,22651925
 "91000","New England",1,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",937918,870136,1136425,1243302,1075904,1279508,1251730,1107888,1615671,2484337,1921002,1915643,2612661,2270807,1851015,1718239,1994927,2350874,2778888,2302131,2090585,2199199,2950214,3418177,3457876
 "91000","New England",1,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",270738,97310,222616,330262,223699,151088,-122535,89028,(D),(D),(D),63862,53366,(D),(D),(D),(D),(D),(D),219367,(D),(D),(D),66779,(D)
 "91000","New England",1,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",446511,285194,339122,315779,264831,(D),28464,(D),(D),(D),(D),(D),(D),(D),115817,(D),(D),121108,137918,(D),(D),(D),(D),77875,96295
 "91000","New England",1,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",1688348,1548435,1957799,1744569,1001504,(D),653962,754064,635614,886563,874051,625630,832210,599774,454253,405756,(D),511676,538493,485512,741901,807339,765622,1111596,1008588
 "91000","New England",1,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",202836,291345,320089,268706,211959,342508,377187,380189,519611,618350,703732,564861,532281,664623,(D),592460,535007,534229,702223,676730,598286,705449,659055,693175,608483
 "91000","New England",1,SAGDP7N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",145841,242782,157015,176304,244496,(D),555160,574345,448256,392580,364214,507808,389290,385655,402820,440703,410067,(D),(D),(D),(D),(D),(D),261351,(D)
 "91000","New England",1,SAGDP7N,32,"325","    Chemical manufacturing ","Thousands of dollars",3134006,3432838,4051007,4026881,4108588,8445137,7729508,11942132,11647648,17572946,19014972,19776605,10842237,8796620,8110023,8499685,9723994,11154535,10652389,10400928,10664017,13097303,13390677,14212340,15834283
 "91000","New England",1,SAGDP7N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",935225,977479,1122636,1174203,852370,1047411,1049266,890540,751378,883818,(D),(D),(D),962433,(D),1079637,944727,594047,1057654,1087516,(D),725156,732713,721732,582455
 "91000","New England",1,SAGDP7N,34,"42","  Wholesale trade ","Thousands of dollars",8045877,8185533,8305498,8930950,8507718,8143749,9015227,9714375,10747274,12039108,13243883,14806475,15302133,17321825,17555275,18951826,19566337,19400179,20685404,19711989,18737432,18503112,18840342,20487868,24491871
 "91000","New England",1,SAGDP7N,35,"44-45","  Retail trade ","Thousands of dollars",8921146,9691971,9932607,10318356,10999370,11408091,12204560,12086261,12462894,12379603,11042738,10599252,11756253,12231972,11454331,11497036,11749718,11139998,11488279,11991110,11887479,12444076,13051498,15601782,18219485
 "91000","New England",1,SAGDP7N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",2480050,2530374,2558062,2833993,(D),(D),3272162,3687945,4158465,4403114,4367293,4499096,4408754,4702777,4842813,4725135,4918208,5501564,6919148,6827154,6910238,6777872,7100642,5692800,6716083
 "91000","New England",1,SAGDP7N,37,"481","   Air transportation ","Thousands of dollars",424110,300656,244032,116630,-378295,-200181,90409,143821,370779,267498,529907,428895,557157,700667,832593,873427,904399,1055102,1349081,1495751,1468466,1283913,1541324,230358,647566
 "91000","New England",1,SAGDP7N,38,"482","   Rail transportation ","Thousands of dollars",80649,69373,72218,82550,(D),(D),(D),151437,(D),181318,167406,223490,260415,317203,251542,228491,240320,(D),264645,277318,332275,379624,359644,(D),437774
 "91000","New England",1,SAGDP7N,39,"483","   Water transportation ","Thousands of dollars",111420,145380,140384,251422,272373,195814,(D),237049,(D),230282,572433,496741,(D),(D),(D),(D),200729,240696,467156,265761,(D),229361,309668,241313,319336
