GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,SAGDP7N,1,"...","All industry total ","Thousands of dollars",5209710,5198976,5605599,5948586,6220161,6704058,7029067,7812445,7765020,7962317,7701091,8502865,8960687,9878293,10167482,10418139,9766057,10141059,10157237,10454958,10399932,10475344,10927353,11880120,12832862
 "50000","Vermont",1,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",4827239,4801626,5193189,5503151,5762992,6235071,6552519,7315689,7246646,7414077,7135836,7910154,8380405,9296468,9540191,9764287,9098840,9462100,9484536,9761501,9694309,9757381,10181112,11069344,11987923
 "50000","Vermont",1,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",181138,201976,208165,218412,214635,160040,190514,261738,286291,216132,297923,311238,209088,276915,375747,308506,357161,400745,281904,242615,265556,248016,313271,316225,309133
 "50000","Vermont",1,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",142881,163660,169517,173250,166008,114718,149341,218980,238410,159129,252431,268523,168929,233671,333346,269037,319700,360686,243303,209192,231075,213273,276840,282201,273447
 "50000","Vermont",1,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",38257,38316,38648,45163,48627,45322,41172,42758,47881,57004,45492,42715,40159,43245,42402,39469,37461,40059,38602,33422,34481,34742,36431,34025,35686
 "50000","Vermont",1,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",14135,12920,14240,16436,21098,28616,48761,49111,82415,88152,83099,97635,162961,186169,179535,140685,118807,118736,117810,99166,131559,62890,45958,93322,99060
 "50000","Vermont",1,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",81,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "50000","Vermont",1,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",14054,12948,14541,16486,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,-301,-49,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",219652,199675,223940,209334,205840,179721,179762,213851,188164,208652,212601,226993,332269,377850,297305,323885,360530,341202,331379,299402,305184,328692,340425,330782,374650
 "50000","Vermont",1,SAGDP7N,11,"23","  Construction ","Thousands of dollars",165832,179476,220211,271226,324980,353395,342088,387633,388579,389076,326757,238553,326476,300577,292821,298073,233221,170244,144147,161654,163591,148318,147595,262573,177338
 "50000","Vermont",1,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",627748,485618,545870,592027,540935,616846,691770,714275,588774,848230,256999,580911,492152,930377,974223,1048311,400774,409192,601127,636927,592288,601400,599471,992414,981753
 "50000","Vermont",1,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",438188,328172,262404,329813,407113,469022,567394,554019,451274,572151,-33257,249860,243146,687300,724935,922592,286016,260982,325478,399280,361171,341067,359742,665092,686302
 "50000","Vermont",1,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",28771,26519,1211,11733,13377,31119,33406,38891,49315,35046,13615,10251,4576,11595,6489,47717,70218,75742,60687,70066,68438,72044,48281,43300,88873
 "50000","Vermont",1,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",18793,3190,17261,16243,29361,33212,16251,44557,47683,34179,23884,29691,23620,23841,34771,33288,35251,51680,34917,35579,25056,27190,28903,51011,41168
