GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,SAGDP8N,1,"...","All industry total ","Quantity index",73.740,80.883,86.981,90.691,93.614,90.666,91.894,96.336,95.157,97.225,96.990,94.068,98.658,97.149,100.906,100.000,96.602,104.146,107.119,101.037,96.797,98.509,102.869,99.883,103.288
 "10000","Delaware",2,SAGDP8N,2,"..."," Private industries ","Quantity index",73.072,80.641,87.112,90.931,94.011,90.166,91.563,96.446,94.715,97.280,96.693,93.262,98.150,96.762,100.861,100.000,96.511,105.291,108.595,101.697,96.575,98.206,103.154,99.918,103.540
 "10000","Delaware",2,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",61.538,76.719,81.066,93.730,108.673,69.505,98.916,125.017,155.342,129.877,101.266,97.711,152.385,124.103,91.235,100.000,135.022,163.515,148.315,154.418,198.206,209.930,181.370,140.280,139.190
 "10000","Delaware",2,SAGDP8N,4,"111-112","   Farms ","Quantity index",60.016,76.169,80.353,95.200,113.374,70.312,100.981,128.882,162.491,134.317,104.602,100.191,160.370,128.031,90.983,100.000,138.220,168.530,151.109,157.679,208.446,220.965,189.705,143.319,144.382
 "10000","Delaware",2,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",74.982,79.805,85.537,79.755,65.738,63.361,81.155,88.615,85.224,85.248,67.688,73.601,74.772,83.529,94.369,100.000,95.063,101.956,109.503,111.204,96.932,101.214,96.206,98.654,79.507
 "10000","Delaware",2,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",9353.168,10036.607,10055.735,8604.232,7490.734,6317.607,3215.205,2572.670,724.982,520.144,161.358,239.518,207.690,310.715,20.888,100.000,676.571,758.282,941.945,988.973,1061.792,1461.939,1458.543,1555.078,1709.318
 "10000","Delaware",2,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "10000","Delaware",2,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",4293.654,4472.766,4681.135,4667.388,6864.081,5292.886,2576.433,1869.866,263.408,156.381,115.398,177.448,184.505,34.540,20.888,100.000,666.268,759.260,943.160,990.250,947.504,1253.853,1135.236,1519.607,1670.330
 "10000","Delaware",2,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "10000","Delaware",2,SAGDP8N,10,"22","  Utilities ","Quantity index",90.497,87.704,100.456,92.812,78.521,87.623,82.511,87.410,80.520,96.108,98.903,98.053,92.513,104.926,101.345,100.000,97.918,104.553,106.267,111.676,109.474,104.113,103.722,113.220,107.581
