GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "15000","Hawaii",8,SAGDP8N,1,"...","All industry total ","Quantity index",77.608,75.662,76.284,77.729,77.433,79.258,83.414,88.058,93.350,95.625,97.462,97.991,94.468,96.833,98.250,100.000,101.610,102.235,105.513,107.508,109.794,111.042,110.163,97.502,103.674
 "15000","Hawaii",8,SAGDP8N,2,"..."," Private industries ","Quantity index",77.323,74.821,75.238,77.307,76.893,78.377,82.919,88.002,94.166,96.556,98.763,98.625,94.025,96.803,97.915,100.000,102.596,102.993,107.234,109.219,112.366,114.854,113.954,97.850,105.488
 "15000","Hawaii",8,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",81.186,85.967,102.747,110.913,102.698,120.040,116.766,103.250,121.394,131.751,95.781,97.175,133.160,119.858,106.745,100.000,93.746,91.754,111.297,113.135,116.652,106.131,95.310,86.952,63.006
 "15000","Hawaii",8,SAGDP8N,4,"111-112","   Farms ","Quantity index",80.510,86.457,104.062,115.036,104.313,123.236,118.388,104.909,128.165,137.397,97.966,99.744,140.937,126.265,108.881,100.000,92.897,90.593,111.850,113.251,116.059,104.165,90.079,79.680,50.962
 "15000","Hawaii",8,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",82.944,81.322,93.600,89.038,92.900,101.845,106.856,93.151,82.323,97.590,80.902,79.976,87.555,81.581,92.606,100.000,99.388,99.299,110.323,114.038,120.452,115.413,117.116,116.304,114.939
 "15000","Hawaii",8,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",141.396,152.013,180.878,191.124,175.192,144.748,156.028,143.036,112.926,146.371,194.890,178.734,176.389,134.002,97.744,100.000,97.891,97.263,105.961,115.723,96.967,119.680,108.474,113.474,128.648
 "15000","Hawaii",8,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.330,59.025,58.437,58.248,100.000,84.695,83.238,206.973,239.078,0.000,0.000,16.471,29.151,0.000
 "15000","Hawaii",8,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",144.763,155.632,185.184,195.674,179.363,148.194,158.384,145.309,114.481,148.951,197.531,180.863,177.782,135.335,98.230,100.000,97.989,97.568,105.600,115.368,97.306,120.051,109.009,114.220,129.564
 "15000","Hawaii",8,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",0.000,0.000,0.000,0.000,0.000,0.000,77.105,63.634,67.484,42.109,124.651,94.959,132.390,56.154,82.220,100.000,100.290,79.373,73.289,71.518,80.281,104.244,61.797,37.780,51.794
 "15000","Hawaii",8,SAGDP8N,10,"22","  Utilities ","Quantity index",56.563,51.760,59.790,64.136,51.930,50.483,52.747,58.401,57.097,63.115,64.730,73.662,63.891,78.919,92.524,100.000,96.827,90.841,80.996,81.453,81.406,80.726,77.886,76.396,71.678
 "15000","Hawaii",8,SAGDP8N,11,"23","  Construction ","Quantity index",93.194,85.769,82.754,90.262,89.230,93.164,103.373,110.767,126.621,127.325,135.427,131.710,117.226,105.400,99.832,100.000,97.189,96.839,107.614,116.009,111.834,107.929,108.825,104.035,101.650
 "15000","Hawaii",8,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",96.960,90.954,96.595,96.440,105.215,113.954,120.117,113.910,109.058,108.280,107.747,123.826,122.674,107.529,101.236,100.000,111.356,120.581,120.737,127.331,124.492,124.425,109.269,100.083,108.276
