GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,SAGDP8N,1,"...","All industry total ","Quantity index",77.106,81.752,84.552,87.890,86.344,88.297,92.226,95.721,96.611,98.535,101.189,100.149,93.014,99.003,99.518,100.000,102.251,105.414,104.405,106.352,108.147,111.917,112.441,108.906,115.216
 "18000","Indiana",3,SAGDP8N,2,"..."," Private industries ","Quantity index",74.964,79.896,82.807,86.238,84.719,86.866,91.051,94.793,95.714,96.527,100.914,99.565,91.782,98.576,99.284,100.000,102.928,105.811,104.772,106.708,108.341,112.313,112.945,109.038,116.134
 "18000","Indiana",3,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",82.832,70.113,53.649,72.941,77.933,76.340,94.302,104.878,80.791,95.953,94.941,119.330,119.922,107.961,116.935,100.000,172.063,139.080,114.492,132.881,127.911,135.783,105.667,150.693,154.557
 "18000","Indiana",3,SAGDP8N,4,"111-112","   Farms ","Quantity index",74.489,57.506,39.528,57.941,58.301,59.614,85.060,104.831,77.086,90.405,92.149,118.960,122.071,106.470,118.446,100.000,177.790,139.911,110.773,132.692,127.746,137.797,100.921,153.252,158.120
 "18000","Indiana",3,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",168.186,194.439,187.149,221.997,267.059,239.127,191.270,107.509,118.825,150.799,124.865,124.358,102.291,119.950,99.542,100.000,105.866,126.100,143.334,135.914,130.713,123.204,138.574,136.243,132.393
 "18000","Indiana",3,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",109.168,134.409,141.458,125.330,152.134,141.197,140.468,114.000,99.511,98.210,100.305,90.854,96.859,97.558,99.508,100.000,113.276,106.794,100.136,98.149,102.368,93.898,78.676,69.668,54.084
 "18000","Indiana",3,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",49.543,35.536,29.485,20.914,19.390,29.640,23.070,30.353,32.847,42.183,53.188,56.434,82.342,68.126,71.256,100.000,102.070,107.144,132.543,137.043,124.643,97.041,100.642,99.308,82.856
 "18000","Indiana",3,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",117.345,145.702,153.619,135.903,164.381,151.603,151.718,121.531,105.151,103.468,104.610,93.206,98.406,99.569,101.148,100.000,113.124,104.736,98.204,96.660,99.879,91.946,75.710,66.184,49.852
 "18000","Indiana",3,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",21.194,18.758,19.040,24.779,48.152,50.449,40.109,48.001,52.335,37.627,48.271,73.104,61.745,70.168,85.825,100.000,140.372,182.201,130.426,109.352,161.242,152.872,163.811,174.856,202.439
 "18000","Indiana",3,SAGDP8N,10,"22","  Utilities ","Quantity index",84.228,79.022,92.147,89.998,73.582,74.456,71.742,76.708,75.708,79.422,76.248,82.548,80.166,92.789,95.936,100.000,99.988,96.027,92.308,98.346,94.970,93.054,95.098,95.488,92.817
 "18000","Indiana",3,SAGDP8N,11,"23","  Construction ","Quantity index",134.105,138.769,135.146,132.766,123.756,117.027,119.081,119.615,114.036,106.415,106.612,99.910,83.936,82.871,89.069,100.000,96.065,90.712,91.352,95.374,102.011,104.398,106.704,105.503,108.343
