GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,SAGDP8N,1,"...","All industry total ","Quantity index",79.997,82.229,86.348,90.332,92.160,94.841,97.262,101.074,102.323,103.295,103.130,101.815,99.908,101.165,100.204,100.000,99.179,100.667,101.390,103.513,105.197,108.234,110.942,111.553,118.470
 "23000","Maine",1,SAGDP8N,2,"..."," Private industries ","Quantity index",77.534,80.059,84.479,88.563,90.444,93.203,95.696,99.904,101.270,102.354,102.221,100.565,98.651,100.330,99.940,100.000,99.243,100.758,101.786,103.613,105.861,109.488,112.693,113.357,121.200
 "23000","Maine",1,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",92.570,107.405,120.626,138.764,140.821,133.715,132.423,119.570,122.440,131.508,107.397,105.505,113.193,116.634,102.923,100.000,95.987,98.645,118.238,116.847,112.079,111.060,112.020,106.917,90.918
 "23000","Maine",1,SAGDP8N,4,"111-112","   Farms ","Quantity index",64.454,93.534,108.041,129.860,113.072,104.872,97.871,97.032,111.948,122.956,99.011,102.097,126.434,134.577,101.047,100.000,100.727,97.265,119.072,118.760,113.595,119.586,131.401,111.754,77.265
 "23000","Maine",1,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",114.350,118.620,131.171,147.458,162.062,155.670,158.527,136.020,129.370,137.124,113.000,107.008,102.549,102.875,104.646,100.000,91.615,99.486,117.456,115.429,110.899,105.907,101.004,103.576,99.381
 "23000","Maine",1,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",32.616,43.545,67.792,69.757,81.260,76.460,67.205,69.295,50.274,49.208,57.126,81.812,59.000,65.690,63.225,100.000,116.625,100.254,139.660,141.595,171.737,201.856,143.479,236.747,216.768
 "23000","Maine",1,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "23000","Maine",1,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",25.294,42.127,66.408,67.458,83.805,78.947,68.875,71.767,52.430,51.318,46.747,73.647,59.901,65.542,61.238,100.000,116.702,97.427,144.536,146.538,177.718,205.013,147.516,244.716,224.065
 "23000","Maine",1,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",127.752,55.910,75.807,91.204,21.364,18.487,25.652,11.507,0.000,0.000,0.000,28.111,25.681,70.798,140.657,100.000,113.868,192.636,0.000,0.000,0.475,137.843,30.502,0.000,0.000
 "23000","Maine",1,SAGDP8N,10,"22","  Utilities ","Quantity index",112.042,99.126,110.973,97.836,96.862,91.988,83.162,87.828,87.458,95.961,102.152,102.687,91.842,99.688,97.383,100.000,99.806,94.108,90.392,94.671,94.515,92.901,92.356,94.079,88.633
