GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,SAGDP9N,1,"...","All industry total ","Millions of chained 2012 dollars",576730.2,595615.8,618148.4,640723.4,642292.5,647517.8,658317.3,676805.9,687706.6,704827.6,712619.8,706616.5,688161.0,698179.6,711283.4,726399.1,726125.0,741194.0,751754.9,749333.5,753027.0,771695.5,775998.1,734385.0,780060.8
 "17000","Illinois",3,SAGDP9N,2,"..."," Private industries ","Millions of chained 2012 dollars",508540.0,526380.7,547754.0,568861.8,567548.0,570995.5,581746.0,599898.6,610732.0,627942.8,637131.2,630948.2,612650.1,620759.1,635597.6,651576.9,651282.5,667721.9,679808.4,678162.6,681051.0,700784.3,704670.7,664426.0,710046.2
 "17000","Illinois",3,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",4860.4,3935.6,2590.4,3691.4,3308.3,4265.9,5170.7,6492.8,3874.7,5820.8,6203.3,8068.5,7695.8,6595.8,7987.2,5894.1,10513.3,8197.2,5561.3,8678.0,8026.0,9160.6,6787.3,8812.3,10452.3
 "17000","Illinois",3,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2012 dollars",4628.3,3671.1,2313.2,3418.8,2949.8,3938.0,4863.7,6238.3,3579.6,5477.7,5881.4,7735.2,7388.0,6261.0,7672.3,5547.6,10208.9,7814.1,5118.3,8342.7,7659.1,8829.3,6327.3,8360.6,10035.9
 "17000","Illinois",3,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2012 dollars",228.9,247.1,238.4,258.6,312.7,299.8,292.6,251.9,271.0,334.6,322.7,343.6,320.0,323.8,316.7,346.4,306.8,372.8,393.9,389.4,394.3,396.7,418.5,461.1,466.8
 "17000","Illinois",3,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",2812.4,3422.6,4084.8,3424.0,3623.2,3355.8,3226.9,2970.1,2817.5,2777.6,2791.2,2404.9,2484.6,2181.2,2042.4,2334.7,2492.5,2532.4,2767.7,2271.2,2268.5,2327.7,2020.2,1761.7,1213.7
 "17000","Illinois",3,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2012 dollars",212.2,217.6,211.3,108.2,117.4,213.1,142.6,169.4,136.3,145.0,137.1,140.7,214.5,185.6,188.4,277.4,238.9,186.5,312.0,333.7,297.7,260.6,316.0,634.2,259.1
 "17000","Illinois",3,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2012 dollars",2701.8,3384.7,4087.8,3439.3,3559.7,3201.7,3161.9,2795.8,2678.9,2562.5,2578.2,2095.2,2094.7,1806.1,1637.0,1815.5,2047.3,2143.2,2347.4,1927.6,1941.5,2009.8,1661.0,1332.9,960.6
 "17000","Illinois",3,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2012 dollars",65.7,54.7,59.6,77.4,114.5,86.4,86.7,103.8,111.0,149.4,158.6,202.9,183.3,195.7,222.2,241.8,214.1,220.5,162.3,101.7,103.1,115.1,131.0,94.4,114.1
 "17000","Illinois",3,SAGDP9N,10,"22","  Utilities ","Millions of chained 2012 dollars",12494.7,11920.3,14406.1,14208.1,11846.2,11838.4,11004.7,11891.5,11211.5,10993.7,10804.8,11592.7,10374.3,11742.3,12271.0,12140.7,11791.7,11864.1,11739.4,12191.4,12346.7,12523.6,12809.1,13425.7,12719.4
 "17000","Illinois",3,SAGDP9N,11,"23","  Construction ","Millions of chained 2012 dollars",33591.2,33930.5,36199.6,37343.1,36489.1,35677.7,36231.3,36239.6,35143.6,33423.4,31893.5,29602.3,23720.4,22667.7,21822.4,20342.4,22403.1,22648.2,23675.4,23495.3,23713.0,22677.1,22504.4,21096.7,21522.0
 "17000","Illinois",3,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2012 dollars",81228.9,82682.1,83355.9,89076.2,85960.1,82452.1,87158.6,93267.6,93103.4,95015.9,97615.9,92008.2,89139.2,93121.0,98931.8,103715.2,97066.8,99689.5,96937.3,95568.0,97553.9,104205.6,103769.8,96644.4,103260.7
 "17000","Illinois",3,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2012 dollars",36687.7,38092.4,38353.6,41416.6,38507.9,37748.2,39618.5,43846.3,45453.7,48698.7,50092.3,49891.4,41623.9,47263.3,51868.9,54986.3,51078.2,49700.3,47157.6,45831.3,46445.8,49053.7,49113.5,44924.6,48161.0
 "17000","Illinois",3,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2012 dollars",422.7,427.9,439.1,459.3,473.3,471.2,510.3,328.0,391.5,419.1,480.3,506.8,442.3,435.7,484.7,425.6,445.8,356.6,446.1,388.0,370.4,413.5,442.5,463.3,359.4
 "17000","Illinois",3,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2012 dollars",1965.5,1878.5,1941.7,1888.6,1907.3,1748.9,2020.2,1797.6,1800.0,1641.5,1486.8,1533.7,1428.5,1435.8,1618.2,1709.3,1732.1,1633.9,1712.4,1835.3,1886.4,1896.1,1773.3,1809.3,1880.3
 "17000","Illinois",3,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2012 dollars",3168.4,3242.9,3411.9,3706.9,2774.3,2706.3,2950.8,4193.8,3720.0,2844.9,2145.2,2709.2,2087.0,1838.9,2286.3,2689.8,2723.7,2711.4,2550.2,2918.0,2479.9,2638.8,2761.8,3065.3,2944.1
 "17000","Illinois",3,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2012 dollars",11926.3,11352.7,11813.3,12530.5,11076.5,10524.1,10899.6,11309.7,11043.9,11097.4,11464.4,10348.3,8083.3,9001.8,9352.2,9609.2,9137.1,9106.9,9093.6,8825.2,9461.5,9535.5,9041.4,8268.8,9132.8
 "17000","Illinois",3,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2012 dollars",12932.7,14282.9,12611.2,11538.1,11067.7,9947.3,10145.2,11623.3,12958.6,14621.8,15899.8,16193.0,13937.8,15519.9,18977.0,21849.1,16454.5,16412.9,13664.5,11710.9,11320.0,12598.2,12114.9,10357.1,11182.5
