GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,SAGDP9N,1,"...","All industry total ","Millions of chained 2012 dollars",40145.8,41912.5,43144.9,45178.6,45749.8,47224.5,48571.1,50513.8,51369.7,52899.6,51469.1,50575.2,50004.3,51332.8,51279.6,51583.0,51910.8,52293.4,52819.1,52902.6,52691.8,52553.3,53411.4,51516.1,54606.0
 "44000","Rhode Island",1,SAGDP9N,2,"..."," Private industries ","Millions of chained 2012 dollars",33069.6,34788.1,35897.4,37660.4,38233.2,39638.4,40821.9,42549.0,43357.4,44867.1,43492.7,42738.1,42612.8,43905.8,43844.4,44289.9,44799.0,45305.4,45880.3,45945.4,45490.8,45407.4,46277.4,44513.9,47574.6
 "44000","Rhode Island",1,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",115.9,133.8,149.6,175.6,175.5,179.0,173.2,151.5,148.4,163.2,121.3,135.6,144.0,137.3,117.3,106.1,100.0,99.0,119.8,123.3,123.5,119.9,115.4,116.4,102.1
 "44000","Rhode Island",1,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2012 dollars",37.3,37.6,41.4,48.0,47.2,59.0,57.0,56.5,62.2,66.0,43.8,62.3,74.1,65.9,48.9,43.8,45.8,45.2,60.1,58.7,63.2,62.3,58.1,53.4,39.4
 "44000","Rhode Island",1,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2012 dollars",78.2,94.8,106.3,125.2,125.7,119.8,116.0,95.6,87.9,98.3,77.2,74.5,72.8,72.8,68.4,62.3,54.2,53.8,60.9,64.8,62.2,59.8,58.6,62.1,59.5
 "44000","Rhode Island",1,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",36.7,43.5,50.9,52.1,47.9,60.1,58.1,69.3,53.0,44.8,46.3,47.7,45.9,28.2,18.5,24.4,20.9,50.9,72.6,69.7,70.1,55.4,50.9,51.4,64.9
 "44000","Rhode Island",1,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2012 dollars",0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.1,(L),(L),1.0,1.3,1.1,1.1,0.3,0.0,0.0,0.0,0.0,0.0
 "44000","Rhode Island",1,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2012 dollars",28.9,35.4,41.8,40.4,44.5,56.9,55.7,68.4,53.0,44.8,45.9,47.6,45.9,28.2,18.5,23.4,19.6,50.0,71.9,69.3,69.9,55.2,50.8,51.3,64.7
 "44000","Rhode Island",1,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2012 dollars",3.7,3.9,4.4,5.5,1.9,1.8,1.4,0.7,(L),0.1,(L),0.1,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "44000","Rhode Island",1,SAGDP9N,10,"22","  Utilities ","Millions of chained 2012 dollars",679.0,640.3,704.4,790.2,684.3,569.6,603.2,637.0,607.5,679.3,660.4,731.1,687.5,763.7,750.2,749.7,762.4,740.3,769.0,797.4,793.6,809.8,822.2,863.7,815.3
 "44000","Rhode Island",1,SAGDP9N,11,"23","  Construction ","Millions of chained 2012 dollars",2462.2,2610.3,2748.0,2797.2,2734.6,2664.5,2907.4,2943.5,2922.4,2824.5,2667.1,2344.5,2112.6,2034.6,1926.1,1956.0,1810.2,1698.1,1652.3,1662.6,1638.1,1727.1,1768.2,1647.0,1715.4
 "44000","Rhode Island",1,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2012 dollars",4121.3,4190.5,4372.5,4594.8,4576.1,4864.8,4488.4,5004.9,4525.8,5123.1,4496.4,4495.8,3982.8,4183.4,4085.5,4024.3,4393.1,4235.5,4637.5,4664.2,4548.9,4617.5,4477.1,4363.6,4729.0
 "44000","Rhode Island",1,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2012 dollars",2552.3,2625.8,2760.2,2922.6,2988.4,3159.8,2816.4,3323.8,3020.9,3130.7,2995.7,3031.0,2646.5,2762.0,2731.5,2663.3,2829.2,2643.5,2945.7,3145.0,2874.7,2983.7,3063.1,2773.0,3148.5
 "44000","Rhode Island",1,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2012 dollars",33.8,32.1,30.2,36.5,38.6,39.8,39.0,29.9,29.8,28.4,34.5,39.0,42.0,33.4,39.5,39.8,41.4,36.4,38.2,40.1,36.8,28.9,31.1,18.4,16.6
 "44000","Rhode Island",1,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2012 dollars",101.4,77.8,70.2,73.3,60.5,63.7,62.2,54.8,57.7,59.7,55.7,57.2,52.6,55.9,54.7,52.7,65.6,56.0,58.5,53.3,56.5,58.0,60.8,52.4,54.8
 "44000","Rhode Island",1,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2012 dollars",139.9,203.3,252.2,213.0,197.4,276.9,249.7,231.9,215.0,238.9,192.1,264.5,357.5,346.4,375.1,413.5,236.3,189.7,232.9,230.1,196.1,208.1,272.7,333.1,300.1
 "44000","Rhode Island",1,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2012 dollars",672.4,616.8,600.0,718.2,658.8,816.7,529.5,722.3,669.0,672.2,454.5,505.1,308.6,434.6,393.5,368.8,358.2,310.9,289.6,268.3,347.3,309.7,414.1,395.2,426.1
 "44000","Rhode Island",1,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2012 dollars",240.1,263.4,255.1,308.9,284.4,183.3,181.8,187.0,191.3,198.3,210.0,213.2,161.0,170.4,175.1,187.5,212.5,211.7,216.2,258.1,228.7,236.2,223.8,207.6,250.1
 "44000","Rhode Island",1,SAGDP9N,19,"334","    Computer and electronic product manufacturing ","Millions of chained 2012 dollars",59.0,80.8,106.1,132.9,151.0,166.3,214.9,221.9,236.8,266.7,272.6,371.1,365.3,415.9,428.2,391.6,595.9,515.3,479.9,552.5,515.6,613.7,697.9,613.9,629.7
 "44000","Rhode Island",1,SAGDP9N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of chained 2012 dollars",316.4,269.9,463.4,442.0,548.4,481.1,506.4,646.6,576.0,563.1,620.6,386.0,197.2,74.5,113.4,171.2,267.7,214.3,219.1,162.8,168.8,169.8,155.2,150.1,132.5
