GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "97000","Rocky Mountain",7,SAGDP9N,1,"...","All industry total ","Millions of chained 2012 dollars",355337.6,380836.4,404324.4,430731.2,435650.9,440386.2,448009.9,462705.8,488569.6,509836.3,530341.5,538771.6,524740.5,530904.0,539570.0,545855.9,561827.6,581511.1,603077.3,615453.0,635757.1,663718.7,690940.1,687771.7,727704.9
 "97000","Rocky Mountain",7,SAGDP9N,2,"..."," Private industries ","Millions of chained 2012 dollars",294059.5,318393.7,340305.8,365035.3,368586.0,371865.4,379052.9,393462.6,418131.3,439122.6,459608.9,465811.2,452090.7,458130.5,466904.0,473519.7,490086.8,509157.7,529599.7,539796.6,558058.8,585638.6,611621.9,607396.0,646304.9
 "97000","Rocky Mountain",7,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",6378.8,6782.5,7524.5,7991.3,8487.1,8411.7,7816.9,8910.2,9922.1,9695.6,9263.5,9111.7,9707.2,9929.2,9640.3,9072.9,9921.1,11071.7,12507.8,13527.2,11328.2,12785.6,13392.5,13265.4,9832.3
 "97000","Rocky Mountain",7,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2012 dollars",5489.9,5864.5,6615.5,7092.0,7462.3,7358.0,6727.1,7905.7,8963.2,8491.9,8144.4,8015.3,8629.0,8869.2,8567.2,7965.7,8798.2,9940.3,11369.5,12495.4,10049.7,11475.5,12140.4,11822.3,8316.1
 "97000","Rocky Mountain",7,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2012 dollars",874.5,907.9,926.7,940.4,1048.2,1068.1,1079.2,1020.2,1001.5,1171.4,1095.2,1073.4,1074.1,1068.7,1074.2,1107.3,1123.5,1142.4,1182.7,1153.0,1214.6,1289.9,1281.3,1383.8,1326.2
 "97000","Rocky Mountain",7,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",16509.3,17431.1,17294.2,17159.1,19815.7,20124.5,21440.8,23245.6,27485.8,31846.2,32304.8,33705.3,36173.1,32522.0,32408.1,30118.2,32154.1,37480.0,39444.6,37403.1,37786.8,37851.7,40394.6,39076.0,31821.2
 "97000","Rocky Mountain",7,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2012 dollars",8871.5,8417.2,7124.5,5906.3,7165.4,8795.9,9322.8,10791.9,12529.3,14353.9,13474.0,14358.7,18534.8,14456.7,13295.4,13347.8,14647.0,18299.1,26154.2,28847.8,27455.2,25567.5,29550.5,32294.4,21132.2
 "97000","Rocky Mountain",7,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2012 dollars",10019.5,11477.2,12295.5,12400.5,12306.9,11457.8,11996.3,10678.4,12397.3,12376.0,13247.2,12441.5,12935.3,13076.9,13185.6,10621.5,11741.3,12189.0,10634.5,10066.6,9543.0,8998.8,8963.9,9014.9,8809.8
 "97000","Rocky Mountain",7,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2012 dollars",789.2,740.7,703.3,1143.6,1959.0,1549.8,1786.4,2513.3,3385.1,5495.9,6435.6,7360.3,4543.5,4840.2,5998.6,6148.9,5775.1,6771.0,4439.3,2643.3,3906.1,5547.8,5257.3,3350.5,3639.8
 "97000","Rocky Mountain",7,SAGDP9N,10,"22","  Utilities ","Millions of chained 2012 dollars",6257.8,6006.2,6907.7,6893.1,6081.2,6318.1,6154.2,6674.2,6439.8,7045.0,6804.2,7406.1,6895.8,8157.7,8526.8,8731.1,8611.2,8311.9,8430.3,8823.2,8750.9,8616.7,9353.6,10423.6,9938.2
 "97000","Rocky Mountain",7,SAGDP9N,11,"23","  Construction ","Millions of chained 2012 dollars",28377.9,31073.6,32546.9,33973.0,33076.2,31049.6,30050.3,30039.9,30782.3,31569.8,32534.7,29928.6,24486.9,21821.5,21470.7,22986.7,25393.3,27466.4,28891.6,30226.5,31567.6,33062.7,34399.8,35034.0,36020.4
 "97000","Rocky Mountain",7,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2012 dollars",24217.7,25746.9,27624.5,33287.2,30632.3,31079.8,33424.0,37033.6,39811.8,42603.3,46850.1,48770.7,49132.6,51526.0,51828.7,49120.8,49636.2,50741.6,52757.0,51488.3,54322.8,58385.9,60939.7,59906.4,64904.2
 "97000","Rocky Mountain",7,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2012 dollars",10397.9,11405.9,12311.8,16198.9,14361.4,15707.9,17082.7,19519.5,21708.8,23184.4,25109.8,26025.9,26564.8,29721.5,30444.5,29607.4,29835.3,29642.8,30390.8,30510.7,31820.2,34163.4,34755.6,34603.5,37031.7
 "97000","Rocky Mountain",7,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2012 dollars",986.0,915.9,1001.0,922.6,853.2,850.8,870.2,906.0,997.1,963.3,1048.8,910.5,746.1,792.5,877.7,936.9,990.5,949.4,1067.4,1158.7,1225.8,1194.5,1188.5,1091.4,999.2
 "97000","Rocky Mountain",7,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2012 dollars",1391.3,1417.2,1530.7,1514.4,1509.3,1398.0,1564.8,1777.8,1733.9,1724.2,1797.5,1785.1,1440.4,1570.7,1572.2,1820.1,1934.0,1863.4,1948.7,1883.9,2051.0,2191.7,2134.3,2091.1,2137.4
 "97000","Rocky Mountain",7,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2012 dollars",1211.2,1339.5,1308.2,1527.2,1269.7,1174.0,1098.4,1691.7,1497.9,1778.9,1850.2,1708.3,4335.6,4228.6,3807.9,2653.4,2584.8,2253.3,2243.4,2168.4,1794.1,1932.9,2465.5,3289.5,2885.0
 "97000","Rocky Mountain",7,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2012 dollars",2763.4,2701.3,2674.0,2848.7,2494.9,2549.8,2664.3,2688.4,2843.3,2996.2,3372.8,3206.1,2522.2,2655.3,2872.7,3019.8,3127.2,3255.5,3151.8,3214.7,3311.9,3477.2,3703.6,3613.7,3996.5
 "97000","Rocky Mountain",7,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2012 dollars",1608.8,1777.7,1467.9,1530.0,1462.9,1479.2,1392.2,1458.1,1620.2,1828.0,2117.4,2304.7,2003.4,2140.1,2395.1,2126.1,2317.8,2048.8,2158.7,2006.4,2062.0,2371.1,2353.8,2260.2,2521.8
 "97000","Rocky Mountain",7,SAGDP9N,19,"334","    Computer and electronic product manufacturing ","Millions of chained 2012 dollars",1092.2,1360.0,1708.3,3151.7,2617.7,3224.0,3760.1,4527.0,5261.3,5373.6,6469.8,7667.8,7995.9,9735.0,9914.5,10565.9,10392.2,10468.0,10248.4,9846.0,10606.0,11598.4,11927.2,11706.6,12123.4
 "97000","Rocky Mountain",7,SAGDP9N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of chained 2012 dollars",293.9,246.1,221.4,285.0,320.6,386.4,403.3,451.3,514.0,723.0,572.0,696.8,567.2,642.9,703.1,791.3,860.9,810.5,965.5,942.6,826.6,926.9,873.1,801.1,895.5
 "97000","Rocky Mountain",7,SAGDP9N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of chained 2012 dollars",826.1,753.2,641.4,682.4,658.8,712.2,837.1,962.4,979.5,1051.8,1038.8,782.9,324.2,598.5,907.8,984.7,956.7,923.8,1098.3,930.5,958.2,1124.4,1027.0,964.3,1308.6
 "97000","Rocky Mountain",7,SAGDP9N,22,"3364-3369","    Other transportation equipment manufacturing ","Millions of chained 2012 dollars",2350.6,2169.1,2103.1,2145.1,2032.4,1979.0,1936.3,2202.9,2858.1,3161.3,2980.5,2924.3,2420.6,2755.2,2311.5,2024.8,2103.9,2102.4,2554.8,2945.9,3202.5,3252.6,3423.4,3324.7,3621.9
 "97000","Rocky Mountain",7,SAGDP9N,23,"337","    Furniture and related product manufacturing ","Millions of chained 2012 dollars",807.4,923.0,971.7,932.8,895.2,1003.5,1030.3,1130.9,1299.2,1456.9,1272.0,1028.1,838.9,845.8,878.8,812.3,900.2,1012.9,1166.2,1148.5,1111.2,1178.2,1168.5,1279.0,1461.1
 "97000","Rocky Mountain",7,SAGDP9N,24,"339","    Miscellaneous manufacturing ","Millions of chained 2012 dollars",1643.5,1855.2,2020.4,2170.7,1971.9,2102.5,2298.9,2383.3,2658.7,2938.3,3125.1,3295.0,3401.4,3651.5,4144.2,3872.0,3650.6,3933.0,3673.7,4099.1,4400.2,4680.2,4377.7,4342.1,5161.9
 "97000","Rocky Mountain",7,SAGDP9N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of chained 2012 dollars",17447.8,17458.7,18524.6,18949.1,18631.8,16594.9,17476.3,18276.5,18409.2,19773.9,22307.4,23376.8,23072.6,21900.9,21410.0,19513.5,19801.1,21127.2,22410.8,20968.1,22517.2,24237.8,26225.8,25309.0,27896.8
 "97000","Rocky Mountain",7,SAGDP9N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of chained 2012 dollars",6142.0,5714.1,5737.4,5714.2,5485.5,5221.1,5208.3,5089.9,5114.8,5924.5,6975.0,6898.2,6855.7,6597.9,6522.7,6641.7,7126.2,7013.9,7242.0,7092.8,7444.2,7652.3,8933.7,9579.9,10716.2
 "97000","Rocky Mountain",7,SAGDP9N,27,"313-314","    Textile mills and textile product mills ","Millions of chained 2012 dollars",168.1,168.9,201.3,246.3,208.5,219.5,150.0,245.3,246.6,258.2,276.9,315.3,253.0,237.1,190.5,242.1,256.7,255.0,338.5,228.3,194.3,181.1,175.4,168.4,173.5
 "97000","Rocky Mountain",7,SAGDP9N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of chained 2012 dollars",236.7,288.0,250.6,360.6,344.5,180.4,140.0,102.9,92.3,83.3,89.4,98.7,77.4,74.9,78.6,87.6,99.1,95.4,100.5,97.8,97.2,102.1,90.3,94.2,119.2
 "97000","Rocky Mountain",7,SAGDP9N,29,"322","    Paper manufacturing ","Millions of chained 2012 dollars",1148.0,830.2,1002.1,910.1,762.6,816.7,916.2,1004.5,968.0,858.6,755.1,662.5,861.7,749.9,775.2,775.7,748.4,710.8,788.4,764.7,728.1,700.6,953.5,1049.0,1057.5
 "97000","Rocky Mountain",7,SAGDP9N,30,"323","    Printing and related support activities ","Millions of chained 2012 dollars",973.2,894.7,917.4,970.7,1034.7,1093.0,1073.9,1191.4,1223.6,1356.2,1136.9,1151.4,951.0,979.2,1020.2,945.9,1012.2,1071.8,1037.6,1104.3,1002.9,1023.4,995.3,839.0,904.2
 "97000","Rocky Mountain",7,SAGDP9N,31,"324","    Petroleum and coal products manufacturing ","Millions of chained 2012 dollars",4238.9,6054.8,4101.3,4406.3,3923.4,3804.3,5968.5,7513.9,7421.9,7738.6,9677.1,10787.9,6596.4,6150.0,5607.1,4991.5,6023.2,7032.4,7394.7,5772.3,8453.1,9793.1,9935.3,6974.2,8124.3
