GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,SAGDP9N,1,"...","All industry total ","Millions of chained 2012 dollars",209111.7,216955.9,225783.7,232411.7,236088.7,240543.3,247766.1,256167.4,263698.6,268246.4,269933.6,266626.9,258761.2,266830.8,272813.2,277107.1,278015.0,283981.1,289077.0,291920.3,291922.7,299062.6,303669.0,293104.9,306467.4
 "55000","Wisconsin",3,SAGDP9N,2,"..."," Private industries ","Millions of chained 2012 dollars",181185.8,188551.7,196634.9,202513.8,205178.7,209160.7,215748.1,224240.9,231758.6,236272.7,237720.4,233932.6,225711.8,233682.8,239951.7,244109.4,246362.7,252414.5,258319.3,261152.0,261383.2,268511.6,272978.4,262875.4,276321.0
 "55000","Wisconsin",3,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2012 dollars",3535.5,4053.1,4100.4,3934.0,4498.4,4584.8,4706.3,5071.6,5254.8,5457.2,5384.7,4612.2,4383.9,5073.0,5302.6,4938.1,5245.9,5967.5,6594.4,6511.4,6347.8,6511.9,6556.7,7006.7,5701.9
 "55000","Wisconsin",3,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2012 dollars",3216.6,3742.5,3783.2,3572.3,4052.4,4151.4,4253.7,4621.3,4783.2,4929.7,4943.1,4161.7,3967.3,4669.1,4897.9,4484.6,4801.9,5506.8,6077.8,5966.2,5780.8,5968.4,5998.8,6408.6,5056.9
 "55000","Wisconsin",3,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2012 dollars",311.3,312.5,318.4,343.5,415.7,407.4,424.2,424.1,443.8,488.1,420.6,424.6,394.6,402.1,405.7,453.4,444.3,464.8,519.4,535.0,543.0,533.7,543.6,582.0,580.0
 "55000","Wisconsin",3,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2012 dollars",636.4,679.6,845.5,886.6,842.8,876.9,911.5,965.4,758.0,805.7,694.4,601.0,590.5,665.3,507.7,491.5,644.0,1127.5,1696.6,782.9,797.2,1292.5,889.2,565.4,590.3
 "55000","Wisconsin",3,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2012 dollars",3.3,5.2,4.1,2.0,4.0,8.4,6.1,3.9,3.1,6.1,5.5,3.8,5.6,2.5,1.9,4.3,8.4,9.4,4.5,5.8,5.2,0.0,0.0,0.0,0.0
 "55000","Wisconsin",3,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2012 dollars",623.5,668.1,833.9,874.8,834.7,863.8,906.7,964.0,756.0,798.2,687.3,596.9,583.6,661.8,501.9,479.4,629.9,1113.2,1689.1,776.1,787.7,1283.7,882.3,554.9,577.5
 "55000","Wisconsin",3,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2012 dollars",5.3,4.4,5.1,6.3,3.2,2.9,0.6,1.1,1.4,1.5,1.5,1.0,1.2,0.9,3.9,7.8,5.6,6.4,5.0,3.5,6.0,8.4,6.7,10.5,13.0
 "55000","Wisconsin",3,SAGDP9N,10,"22","  Utilities ","Millions of chained 2012 dollars",3939.2,3838.8,4540.8,4688.7,3893.0,3933.2,3937.9,4203.3,3922.2,4134.7,4222.1,4750.9,4252.7,4752.5,5072.4,5175.1,5215.4,4955.0,4866.8,5156.6,4979.9,4622.5,4433.0,4306.2,3953.1
 "55000","Wisconsin",3,SAGDP9N,11,"23","  Construction ","Millions of chained 2012 dollars",12778.5,13274.5,13651.9,13936.1,13697.6,13179.4,13310.2,13468.0,12751.9,11684.7,11323.2,10707.6,9618.4,8904.1,8622.9,9001.8,9332.2,9435.7,9810.6,9999.9,10288.3,10569.1,10629.4,10366.1,10576.2
 "55000","Wisconsin",3,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2012 dollars",43486.1,44781.6,46259.3,48108.2,46382.2,46537.1,48186.4,50519.7,51638.4,55200.0,54913.5,51131.1,45501.0,49795.8,52274.9,54123.2,54834.3,54853.0,54495.5,54019.8,52858.5,53926.2,56157.5,53025.7,57945.8
 "55000","Wisconsin",3,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2012 dollars",23020.2,23805.1,24230.6,25954.4,24422.5,24198.0,26282.5,27539.8,28994.8,31092.3,31062.1,29561.8,23616.8,27646.5,31182.3,32553.9,33549.3,32177.7,32050.8,30994.0,31775.2,32552.9,32947.2,29874.3,33696.8
 "55000","Wisconsin",3,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2012 dollars",1016.7,1027.8,964.4,1077.1,1041.9,1123.2,1074.9,1041.9,1079.3,1058.0,1223.3,1138.1,953.5,999.7,1080.8,1129.2,1079.9,908.8,1027.9,1166.3,1060.7,931.1,1068.8,1136.2,1149.3
 "55000","Wisconsin",3,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2012 dollars",1061.8,940.2,1001.4,1086.2,1184.7,1171.9,1338.5,1391.6,1461.6,1346.8,1231.5,1384.1,1222.1,1206.9,1365.1,1422.6,1496.5,1513.3,1557.2,1561.0,1360.5,1304.8,1266.5,1176.1,1215.6
 "55000","Wisconsin",3,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2012 dollars",1521.6,1490.8,1628.3,1648.3,1781.8,2046.9,1945.1,1949.3,1801.8,1429.6,1382.1,1357.6,1212.0,1052.3,1368.6,1974.3,2086.4,2110.9,2513.4,2536.1,2301.4,2168.3,2025.0,2066.7,1910.3
 "55000","Wisconsin",3,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2012 dollars",6722.5,6562.8,6491.7,6904.0,6079.6,5932.7,6533.5,6879.0,6445.4,6740.2,7015.1,6828.4,5019.2,5633.9,6104.1,6397.4,6241.8,6336.4,5940.3,5922.6,6489.9,6727.5,6689.8,5970.7,6586.0
 "55000","Wisconsin",3,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2012 dollars",7208.8,7908.7,7316.9,7004.6,6761.7,5432.5,5527.3,6160.7,6405.2,7022.5,6979.6,7428.7,5973.0,6915.9,8245.9,8519.4,8262.8,8006.5,7329.2,6862.6,7378.3,7612.3,7697.9,7204.6,8490.5
 "55000","Wisconsin",3,SAGDP9N,19,"334","    Computer and electronic product manufacturing ","Millions of chained 2012 dollars",283.0,368.5,451.3,604.6,621.1,783.9,1113.8,1308.6,2660.0,2836.5,3050.4,1657.8,2039.8,2993.7,2928.3,2941.6,3166.8,3126.6,3329.8,3262.2,3342.7,3967.9,4570.7,3738.2,3708.5
 "55000","Wisconsin",3,SAGDP9N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of chained 2012 dollars",3812.9,3334.3,3245.0,3602.7,3530.9,3115.9,3884.7,3404.1,2985.5,4157.0,3638.3,3719.5,3180.5,3344.7,3305.5,3481.2,3843.5,3587.2,4062.3,3583.9,3715.5,3867.9,3492.9,3189.1,3855.6
 "55000","Wisconsin",3,SAGDP9N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of chained 2012 dollars",1648.5,1831.0,2128.6,2114.3,1521.5,2330.2,2356.2,2427.9,2169.3,2658.5,2555.7,2222.7,849.9,1826.7,2590.4,2536.4,2577.8,2338.3,2050.3,1922.2,2115.3,2369.7,2608.3,2297.7,3104.2
 "55000","Wisconsin",3,SAGDP9N,22,"3364-3369","    Other transportation equipment manufacturing ","Millions of chained 2012 dollars",767.9,880.4,1194.3,1964.0,1923.8,1376.7,1444.7,1771.1,1486.1,1443.9,1464.1,1607.0,1337.5,1515.3,2049.0,1781.9,2080.7,1833.7,2048.1,1991.6,1587.8,1060.6,1213.0,941.5,1258.9
 "55000","Wisconsin",3,SAGDP9N,23,"337","    Furniture and related product manufacturing ","Millions of chained 2012 dollars",909.1,984.0,928.6,965.8,956.8,1023.6,1097.5,1136.5,1102.5,1084.6,1156.6,1267.5,807.6,917.3,931.1,951.8,961.7,1076.2,1069.1,1002.7,1009.9,1003.7,905.9,834.8,862.8
 "55000","Wisconsin",3,SAGDP9N,24,"339","    Miscellaneous manufacturing ","Millions of chained 2012 dollars",1091.9,1064.8,1091.0,1143.1,1182.7,1226.9,1165.5,1159.0,1214.4,1295.0,1215.7,1294.0,1172.4,1269.2,1248.4,1418.0,1771.3,1391.7,1298.7,1361.2,1538.3,1770.4,1676.2,1487.8,1677.7
 "55000","Wisconsin",3,SAGDP9N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of chained 2012 dollars",20788.2,21265.7,22453.3,22375.3,22321.4,22770.9,22086.3,23174.7,22639.3,24082.3,23802.6,21436.4,22026.3,22202.6,21094.6,21569.4,21284.7,22677.4,22446.8,23017.4,21100.4,21392.5,23227.8,23168.8,24273.8
 "55000","Wisconsin",3,SAGDP9N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of chained 2012 dollars",6222.7,6498.3,6219.0,5856.9,6384.8,5995.4,5789.5,6193.0,6117.5,6676.2,7257.2,6678.2,7244.0,6910.9,6885.5,7215.7,7455.8,7386.6,7494.9,7611.2,7621.4,7931.3,8814.6,8884.2,9658.4
 "55000","Wisconsin",3,SAGDP9N,27,"313-314","    Textile mills and textile product mills ","Millions of chained 2012 dollars",202.3,209.0,203.2,225.9,226.2,191.3,188.5,269.9,238.1,378.9,276.0,224.2,263.1,301.6,235.4,259.2,235.0,234.4,220.2,221.9,258.9,272.8,319.5,306.7,321.7
 "55000","Wisconsin",3,SAGDP9N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of chained 2012 dollars",323.2,310.8,268.3,273.4,253.6,185.0,155.9,113.0,103.0,101.5,102.0,121.5,100.4,122.6,115.7,116.7,123.7,103.6,94.6,86.2,106.0,100.1,92.7,66.5,83.2
 "55000","Wisconsin",3,SAGDP9N,29,"322","    Paper manufacturing ","Millions of chained 2012 dollars",6813.6,6489.9,7072.6,6743.9,6132.5,6617.8,6434.3,6072.6,5881.0,5960.3,5458.9,4657.8,5067.1,4393.1,4145.5,4365.4,3968.7,4213.6,4226.6,4200.4,3748.9,3989.2,4631.9,4948.3,4936.4
 "55000","Wisconsin",3,SAGDP9N,30,"323","    Printing and related support activities ","Millions of chained 2012 dollars",1480.9,1569.2,1527.9,1659.1,1699.7,2022.6,2160.9,2140.9,2182.1,2314.7,2492.9,2525.9,2300.1,2250.1,2456.3,2665.5,2623.0,2653.3,2418.8,2420.1,2427.8,2438.6,2614.7,2005.5,2115.8
 "55000","Wisconsin",3,SAGDP9N,31,"324","    Petroleum and coal products manufacturing ","Millions of chained 2012 dollars",275.5,384.5,289.5,266.7,309.4,350.6,474.2,368.7,364.4,282.8,345.6,566.6,626.3,503.4,434.9,373.7,534.5,879.2,800.7,826.2,951.3,301.6,278.3,339.4,397.8
 "55000","Wisconsin",3,SAGDP9N,32,"325","    Chemical manufacturing ","Millions of chained 2012 dollars",3340.2,3751.3,4362.6,4481.5,4524.1,4676.7,4349.3,5023.0,4472.5,5272.3,4699.5,3782.9,3752.0,4866.5,4270.3,3887.9,3618.8,4457.0,4272.2,4731.7,3155.0,3200.0,3300.1,3637.6,3703.1
 "55000","Wisconsin",3,SAGDP9N,33,"326","    Plastics and rubber products manufacturing ","Millions of chained 2012 dollars",2142.2,2183.0,2566.5,2815.8,2851.4,2734.6,2547.0,3045.0,3249.4,3112.7,3131.9,2808.0,2662.1,2916.5,2560.8,2685.3,2744.7,2823.7,2970.8,2966.5,3019.6,3118.4,3105.9,2905.7,2982.1
 "55000","Wisconsin",3,SAGDP9N,34,"42","  Wholesale trade ","Millions of chained 2012 dollars",11994.5,13135.5,13589.1,13701.0,14032.1,14469.9,14765.2,15705.2,16349.2,16555.3,16702.2,17211.8,15309.6,15972.1,16088.1,16523.6,16999.6,17352.6,18009.2,18162.7,18483.8,18973.2,17909.8,18525.9,19389.9
 "55000","Wisconsin",3,SAGDP9N,35,"44-45","  Retail trade ","Millions of chained 2012 dollars",13163.1,14365.1,15120.8,15835.1,15913.0,16703.1,17351.5,17128.7,17048.8,17034.2,16242.9,15890.8,15270.9,15179.3,15347.1,14907.9,15581.6,15775.2,16390.5,16978.2,17390.1,17886.1,18117.6,17647.7,17718.8
 "55000","Wisconsin",3,SAGDP9N,36,"48-49","  Transportation and warehousing ","Millions of chained 2012 dollars",6917.0,7254.0,7590.6,7856.0,7715.6,7664.6,7917.3,8222.7,8442.3,8603.6,8190.6,7742.7,7359.3,7819.4,7910.6,7816.9,8010.4,8211.0,8219.6,8164.6,8471.8,8508.1,8513.3,8131.4,8296.0
 "55000","Wisconsin",3,SAGDP9N,37,"481","   Air transportation ","Millions of chained 2012 dollars",467.8,464.0,497.8,442.1,321.6,334.0,359.5,381.8,429.5,455.7,508.6,516.0,430.1,463.3,431.7,371.5,382.2,391.8,413.2,401.6,411.8,409.0,418.4,145.8,281.0
 "55000","Wisconsin",3,SAGDP9N,38,"482","   Rail transportation ","Millions of chained 2012 dollars",625.3,609.5,656.8,694.0,669.2,633.8,675.0,682.5,688.3,682.9,673.0,648.4,580.1,597.7,611.2,503.0,737.8,810.8,782.3,706.1,732.9,769.1,729.6,652.2,720.1
 "55000","Wisconsin",3,SAGDP9N,39,"483","   Water transportation ","Millions of chained 2012 dollars",8.3,6.4,5.0,5.7,6.7,2.0,2.7,1.7,3.8,5.1,6.8,8.4,10.9,9.1,9.6,9.8,13.2,10.4,9.4,11.2,12.4,13.4,15.7,14.1,13.1
 "55000","Wisconsin",3,SAGDP9N,40,"484","   Truck transportation ","Millions of chained 2012 dollars",3758.2,3859.8,4061.4,4188.0,4083.7,4028.4,4166.6,4337.6,4402.4,4485.2,4181.4,3726.1,3428.4,3735.9,3879.4,3844.0,3772.9,3824.8,3795.5,3768.6,3948.9,3884.6,3780.5,3727.1,3550.6
 "55000","Wisconsin",3,SAGDP9N,41,"485","   Transit and ground passenger transportation ","Millions of chained 2012 dollars",610.1,668.0,803.6,872.8,904.1,884.5,885.8,869.6,853.9,842.3,825.3,818.8,936.8,991.6,958.0,990.0,1029.2,1111.3,1126.3,1064.6,1109.4,1153.2,1194.1,1047.4,1079.2
 "55000","Wisconsin",3,SAGDP9N,42,"486","   Pipeline transportation ","Millions of chained 2012 dollars",47.8,87.7,74.0,59.6,60.3,60.9,73.8,73.3,76.4,77.1,83.6,103.6,113.4,123.0,106.9,129.1,114.1,111.1,112.8,111.1,96.2,82.8,80.3,77.3,91.0
 "55000","Wisconsin",3,SAGDP9N,43,"487-488, 492","   Other transportation and support activities ","Millions of chained 2012 dollars",1089.5,1162.4,1124.2,1201.1,1253.0,1247.1,1215.4,1316.3,1357.0,1333.4,1180.4,1193.4,1107.3,1087.8,1071.2,1000.0,974.5,954.4,951.3,954.0,975.7,1043.0,1037.4,1101.7,1092.3
 "55000","Wisconsin",3,SAGDP9N,44,"493","   Warehousing and storage ","Millions of chained 2012 dollars",382.8,454.0,443.0,475.3,516.4,555.1,600.7,621.3,676.2,742.4,743.0,752.7,771.4,822.8,851.4,969.4,984.4,993.2,1031.0,1167.5,1205.3,1171.5,1303.6,1392.8,1588.1
 "55000","Wisconsin",3,SAGDP9N,45,"51","  Information ","Millions of chained 2012 dollars",4136.9,4580.4,4655.1,4228.4,4855.6,5426.7,5547.4,6457.2,7021.5,7296.6,7857.4,8376.4,8360.1,8685.2,8953.2,8783.7,9516.7,9931.6,11052.2,11688.9,12097.2,12853.1,14013.8,14421.7,15502.1
 "55000","Wisconsin",3,SAGDP9N,46,"511","   Publishing industries (except Internet) ","Millions of chained 2012 dollars",1629.9,1674.3,1833.1,1448.1,1459.7,1696.5,1748.5,2228.8,2445.3,2234.1,2710.2,2844.4,2690.2,2912.7,3159.3,3443.5,3817.4,4133.8,4443.3,5029.1,5141.0,5494.7,5944.4,6641.0,7203.8
 "55000","Wisconsin",3,SAGDP9N,47,"512","   Motion picture and sound recording industries ","Millions of chained 2012 dollars",131.5,149.4,205.9,168.1,288.7,247.6,186.0,251.0,205.9,226.0,282.8,297.0,369.1,324.0,273.3,262.0,298.3,289.0,311.0,261.0,249.4,242.6,250.3,193.3,238.6
 "55000","Wisconsin",3,SAGDP9N,48,"515, 517","   Broadcasting (except Internet) and telecommunications ","Millions of chained 2012 dollars",2071.4,2204.5,2235.5,2299.9,2514.9,2528.0,2628.6,2899.4,3288.0,3559.1,3678.5,3731.6,3709.7,3693.6,3693.9,3644.9,3880.3,3818.1,4433.7,4506.3,4919.9,4996.6,5265.9,5190.4,5433.9
 "55000","Wisconsin",3,SAGDP9N,49,"518, 519","   Data processing, hosting, and other information services ","Millions of chained 2012 dollars",305.8,566.5,404.4,253.3,512.5,930.1,962.7,1086.8,1084.7,1249.8,1176.6,1501.1,1586.1,1752.2,1825.3,1433.3,1520.2,1688.1,1868.1,1881.9,1790.2,2111.2,2537.9,2361.4,2576.2
 "55000","Wisconsin",3,SAGDP9N,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Millions of chained 2012 dollars",33645.7,34774.2,36809.2,38514.6,40639.0,40864.8,42262.8,43847.3,48572.9,48156.9,50576.6,49074.8,52598.7,53287.9,54661.6,56280.3,53793.7,56450.7,57512.3,58040.9,56376.1,57133.9,57321.5,54772.5,56633.7
 "55000","Wisconsin",3,SAGDP9N,51,"52","   Finance and insurance ","Millions of chained 2012 dollars",10127.4,11685.4,12840.8,13968.5,13942.1,14021.6,14539.6,15826.6,17934.6,17880.0,18820.6,16471.2,19045.0,18619.6,18765.5,20168.9,17851.1,21289.2,23026.6,23847.9,22311.4,22851.8,23466.9,22147.3,23557.1
 "55000","Wisconsin",3,SAGDP9N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Millions of chained 2012 dollars",2215.1,2901.6,3889.5,3482.8,3568.9,4496.6,4322.5,4059.2,4248.8,4096.0,3947.9,4320.1,5524.0,5063.7,5567.5,5913.7,5075.2,4960.3,4917.4,4646.5,4533.8,4388.6,4359.6,4899.1,5027.3
 "55000","Wisconsin",3,SAGDP9N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Millions of chained 2012 dollars",1061.8,1044.2,1095.1,1251.4,1951.4,1907.6,1762.0,1631.6,1875.3,1954.9,1508.3,814.4,1834.6,1663.8,1361.3,1860.5,1928.8,1468.7,1490.8,1868.8,1922.5,2009.7,2110.0,1999.0,1915.7
 "55000","Wisconsin",3,SAGDP9N,54,"524","    Insurance carriers and related activities ","Millions of chained 2012 dollars",6768.1,7642.9,7730.4,9168.7,8298.7,7489.3,8285.4,9886.0,11593.8,11702.2,13247.7,11032.0,11530.8,11809.9,11748.6,12356.1,10782.2,14932.2,16828.3,17585.1,15989.3,16691.7,17310.0,15141.8,16674.1
