GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "05000","Arkansas",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",84570.8,89115.2,89871.7,89789.0,92950.5,96944.5,101733.6,105980.0,108460.6,107606.1,106536.5,102996.6,105662.0,107932.5,108492.1,110752.4,111734.5,112351.0,112798.1,113850.2,115885.2,117126.2,117268.2,123347.3
 "05000","Arkansas",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),110733.8,110960.1,110504.6,113831.2,119990.0,118709.1,124218.9,128392.7,130467.1,134179.6,137986.9,138377.8,145094.2,148568.7
 "05000","Arkansas",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89781.0,90924.3,90722.8,91681.6,92789.1,93304.1,95551.4,98626.6,100875.9,104587.2,107664.2,108010.5,106700.2,114240.3
 "05000","Arkansas",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",62396.7,66811.3,68678.5,70616.7,74113.9,78695.1,85199.6,90887.7,95875.1,98381.6,99706.8,97508.1,101486.5,105768.1,108492.1,113227.3,116139.4,117786.8,119152.4,122466.7,127535.7,131578.3,133969.1,148676.1
 "05000","Arkansas",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",55698.4,57999.1,61021.0,64255.3,65770.4,69742.3,74404.8,78500.7,83572.4,89170.5,92864.7,91170.8,94576.1,100739.2,107877.3,108367.8,114743.3,118719.5,121825.9,125285.9,130033.4,133161.4,142038.5,153185.8
 "05000","Arkansas",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",49482.2,51611.9,54155.5,57152.6,59465.3,63738.7,68139.0,71343.3,75737.3,80292.8,83549.6,83614.3,86836.1,91695.7,98427.8,98053.7,103942.3,107309.6,109951.9,113123.4,118371.3,121026.4,129873.4,139018.0
 "05000","Arkansas",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",44420.3,47450.4,50721.0,52962.6,55015.9,57972.8,61486.7,65762.2,69395.4,72798.0,75367.1,74807.9,77758.8,81253.7,83540.4,85290.2,88384.5,91353.2,94391.2,97895.2,101690.3,104158.6,104782.9,118144.1
 "05000","Arkansas",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38522,38304,37824,38733,40690,40177,41949,43225,43772,44864,46038,46061,48168,49099
 "05000","Arkansas",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31233,31387,31053,31197,31466,31578,32268,33204,33844,34970,35921,35953,35422,37754
 "05000","Arkansas",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21208,21871,22781,23873,24306,25595,27059,28227,29617,31303,32306,31472,32372,34279,36582,36677,38749,39968,40873,41890,43384,44324,47154,50625
 "05000","Arkansas",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18841,19463,20218,21234,21976,23392,24781,25653,26840,28186,29065,28864,29723,31201,33378,33186,35102,36127,36889,37824,39493,40285,43115,45943
 "05000","Arkansas",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",16914,17893,18936,19677,20332,21276,22361,23646,24593,25555,26219,25824,26615,27648,28329,28866,29848,30755,31668,32732,33928,34670,34786,39044
 "05000","Arkansas",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.996,87.468,89.517,90.278,90.033,90.190,89.904,89.827,89.845,88.259,87.199,87.720,88.356,89.445
 "05000","Arkansas",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.946,82.275,85.710,88.626,90.033,91.411,92.499,92.625,93.572,93.602,94.451,96.434,98.203,103.417
 "05000","Arkansas",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1445536,1460374,1482449,1482587,1478929,1482035,1505095,1537680,1567682,1582858,1579283,1542944,1541272,1561948,1565142,1569249,1587414,1610805,1629698,1639902,1657951,1664214,1640442,1675644
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
