GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",200679.7,215294.6,231589.8,234979.4,235417.3,237782.3,240747.6,251558.4,257430.2,266887.5,270981.4,264966.3,267858.9,271700.6,276823.1,286259.1,298655.3,312409.7,318953.4,329913.3,342733.2,358438.5,353345.2,373763.3
 "08000","Colorado",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),216435.6,208055.8,214698.7,222534.8,230469.6,239354.9,258427.2,269350.2,272577.8,284013.5,306574.3,317157.4,328502.3,346082.1
 "08000","Colorado",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),177563.7,177338.0,182970.1,182772.4,184107.0,189499.1,198894.0,208802.8,219237.0,225746.5,239443.8,242286.3,235846.2,260464.8
 "08000","Colorado",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",150330.0,163763.3,180063.2,186695.8,190019.0,196126.5,204167.2,220783.7,232646.7,248446.5,258871.7,251227.7,258300.2,267516.1,276823.1,292140.5,309542.6,320721.1,329911.7,349156.5,372212.1,394534.7,391263.3,436359.5
 "08000","Colorado",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",123090.0,132293.9,147242.4,154444.5,154639.6,157851.9,163872.9,175069.2,189465.5,202115.9,210029.4,199351.6,205866.1,223492.6,236759.1,249512.7,271410.2,284836.8,289673.0,309417.3,331851.0,356341.3,378051.4,410948.2
 "08000","Colorado",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",105650.2,113033.9,125034.0,132901.6,136307.5,140902.7,146288.3,154539.2,165871.0,175766.3,183718.3,179357.2,184135.9,197447.7,209549.6,219367.9,238194.8,248768.9,252120.8,270293.5,291707.7,312673.5,333477.3,357475.9
 "08000","Colorado",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",96415.9,105716.3,116594.9,122831.3,126297.0,131876.0,139927.7,148249.8,157358.1,166609.7,172477.6,170145.4,175698.3,183822.9,189399.1,197806.0,209174.7,221188.9,233473.1,246543.7,259778.0,272795.8,272276.5,310212.0
 "08000","Colorado",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44263,41844,42540,43471,44418,45474,48367,49493,49298,50715,54000,55293,56792,59545
 "08000","Colorado",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36314,35666,36253,35703,35482,36002,37225,38367,39651,40311,42176,42240,40773,44814
 "08000","Colorado",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40790,43658,45630,47404,50797,52339,52390,55251,58453,62124,65358,70706
 "08000","Colorado",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25664,26747,28897,30030,30355,31113,31975,33364,35139,36588,37572,36072,36484,38570,40386,41677,44581,45711,45598,48265,51382,54511,57652,61506
 "08000","Colorado",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23421,25016,26946,27754,28126,29120,30585,32006,33336,34682,35273,34219,34812,35909,36502,37581,39149,40643,42226,44024,45758,47559,47072,53374
 "08000","Colorado",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.979,102.001,100.291,102.450,102.875,102.989,102.218,102.731,102.252,102.979,100.162,102.419,103.871,103.009
 "08000","Colorado",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.136,95.944,96.026,100.575,102.875,104.384,105.169,105.932,106.493,109.213,108.492,112.592,115.447,119.099
 "08000","Colorado",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2732491,2808435,2918002,2941583,2916941,2908619,2958379,3036666,3109368,3217961,3251097,3164426,3143637,3204078,3262925,3356175,3467519,3574243,3666733,3760707,3857950,3895377,3821923,3945819
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
