GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",50434.3,54236.7,56550.2,58372.7,56534.5,57300.0,60069.9,59335.1,60624.3,60477.9,58655.7,61517.7,60577.2,62919.3,62354.6,60235.8,64940.1,66793.5,63001.3,60357.5,61425.1,64143.5,62281.8,64404.7
 "10000","Delaware",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38056.0,38051.2,37908.6,40406.2,40635.3,41092.0,41848.1,44484.0,45113.0,46479.4,47743.6,49097.1,52229.5,53406.0
 "10000","Delaware",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34665.5,33856.8,34709.2,35504.1,36160.8,36877.9,37067.4,38792.6,39313.9,40037.0,41022.4,42116.9,42042.5,45411.7
 "10000","Delaware",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",37106.0,40345.1,43451.3,46096.1,45508.3,47686.1,51353.7,52153.5,55174.4,56612.8,55459.8,57849.7,58163.5,61372.2,62354.6,61716.2,68354.7,71913.9,69355.0,68302.5,72168.3,76923.7,75818.6,81160.0
 "10000","Delaware",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",22497.4,24165.3,26645.3,29379.2,30359.0,31136.9,32379.5,33273.9,35275.3,36380.4,36145.2,36432.9,36837.8,39925.0,40393.3,41100.3,43031.6,45216.1,46444.8,48476.2,51191.2,53202.5,55866.8,60133.6
 "10000","Delaware",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",19188.2,20717.8,23034.1,25555.7,27015.2,27926.6,28945.0,29278.9,31028.9,31946.6,31748.0,32985.6,33279.1,35620.2,36115.0,36521.4,38297.6,40056.6,41212.5,42883.8,45394.0,46877.6,49416.5,52659.1
 "10000","Delaware",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",18576.3,19892.3,21270.4,22446.2,23619.9,25161.6,26922.3,28841.4,30335.1,32083.7,32957.3,32460.1,33777.8,35131.6,35996.3,36934.9,38168.3,39499.0,40559.0,41859.8,44085.2,45735.2,45112.3,51285.8
 "10000","Delaware",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43056,42671,42132,44492,44334,44395,44750,47093,47336,48341,49166,50033,52657,53226
 "10000","Delaware",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39220,37968,38576,39094,39452,39842,39637,41068,41251,41640,42244,42920,42386,45259
 "10000","Delaware",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29472,31181,33884,36922,37658,38065,38974,39370,41053,41733,40894,40856,40942,43962,44070,44404,46015,47868,48734,50417,52716,54217,56324,59931
 "10000","Delaware",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25137,26733,29292,32117,33511,34140,34840,34643,36111,36647,35919,36991,36987,39222,39402,39457,40953,42406,43244,44601,46746,47771,49821,52481
 "10000","Delaware",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24336,25668,27049,28209,29299,30760,32405,34126,35303,36804,37287,36401,37541,38684,39273,39904,40815,41816,42558,43536,45398,46607,45481,51113
 "10000","Delaware",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.792,101.927,101.639,100.796,99.545,98.816,100.081,98.745,99.058,98.585,99.214,98.779,96.542,97.677
 "10000","Delaware",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.072,95.875,97.317,98.951,99.545,100.154,102.970,101.821,103.167,104.553,107.466,108.591,107.302,112.935
 "10000","Delaware",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",476426,491018,503458,502735,500640,504099,518103,528674,537109,544949,544911,525634,522400,530400,534261,544797,556517,568952,578668,584712,596999,602812,592045,609399
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
