GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",108183.6,111005.5,114030.5,114327.7,116195.0,118192.5,119391.6,123949.8,130364.5,137093.6,139536.8,134227.0,135723.2,139579.4,141818.2,141723.4,145344.1,148810.5,153695.3,155514.7,158734.4,159826.2,158348.3,162290.9
 "20000","Kansas",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),135505.0,128839.5,127661.8,134986.9,139449.7,141341.6,141648.7,143875.2,143913.7,146990.2,148691.7,152426.4,160785.7,164557.3
 "20000","Kansas",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103898.7,100261.4,99662.4,100887.7,100621.4,101402.8,102717.4,105720.3,107598.3,110256.2,111288.2,112298.4,110676.4,120136.6
 "20000","Kansas",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",78382.0,81883.8,86099.0,88883.6,91584.2,95359.9,99083.0,105526.3,114091.9,123878.7,128604.3,125348.9,128591.3,136358.9,141818.2,144483.2,150183.6,154958.2,160451.0,165182.5,172343.0,176564.4,177580.9,191380.6
 "20000","Kansas",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",69763.1,72120.7,76105.1,78664.7,79365.2,81890.3,84335.9,89346.2,98610.2,105943.2,115852.5,111697.4,114239.8,123558.8,130948.1,133979.9,136878.7,138336.8,138533.9,142421.6,148523.2,155125.9,164333.6,172918.3
 "20000","Kansas",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",60909.3,62927.9,66281.7,68805.7,70826.8,73865.8,76180.4,79922.8,87759.6,93655.3,102968.5,101765.4,103700.8,111255.3,118309.0,120306.6,122935.7,124081.4,124328.0,127901.8,133356.0,139128.9,148056.5,154032.1
 "20000","Kansas",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",53713.6,57433.4,61411.4,63799.7,65448.6,68657.0,72687.3,76698.5,81548.8,86072.7,88917.5,87037.5,89314.1,92479.2,94620.8,96250.2,99395.5,101825.9,103792.2,107092.2,111416.1,114529.0,113475.7,126619.5
 "20000","Kansas",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48255,45483,44655,46993,48234,48711,48651,49227,49164,50212,50721,51956,54766,56075
 "20000","Kansas",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37000,35394,34861,35122,34804,34946,35280,36172,36758,37663,37962,38278,37698,40938
 "20000","Kansas",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26221,26927,28253,29112,29248,30074,30843,32545,35690,38057,41257,39431,39960,43015,45294,46174,47013,47332,47326,48651,50663,52876,55974,58924
 "20000","Kansas",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22893,23495,24606,25463,26101,27127,27860,29113,31763,33643,36669,35925,36274,38731,40922,41461,42224,42455,42473,43691,45490,47424,50430,52489
 "20000","Kansas",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20189,21444,22798,23611,24119,25214,26583,27938,29515,30919,31665,30726,31242,32195,32728,33171,34139,34840,35457,36582,38006,39038,38651,43147
 "20000","Kansas",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.729,92.290,93.597,93.375,94.036,93.651,94.051,93.406,92.620,91.586,92.428,92.771,92.249,91.157
 "20000","Kansas",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.581,86.811,89.617,91.665,94.036,94.919,96.766,96.316,96.463,97.130,100.115,101.986,102.529,105.396
 "20000","Kansas",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1723552,1740420,1760312,1767601,1746077,1733694,1750876,1765650,1795507,1844355,1858069,1813184,1801873,1819044,1841393,1869054,1895859,1910954,1916152,1913449,1925615,1924539,1879086,1912187
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
