GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "25000","Massachusetts",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",315040.3,331602.3,358121.5,362663.8,362581.6,369007.4,379086.1,386803.5,395535.8,406421.2,414919.9,407219.6,425792.7,434494.5,442916.9,444874.0,451568.9,468060.9,475349.0,482808.4,501541.5,514170.8,500001.0,533102.1
 "25000","Massachusetts",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),336467.4,336652.4,348143.7,355424.5,366255.1,368116.0,375208.9,398071.6,397805.5,408730.8,419097.0,436144.3,455315.4,475686.6
 "25000","Massachusetts",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),272201.9,272204.9,277163.5,280160.5,284261.6,290678.3,294294.9,303614.3,302062.6,308129.5,312546.9,318759.8,297282.3,331844.5
 "25000","Massachusetts",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",249299.0,264644.4,288791.0,296868.7,301836.4,311188.6,326737.1,341993.2,359270.0,378519.1,390778.4,390504.8,411136.1,425523.0,442916.9,454321.2,470468.5,498851.3,514637.6,531008.0,563054.3,589904.3,585150.3,641332.2
 "25000","Massachusetts",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",206430.6,220900.7,245502.5,255086.8,253738.7,258616.7,271926.8,284122.5,306081.9,322126.0,335157.2,330909.7,347492.1,363396.4,379267.8,382611.1,401832.5,428228.9,444184.1,463980.9,487436.5,513710.4,550459.5,584291.1
 "25000","Massachusetts",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",171157.7,182290.9,198209.6,210585.7,218075.5,224346.8,236137.4,244046.6,261857.9,271364.0,285162.5,292134.9,304821.1,313093.4,328475.4,324823.3,339616.1,360480.4,375655.8,392566.5,414099.6,435624.1,471696.0,492017.2
 "25000","Massachusetts",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",163603.5,174741.3,189001.7,199043.3,206134.2,217838.8,230487.3,242903.3,254673.5,262980.3,271408.7,267918.4,277047.6,286855.8,294778.2,302529.2,315612.4,327178.8,337983.0,350641.3,364342.8,376243.6,360537.9,408831.8
 "25000","Massachusetts",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52013,51653,52994,53610,54724,54483,55020,57983,57582,58739,59922,62159,64839,68104
 "25000","Massachusetts",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42078,41765,42189,42257,42473,43021,43155,44224,43723,44282,44688,45429,42335,47510
 "25000","Massachusetts",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",32914,34967,38594,39872,39540,40267,42407,44371,47750,50085,51810,50772,52894,54812,56669,56628,58924,62376,64295,66679,69693,73213,78388,83653
 "25000","Massachusetts",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",27290,28856,31160,32916,33983,34931,36826,38113,40851,42193,44082,44822,46399,47225,49080,48075,49801,52507,54376,56416,59207,62085,67172,70442
 "25000","Massachusetts",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",26085,27661,29712,31112,32122,33918,35945,37934,39730,40889,41955,41107,42172,43267,44045,44775,46281,47657,48923,50391,52093,53622,51342,58532
 "25000","Massachusetts",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),105.707,104.638,104.398,104.299,103.700,102.687,104.235,104.505,107.435,107.301,107.621,107.369,109.117,106.555
 "25000","Massachusetts",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.709,98.425,99.958,102.390,103.700,104.077,107.244,107.761,111.892,113.797,116.572,118.034,121.278,123.200
 "25000","Massachusetts",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3896096,3962492,4070320,4075959,4021589,3991991,4028638,4071326,4110415,4202942,4215669,4115997,4115539,4175311,4253327,4353568,4447626,4631417,4709797,4778252,4854641,4872989,4600345,4761271
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
