GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "26000","Michigan",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",406051.6,429936.2,438463.8,425103.2,436802.2,443652.2,448888.3,457137.7,449853.5,446943.2,420974.0,383140.1,404216.9,414834.4,422691.2,428737.6,434313.2,443831.2,452325.2,457614.0,466559.4,467107.0,448455.3,481778.0
 "26000","Michigan",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),397401.2,377683.0,386443.9,401623.9,411795.2,408992.9,418732.3,449113.5,458546.2,468965.2,468569.7,473797.2,513048.3,522600.8
 "26000","Michigan",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),334804.5,329659.0,336675.1,344702.9,350487.4,354717.8,362256.3,379504.6,390155.6,401382.5,402760.4,403073.7,392014.3,420483.1
 "26000","Michigan",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",312688.1,338312.4,352152.4,349885.8,363660.8,374174.2,385621.1,400268.9,401869.0,409615.4,390420.9,368733.8,390043.0,404554.7,422691.2,437274.4,451773.2,474983.3,490264.0,502130.4,520245.1,532217.0,520105.3,572205.8
 "26000","Michigan",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",270129.9,283339.7,302000.6,307220.9,306502.9,314078.2,323456.7,331142.6,339338.4,349331.5,357779.8,339695.0,353316.3,373861.3,389544.1,393576.8,411019.8,433688.6,446030.2,459437.9,477925.4,495268.6,537493.5,567807.1
 "26000","Michigan",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",232140.7,243667.9,261007.7,267308.2,272228.2,281811.3,291751.6,297130.8,303696.2,311020.6,319151.6,311383.5,322322.3,336979.3,350459.6,350628.4,366382.0,384752.7,393954.6,407506.0,426252.5,442127.6,484712.1,504687.1
 "26000","Michigan",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",202963.9,216244.2,229744.6,237983.4,245855.3,255035.6,266385.0,276927.9,285612.0,293658.7,301720.7,296896.8,308262.0,321336.1,332018.7,341805.2,356075.1,367102.3,380298.5,394195.6,411741.0,422231.1,411989.1,458227.3
 "26000","Michigan",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39952,38144,39113,40587,41508,41116,41980,44969,45777,46664,46528,47012,50960,51996
 "26000","Michigan",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33659,33294,34076,34834,35329,35660,36318,37999,38949,39939,39994,39994,38938,41836
 "26000","Michigan",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27430,28629,30344,30749,30602,31279,32168,32946,33812,34929,35969,34307,35760,37781,39266,39566,41207,43425,44527,45716,47457,49142,53388,56494
 "26000","Michigan",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23573,24620,26225,26755,27180,28066,29015,29562,30260,31098,32086,31448,32623,34054,35326,35249,36731,38525,39329,40548,42326,43870,48145,50214
 "26000","Michigan",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20610,21849,23084,23819,24547,25399,26492,27552,28459,29362,30333,29985,31200,32473,33467,34362,35698,36758,37965,39224,40885,41895,40922,45591
 "26000","Michigan",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.540,95.747,95.628,94.959,94.731,95.072,95.536,93.809,93.591,92.604,94.380,95.288,94.557,94.253
 "26000","Michigan",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.118,90.062,91.561,93.221,94.731,96.360,98.294,96.732,97.474,98.209,102.230,104.753,105.095,108.976
 "26000","Michigan",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",5383530,5485654,5621494,5526201,5466159,5441706,5467568,5491738,5457450,5457408,5337644,5046501,5038194,5165348,5234473,5323762,5412041,5501549,5575782,5631131,5715006,5713882,5388167,5579513
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
