GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "27000","Minnesota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",223654.5,232068.1,247802.6,247599.4,253478.4,264165.9,275560.1,284636.9,284382.0,286299.2,288420.6,277494.1,287140.1,293783.2,298328.3,305486.4,314091.3,318913.2,324030.3,327483.2,336892.2,340557.1,328489.5,346204.3
 "27000","Minnesota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),249428.6,234246.7,242578.8,253689.3,263919.5,262147.6,269625.9,285582.1,289275.2,297104.7,296400.8,306558.2,327803.1,333417.9
 "27000","Minnesota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),206533.7,199555.0,204653.2,209460.4,210897.5,213136.9,215870.8,223624.8,228832.9,236378.2,236026.7,240404.8,231904.8,243821.5
 "27000","Minnesota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",166904.8,175759.3,191515.0,196006.1,203713.8,215721.8,231267.1,245380.5,252295.9,262063.1,267420.6,262088.9,274231.3,287039.3,298328.3,311126.4,324751.4,335530.2,344060.8,353664.9,372011.3,383956.6,376814.4,412458.6
 "27000","Minnesota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",140368.6,147680.9,160089.0,166871.9,170419.0,178356.2,189320.9,194876.8,204823.7,216907.2,226467.1,216945.7,226957.1,242593.2,257164.2,259781.8,273488.0,286422.9,292234.9,304179.5,319452.6,332916.0,355211.2,378284.7
 "27000","Minnesota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",119390.0,126559.2,136270.7,143043.8,148712.3,157577.1,168044.3,170940.8,178791.1,188486.4,196863.2,194120.8,202238.9,213483.6,226509.1,225486.5,237352.5,246819.7,251687.9,263217.1,277976.1,289634.7,311082.3,326655.2
 "27000","Minnesota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",114003.3,122946.8,133478.9,139611.9,145385.1,152735.8,161790.3,168509.1,175205.4,181917.6,187705.5,185062.7,191752.6,200586.6,205790.5,211496.6,219265.3,224669.9,231656.7,242602.3,254964.5,261626.8,252088.0,277462.0
 "27000","Minnesota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47537,44355,45665,47396,48980,48274,49262,51832,52063,53003,52459,53908,57437,58419
 "27000","Minnesota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39362,37786,38526,39133,39140,39249,39440,40587,41185,42170,41774,42275,40634,42720
 "27000","Minnesota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29162,30303,32448,33490,33955,35293,37211,38065,39667,41655,43161,41079,42724,45323,47726,47838,49967,51985,52596,54266,56539,58543,62240,66280
 "27000","Minnesota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",24804,25969,27620,28708,29630,31181,33029,33389,34626,36197,37519,36757,38071,39884,42037,41523,43365,44797,45298,46958,49198,50932,54507,57234
 "27000","Minnesota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23685,25228,27055,28019,28967,30223,31800,32915,33931,34936,35774,35042,36097,37475,38192,38947,40061,40777,41693,43280,45125,46007,44170,48615
 "27000","Minnesota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),96.351,98.592,97.858,97.549,97.578,97.905,98.723,97.432,97.202,96.775,99.729,98.994,97.803,98.423
 "27000","Minnesota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.884,92.738,93.696,95.764,97.578,99.230,101.572,100.467,101.234,102.633,108.024,108.828,108.703,113.797
 "27000","Minnesota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3189396,3256931,3330936,3347326,3337706,3346994,3390372,3448135,3495705,3540491,3526499,3424435,3408753,3469201,3505578,3556487,3603717,3662852,3698063,3735645,3776796,3783623,3608149,3695240
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
