GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",326786.2,345457.6,356912.5,359617.0,364870.4,373987.6,389210.1,409003.9,434209.2,438960.1,450538.0,431955.3,437836.5,443288.7,445095.3,452056.2,462253.1,475096.6,482968.9,495221.3,501564.9,512834.8,506658.1,541933.8
 "37000","North Carolina",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),402044.2,393836.7,384369.0,386182.8,406018.4,394675.3,411076.3,433712.4,441339.6,460384.0,474748.7,501342.8,535676.0,548116.5
 "37000","North Carolina",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),311599.3,312295.7,314819.0,318128.2,324410.7,329023.0,337666.6,348921.9,356882.4,371988.6,386150.9,402809.0,401049.1,427646.2
 "37000","North Carolina",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",246890.4,265375.7,278008.5,288069.5,297846.4,310388.9,329878.9,355469.7,387525.0,401490.9,418793.4,411155.8,420027.6,431722.7,445095.3,462268.9,483191.3,508928.7,526029.8,548522.1,567836.2,594521.0,598915.9,662120.8
 "37000","North Carolina",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",198667.1,208586.3,222325.8,228555.9,231900.3,241851.1,262024.3,281572.1,306618.1,330170.3,352222.3,339555.6,343348.3,355826.6,380160.6,376392.4,398099.5,419334.3,432626.2,453729.2,476308.7,505470.2,542726.5,592695.0
 "37000","North Carolina",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",172398.2,181228.7,192618.3,198421.1,205531.5,216684.8,235923.6,251228.1,272428.0,292024.5,314437.9,309943.9,312353.6,319731.9,343342.8,336035.4,355550.6,371531.1,382558.2,402890.3,424601.0,449691.4,486060.2,525312.8
 "37000","North Carolina",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",156200.5,168624.2,181767.1,188665.1,194259.5,203839.7,217557.4,233842.1,248748.5,264574.3,273254.0,269612.2,281630.4,293542.8,304180.4,314202.1,327458.8,337936.4,350566.6,367513.6,388305.2,406984.1,407610.3,463814.9
 "37000","North Carolina",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43187,41678,40158,40050,41762,40259,41606,43519,43801,45245,46201,48343,51226,51948
 "37000","North Carolina",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33471,33049,32892,32992,33368,33562,34176,35011,35419,36558,37579,38842,38352,40531
 "37000","North Carolina",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25440,26239,27510,27838,27852,28715,30635,32345,34385,36211,37835,35933,35872,36902,39103,38394,40293,42076,42936,44591,46352,48741,51900,56173
 "37000","North Carolina",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22077,22798,23834,24168,24685,25727,27583,28859,30551,32027,33776,32800,32634,33158,35316,34277,35986,37280,37967,39595,41320,43362,46481,49787
 "37000","North Carolina",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20002,21212,22491,22980,23331,24202,25436,26862,27895,29017,29352,28532,29424,30442,31288,32050,33143,33909,34792,36118,37788,39244,38979,43959
 "37000","North Carolina",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.970,91.782,93.432,93.992,93.764,94.220,94.256,93.925,94.318,93.158,92.837,91.907,91.445,93.805
 "37000","North Carolina",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.694,86.332,89.458,92.272,93.764,95.495,96.977,96.852,98.230,98.797,100.558,101.036,101.636,108.458
 "37000","North Carolina",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4708195,4802414,4891957,4855476,4841986,4851933,4961634,5093049,5251538,5430998,5413586,5215744,5178363,5292814,5356443,5437125,5568662,5695035,5825370,5919872,6056339,6149574,6055314,6275500
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
