GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "35000","New Mexico",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",66944.0,70487.9,71652.8,71730.5,73909.6,76767.5,83038.7,84034.4,86058.4,86738.8,86965.2,88069.9,87610.3,87592.9,87925.2,86856.6,88991.2,89701.3,89151.4,88962.9,90933.6,94897.4,92496.3,93625.1
 "35000","New Mexico",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),75633.7,74255.7,76938.4,76798.4,77515.3,76123.5,79539.3,82002.4,83255.9,81867.1,87512.3,90282.6,97529.9,102712.2
 "35000","New Mexico",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),63826.3,62425.0,64706.5,63925.0,64504.3,65795.4,67075.4,69295.7,70501.1,70186.6,75080.1,74383.4,73040.0,81474.1
 "35000","New Mexico",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",50658.7,53017.3,55105.0,55789.7,57808.3,62651.1,69956.6,73911.4,77610.4,80799.8,84688.4,82461.5,84611.5,87062.8,87925.2,88756.9,92185.7,90274.3,89769.4,92273.6,97268.0,102027.5,98790.0,109582.8
 "35000","New Mexico",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",38344.2,39031.3,42073.6,45061.9,46855.5,48999.1,52162.9,55762.0,60035.5,63582.9,67656.8,67034.1,69607.2,72967.7,74725.4,73561.8,77975.1,79864.3,81414.1,82903.6,86685.6,91853.6,99018.0,106451.2
 "35000","New Mexico",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",34225.1,34727.0,37548.8,40092.6,42506.2,44820.9,47830.6,50686.5,54181.6,57212.1,61381.0,61727.1,64393.4,66944.9,68688.1,66937.6,71017.8,72640.6,74139.2,75641.7,79425.9,83828.1,91171.2,97438.8
 "35000","New Mexico",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",32468.8,34380.0,36468.1,38026.0,39645.7,41970.3,44924.5,48481.1,51732.1,54732.4,57150.9,56429.2,58626.1,60823.8,62270.7,63666.5,65847.2,67605.3,69085.3,71250.0,74540.8,75837.8,74388.6,84693.4
 "35000","New Mexico",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37616,36457,37260,36885,37084,36310,37966,39123,39653,38965,41611,42785,46058,48544
 "35000","New Mexico",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31744,30649,31336,30702,30860,31383,32016,33061,33578,33405,35700,35250,34492,38506
 "35000","New Mexico",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21380,21587,23102,24601,25255,26097,27399,28858,30597,31950,33649,32911,33710,35045,35749,35088,37219,38103,38775,39458,41218,43530,46760,50311
 "35000","New Mexico",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19083,19207,20618,21888,22911,23872,25124,26232,27614,28749,30528,30306,31185,32152,32861,31928,33898,34657,35311,36002,37766,39726,43055,46051
 "35000","New Mexico",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18104,19015,20024,20760,21369,22353,23597,25090,26365,27503,28424,27705,28392,29213,29791,30368,31430,32254,32904,33912,35443,35940,35129,40028
 "35000","New Mexico",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.928,96.101,94.628,96.923,96.537,95.472,95.415,94.613,94.089,95.721,91.658,92.743,91.634,89.907
 "35000","New Mexico",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.541,90.395,90.603,95.149,96.537,96.764,98.169,97.561,97.992,101.515,99.282,101.955,101.846,103.951
 "35000","New Mexico",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",937525,942297,964919,976506,984376,1003002,1027003,1050191,1079132,1103300,1105447,1072062,1059977,1064267,1067211,1075465,1083772,1092255,1092519,1095406,1110504,1116979,1069680,1087348
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
