GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",509550.8,524960.9,538790.2,547260.9,555055.9,568242.4,584328.3,594855.1,597219.2,617309.9,629807.9,610147.9,627726.3,637114.0,647925.9,655929.2,669643.1,682466.1,688359.4,694866.6,704027.8,715060.7,680957.4,710973.1
 "42000","Pennsylvania",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),563794.5,550392.3,567603.0,585316.0,599788.3,599373.0,619150.0,636541.2,650344.9,647288.3,673435.8,687677.8,727606.6,750118.9
 "42000","Pennsylvania",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),472287.3,468049.5,480842.9,489714.7,492953.7,497165.4,506021.4,513151.1,521552.4,522404.6,542420.5,549921.3,526948.0,570569.7
 "42000","Pennsylvania",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",373748.5,390916.8,409159.9,427108.6,440971.7,460270.6,487306.1,511731.4,531274.1,565831.8,588024.6,582144.8,604736.8,624819.7,647925.9,668569.1,694142.6,714202.9,726561.9,746441.0,773977.4,799888.8,771613.2,844496.5
 "42000","Pennsylvania",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",334742.5,349385.3,373971.6,389069.8,396229.2,410471.3,434175.9,453298.2,476775.1,506789.7,526290.3,513386.3,537282.2,564695.4,587666.0,593682.1,619079.4,643988.1,661160.1,678604.6,714331.5,739891.8,788281.5,833314.5
 "42000","Pennsylvania",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",289725.9,302191.3,323329.1,337861.9,351583.5,367698.0,390264.0,403412.2,421763.2,445423.2,463769.7,463580.4,484091.8,503549.3,525615.8,526118.5,547893.8,566954.5,583399.7,599709.6,635620.7,656892.9,704233.7,734852.7
 "42000","Pennsylvania",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",269304.1,286180.6,306158.9,319605.1,331645.1,351529.1,370903.4,390394.7,408447.7,426004.0,441304.0,437162.0,455819.5,473141.1,483674.8,493105.3,506662.5,520049.5,531332.5,549026.4,576675.0,592927.0,572692.2,635754.1
 "42000","Pennsylvania",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44702,43451,44635,45825,46801,46656,48069,49349,50343,50002,51879,52933,56014,57861
 "42000","Pennsylvania",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37447,36951,37812,38341,38465,38700,39286,39783,40373,40355,41786,42329,40567,44012
 "42000","Pennsylvania",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27336,28489,30443,31634,32133,33170,34984,36410,38109,40337,41728,40530,42251,44211,45855,46213,48063,49927,51181,52421,55030,56952,60685,64279
 "42000","Pennsylvania",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23659,24641,26321,27471,28512,29714,31446,32403,33712,35453,36771,36598,38068,39424,41014,40953,42537,43954,45161,46326,48966,50563,54215,56684
 "42000","Pennsylvania",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21992,23335,24923,25986,26895,28407,29886,31357,32648,33907,34990,34512,35845,37043,37741,38384,39336,40318,41131,42411,44425,45640,44088,49040
 "42000","Pennsylvania",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.061,99.297,99.007,98.417,98.118,97.858,97.317,98.282,97.817,99.097,98.152,98.078,97.783,96.371
 "42000","Pennsylvania",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),93.440,93.401,94.796,96.616,98.118,99.183,100.127,101.344,101.875,105.096,106.315,107.820,108.681,111.424
 "42000","Pennsylvania",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",6657699,6764360,6905286,6915464,6887155,6875863,6951840,7053674,7152678,7265045,7278608,7101557,7119776,7217098,7284519,7350854,7434313,7510351,7593733,7662469,7763334,7773246,7413333,7618631
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
