GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "45000","South Carolina",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",139526.3,146104.4,150156.4,151015.9,155275.1,161269.3,164083.4,169488.5,173370.9,178474.6,176567.6,168851.8,172131.0,176083.2,177618.1,180881.6,185986.9,192019.9,198005.7,202512.4,207101.2,213237.8,208234.1,221045.0
 "45000","South Carolina",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),172321.0,170425.8,170553.7,174603.0,181369.3,180701.9,190224.6,201425.4,206062.3,216054.4,222456.2,235950.8,249792.9,252155.0
 "45000","South Carolina",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),151708.5,151836.9,153731.5,154888.5,156862.7,159827.9,165275.0,170738.6,174699.6,181929.1,188723.9,195019.6,194492.0,207502.5
 "45000","South Carolina",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",103456.3,110241.7,115320.6,119478.1,124863.9,131566.5,136982.0,145403.6,153647.7,162746.3,163886.2,161813.5,165860.0,172075.1,177618.1,185009.1,194352.7,205816.7,215120.2,223266.7,233251.4,245987.2,245359.5,269802.5
 "45000","South Carolina",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",89931.9,94453.8,101138.9,104620.9,107551.6,111359.6,117847.3,125049.5,135022.4,143997.2,150518.0,146919.5,152230.5,160767.4,169185.2,171617.2,182832.6,194364.1,202215.4,212325.2,221707.2,237024.5,251946.2,272339.5
 "45000","South Carolina",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",79180.8,83102.7,89335.6,92610.6,97041.4,101262.6,107326.7,112814.1,121214.6,128954.8,135878.5,135385.5,140104.8,146568.6,154449.9,155136.7,165637.1,174943.8,181421.2,190922.3,200058.2,212835.9,227513.9,243932.0
 "45000","South Carolina",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",74955.5,80383.0,86016.9,89509.3,93115.0,97975.0,105225.8,112950.6,120096.5,127609.3,132643.9,131069.1,137415.4,142820.0,146532.2,151996.2,159071.9,165037.1,171796.1,179228.8,188518.4,196321.3,196787.9,224785.5
 "45000","South Carolina",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38048,37131,36806,37446,38580,38120,39694,41508,41961,43509,44305,46469,48686,48578
 "45000","South Carolina",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33497,33081,33175,33218,33367,33717,34488,35184,35575,36637,37586,38408,37907,39976
 "45000","South Carolina",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22946,23764,25133,25737,26182,26832,27986,29285,30984,32402,33234,32010,32852,34479,35989,36204,38152,40053,41178,42758,44155,46681,49105,52467
 "45000","South Carolina",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20203,20908,22199,22782,23624,24399,25488,26419,27815,29017,30002,29497,30235,31434,32854,32727,34564,36051,36944,38448,39844,41917,44343,46994
 "45000","South Carolina",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19125,20224,21375,22020,22668,23607,24989,26451,27559,28714,29288,28556,29654,30630,31170,32065,33194,34009,34984,36093,37546,38665,38355,43305
 "45000","South Carolina",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.693,91.771,93.357,93.928,93.414,93.829,93.546,93.740,94.421,92.892,92.221,91.572,91.035,93.693
 "45000","South Carolina",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.433,86.322,89.387,92.208,93.414,95.100,96.247,96.661,98.338,98.516,99.891,100.667,101.180,108.329
 "45000","South Carolina",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2191440,2240690,2279819,2256571,2248041,2263771,2305664,2356291,2418626,2482325,2472423,2367886,2357627,2427409,2453282,2500792,2564448,2636738,2700086,2759106,2843412,2882340,2825222,2904842
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
