GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",288206.9,308949.5,311209.9,303673.8,307583.2,312556.4,319848.9,340428.0,353263.5,373180.6,381289.9,370136.6,380989.5,387745.2,400530.6,410873.9,424467.6,441952.1,458263.8,482007.0,515029.1,533150.4,538856.1,575129.0
 "53000","Washington",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),296308.3,282495.7,292532.4,299935.6,319364.0,322942.6,338857.0,358067.0,368814.6,375135.3,392478.4,413716.1,441320.5,454854.4
 "53000","Washington",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),235866.6,233000.1,241506.6,244956.6,250299.6,256896.4,262296.2,273285.5,281069.1,285821.2,299041.0,304762.1,297347.9,318114.2
 "53000","Washington",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",209741.1,229797.9,237378.2,238418.6,245978.5,255370.2,268378.3,293676.0,314265.2,342024.2,354794.1,351245.0,365497.8,379574.9,400530.6,419092.4,440648.0,466689.7,487275.1,519409.6,564313.9,595231.8,612969.1,677489.5
 "53000","Washington",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",170274.9,180875.8,193410.0,198031.0,201013.6,209084.9,224764.7,233923.2,255002.6,276678.4,290319.4,277305.3,285579.9,302075.9,326698.8,333763.7,359690.6,381158.1,401774.3,426442.7,454583.5,490322.1,527581.8,570920.8
 "53000","Washington",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",148438.4,155043.7,167012.2,173943.2,180674.1,189934.4,205585.2,211707.5,229247.7,247152.8,261477.7,255831.7,262377.5,273823.8,297082.2,300273.5,322666.4,339487.1,356344.5,379233.8,406211.9,437288.8,473497.6,504425.5
 "53000","Washington",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",131060.1,140900.9,151834.2,156491.9,162268.0,171444.6,182926.2,195074.7,208972.1,221439.0,231326.8,229024.1,236110.1,247059.0,256411.0,265860.5,278807.3,291410.7,306826.3,325712.5,347152.4,361957.5,356590.2,400486.8
 "53000","Washington",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45154,42370,43379,43911,46258,46306,47942,49867,50413,50375,51994,54161,57175,58777
 "53000","Washington",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35943,34946,35813,35862,36254,36835,37110,38060,38419,38382,39616,39897,38523,41107
 "53000","Washington",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29513,30958,32723,33084,33212,34253,36378,37384,40027,42819,44241,41591,42348,44225,47320,47857,50890,53083,54918,57265,60221,64189,68350,73775
 "53000","Washington",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25728,26537,28257,29060,29852,31116,33274,33834,35984,38250,39846,38370,38908,40089,43030,43055,45652,47279,48708,50926,53813,57247,61344,65182
 "53000","Washington",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22716,24116,25689,26144,26811,28087,29606,31176,32802,34270,35251,34350,35012,36170,37139,38121,39446,40584,41939,43739,45989,47385,46198,51751
 "53000","Washington",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.975,104.498,102.108,102.739,102.442,102.107,103.313,103.411,104.816,107.452,107.175,108.036,107.899,108.885
 "53000","Washington",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),98.075,98.294,97.765,100.858,102.442,103.489,106.295,106.632,109.164,113.957,116.089,118.767,119.924,125.894
 "53000","Washington",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3382924,3446900,3526778,3515729,3489250,3516394,3585355,3687899,3798303,3924936,3954911,3815691,3771444,3814305,3909210,3991724,4094309,4199112,4313687,4432281,4537723,4589563,4436065,4558011
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
