GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",216955.9,225783.7,232411.7,236088.7,240543.3,247766.1,256167.4,263698.6,268246.4,269933.6,266626.9,258761.2,266830.8,272813.2,277107.1,278015.0,283981.1,289077.0,291920.3,291922.7,299062.6,303669.0,293104.9,306467.4
 "55000","Wisconsin",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),250486.5,244880.9,246424.8,255777.0,261757.1,260444.6,266920.4,280213.6,282116.3,287595.0,293686.6,300040.2,321084.8,326703.2
 "55000","Wisconsin",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),205548.7,202181.9,204121.0,208381.7,207383.0,209944.2,213070.7,219644.4,224032.8,228425.9,233683.3,234813.5,233021.4,246726.6
 "55000","Wisconsin",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",162609.3,172224.1,180427.3,188163.1,194658.8,203339.2,215537.1,227297.0,237569.3,245839.5,246814.5,247210.0,256432.9,266364.4,277107.1,284270.9,295696.0,307507.9,314073.3,318310.4,332498.6,345236.4,340591.1,368611.3
 "55000","Wisconsin",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",143202.0,148959.2,158832.3,166751.6,171113.4,176142.7,184301.6,191047.1,202681.2,212179.2,220311.5,216466.3,222982.7,235433.8,246242.3,247847.4,258347.8,269703.9,274374.7,284576.5,298256.9,311019.0,329622.8,351551.3
 "55000","Wisconsin",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",123028.4,128107.2,136951.5,144582.8,151601.2,157379.8,165244.2,169980.5,179260.7,187401.8,194493.8,195760.5,201569.6,210560.2,220577.8,219783.6,229719.1,238334.0,241767.5,252147.0,265632.4,275745.2,294460.8,311252.5
 "55000","Wisconsin",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",109177.9,116623.1,125128.5,130713.5,136084.5,143768.7,152421.0,160653.1,169089.9,175602.1,180965.1,178960.1,184972.1,192083.7,195367.4,200057.4,206512.4,211770.9,218339.8,226584.6,237862.2,243920.4,239972.9,266288.8
 "55000","Wisconsin",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44405,43194,43293,44770,45649,45238,46193,48362,48537,49276,50128,51026,54492,55412
 "55000","Wisconsin",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36438,35663,35861,36474,36167,36466,36874,37908,38544,39138,39886,39933,39547,41847
 "55000","Wisconsin",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27031,27933,29556,30841,31425,32148,33424,34447,36338,37816,39055,38182,39175,41209,42944,43050,44709,46548,47205,48758,50908,52893,55941,59626
 "55000","Wisconsin",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23223,24023,25484,26741,27841,28723,29968,30648,32139,33400,34479,34530,35413,36855,38468,38175,39755,41134,41595,43202,45339,46894,49974,52791
 "55000","Wisconsin",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20609,21870,23284,24176,24992,26239,27642,28967,30316,31297,32080,31567,32497,33621,34071,34749,35739,36549,37565,38822,40599,41482,40726,45165
 "55000","Wisconsin",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),93.336,94.102,94.644,93.898,94.206,94.018,94.203,93.502,93.577,93.532,93.973,94.492,92.657,93.347
 "55000","Wisconsin",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.040,88.514,90.619,92.179,94.206,95.291,96.922,96.415,97.459,99.194,101.788,103.878,102.983,107.929
 "55000","Wisconsin",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3287793,3350388,3413585,3403719,3395166,3413403,3467801,3511432,3546975,3585396,3572922,3444622,3426438,3474418,3499405,3539937,3585838,3624584,3657864,3679062,3720945,3719288,3582636,3669140
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
