GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",25530.4,26597.7,27435.0,29130.5,29777.1,30673.2,31695.7,33484.0,37813.4,40632.2,42868.2,41546.4,40056.6,39767.9,38855.4,38849.6,39559.4,40418.2,38188.7,37521.6,38080.1,38446.6,36268.6,36400.0
 "56000","Wyoming",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30037.3,27405.0,28759.4,30128.1,32161.2,31911.3,33389.4,33514.3,31411.1,32095.1,34886.7,35840.6,37498.1,38263.6
 "56000","Wyoming",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),20985.0,20349.6,20940.6,21087.8,21768.5,22246.0,22415.0,22814.6,22675.7,22893.3,24388.6,24050.2,24182.2,26192.8
 "56000","Wyoming",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",14840.2,15679.7,17152.5,18708.3,19165.6,21193.6,23429.4,27576.3,32740.3,36950.8,42819.3,36252.0,37680.7,39751.4,38855.4,39289.8,40310.6,38426.9,35879.0,36980.7,39171.7,39428.0,36330.4,41510.2
 "56000","Wyoming",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",12640.3,13532.7,14634.6,15505.9,15927.6,16959.1,18360.8,20250.0,23254.6,24752.8,27163.2,24949.2,26328.8,28786.6,31199.6,31240.1,33549.3,33761.8,31908.5,32952.3,34759.6,36889.0,37974.0,40322.8
 "56000","Wyoming",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",11049.5,11808.6,12676.5,13545.5,14311.3,15423.6,16743.5,18168.7,20485.6,21699.4,23997.0,22942.3,23991.6,26146.5,27835.7,27825.1,29961.4,30239.2,28807.8,29625.5,31548.4,33339.7,34345.3,36029.6
 "56000","Wyoming",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",9993.4,10698.3,11458.7,11914.4,12420.8,13215.8,14256.6,15388.0,16747.8,18164.6,18995.8,18550.8,19198.6,20177.9,21147.6,21807.3,22553.5,23022.7,23082.9,23562.6,24355.2,24806.1,24566.4,27685.2
 "56000","Wyoming",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),55009,48950,50955,53149,55884,54931,57474,57422,53973,55697,60694,62295,64958,66108
 "56000","Wyoming",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38431,36348,37102,37201,37826,38294,38583,39090,38963,39728,42430,41802,41891,45253
 "56000","Wyoming",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25755,27518,29607,31347,31854,33686,36065,39385,44492,46278,49746,44564,46649,50783,54213,53776,57749,57846,54827,57184,60472,64117,65782,69666
 "56000","Wyoming",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22514,24012,25645,27384,28622,30636,32888,35337,39194,40569,43947,40979,42508,46125,48368,47898,51573,51811,49499,51411,54886,57948,59496,62248
 "56000","Wyoming",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20362,21754,23182,24086,24841,26250,28003,29929,32043,33960,34788,33135,34016,35596,36747,37539,38822,39446,39662,40890,42372,43115,42556,47832
 "56000","Wyoming",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.966,96.915,95.754,97.469,97.147,96.718,97.795,97.863,97.741,97.049,92.195,93.823,91.402,91.418
 "56000","Wyoming",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.521,91.160,91.682,95.685,97.147,98.028,100.618,100.912,101.796,102.923,99.863,103.143,101.589,105.698
 "56000","Wyoming",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",310043,315198,324653,330130,334123,336763,343755,354378,370329,388476,398969,387473,385059,390303,396704,400402,406343,406033,398130,398939,404561,408235,401871,409176
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
