GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,SAPCE1,1,"...","Personal consumption expenditures ","Millions of current dollars",14205.6,14922.5,15857.8,17079.7,18093.4,19397.3,20522.0,21809.9,23313.9,24497.2,25924.9,27186.6,27410.3,28597.2,30162.4,31169.8,31709.4,32820.9,33496.5,34218.2,35232.3,36639.5,37743.5,35831.5,39807.1
 "02000","Alaska",8,SAPCE1,2,"..."," Goods ","Millions of current dollars",5303.7,5470.8,5834.4,6103.6,6283.8,6705.5,7094.5,7583.7,7943.8,8232.0,8561.1,8761.9,8484.1,8776.5,9244.8,9476.7,9509.9,9718.4,9620.5,9610.4,9797.7,10003.5,10136.8,10520.6,12154.2
 "02000","Alaska",8,SAPCE1,3,"...","  Durable goods ","Millions of current dollars",1963.6,2090.2,2261.6,2332.3,2443.3,2712.2,2863.6,3054.1,3131.4,3149.4,3225.3,3079.6,2938.3,2947.3,3018.2,3154.0,3226.6,3354.2,3473.0,3579.9,3745.8,3846.7,3940.0,4384.2,5398.9
 "02000","Alaska",8,SAPCE1,4,"...","   Motor vehicles and parts ","Millions of current dollars",795.0,871.4,986.6,1033.7,1108.6,1260.7,1292.1,1318.4,1252.1,1161.2,1157.8,998.3,976.2,999.7,1015.7,1112.3,1165.8,1201.0,1265.1,1258.1,1283.7,1260.4,1247.8,1344.1,1677.3
 "02000","Alaska",8,SAPCE1,5,"...","   Furnishings and durable household equipment ","Millions of current dollars",376.1,391.1,412.1,430.1,454.2,517.6,551.0,593.0,648.6,674.4,686.8,699.1,664.0,669.1,682.1,699.9,707.9,745.1,778.0,783.6,797.4,846.2,885.0,994.5,1168.4
 "02000","Alaska",8,SAPCE1,6,"...","   Recreational goods and vehicles ","Millions of current dollars",557.3,582.9,595.6,598.3,614.4,655.7,723.3,819.1,887.8,946.6,993.2,994.5,931.1,903.7,920.2,937.9,947.5,993.3,1003.2,1106.4,1228.7,1294.0,1356.4,1637.9,2015.6
 "02000","Alaska",8,SAPCE1,7,"...","   Other durable goods ","Millions of current dollars",235.2,244.9,267.3,270.2,266.1,278.2,297.1,323.6,342.8,367.2,387.4,387.7,367.1,374.7,400.3,403.9,405.4,414.7,426.8,431.9,436.0,446.1,450.9,407.7,537.6
 "02000","Alaska",8,SAPCE1,8,"...","  Nondurable goods ","Millions of current dollars",3340.1,3380.6,3572.8,3771.3,3840.5,3993.3,4230.9,4529.6,4812.4,5082.6,5335.8,5682.3,5545.8,5829.2,6226.6,6322.7,6283.2,6364.2,6147.5,6030.5,6051.8,6156.8,6196.8,6136.4,6755.3
 "02000","Alaska",8,SAPCE1,9,"...","   Food and beverages purchased for off-premises consumption ","Millions of current dollars",1450.0,1512.4,1580.7,1636.3,1689.2,1777.0,1894.4,2009.6,2135.5,2254.4,2396.6,2555.5,2581.1,2650.5,2769.8,2821.7,2818.0,2814.4,2773.3,2721.7,2707.8,2741.0,2778.2,2902.5,3018.4
 "02000","Alaska",8,SAPCE1,10,"...","   Clothing and footwear ","Millions of current dollars",515.6,520.8,537.1,540.7,544.8,552.3,570.2,592.8,607.3,625.1,627.2,634.5,610.3,628.7,654.7,663.3,661.1,671.5,677.4,676.1,664.1,677.9,681.6,592.9,728.4
 "02000","Alaska",8,SAPCE1,11,"...","   Gasoline and other energy goods ","Millions of current dollars",432.7,375.7,420.1,534.9,481.4,457.0,501.6,591.8,662.5,711.9,762.2,881.5,668.3,796.2,976.4,1008.8,991.2,931.3,678.5,568.7,600.3,653.1,621.1,440.3,644.5
 "02000","Alaska",8,SAPCE1,12,"...","   Other nondurable goods ","Millions of current dollars",941.8,971.6,1034.8,1059.4,1125.1,1207.0,1264.7,1335.4,1407.2,1491.3,1549.7,1610.9,1686.2,1753.8,1825.7,1828.8,1812.9,1947.0,2018.3,2063.9,2079.7,2084.7,2115.8,2200.7,2364.0
 "02000","Alaska",8,SAPCE1,13,"..."," Services ","Millions of current dollars",8901.9,9451.6,10023.5,10976.1,11809.6,12691.9,13427.5,14226.2,15370.1,16265.2,17363.9,18424.6,18926.2,19820.8,20917.6,21693.1,22199.5,23102.5,23876.0,24607.8,25434.6,26636.0,27606.7,25310.9,27652.9
 "02000","Alaska",8,SAPCE1,14,"...","  Household consumption expenditures (for services) ","Millions of current dollars",8468.5,8933.6,9469.4,10325.1,11100.6,11880.9,12609.5,13439.2,14461.0,15249.2,16287.9,17213.3,17607.2,18416.7,19366.1,20018.2,20467.2,21373.0,22148.6,22793.6,23514.3,24617.5,25543.5,23180.0,25689.7
