GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "27000","Minnesota",4,SAPCE1,1,"...","Personal consumption expenditures ","Millions of current dollars",108043.5,114003.3,122946.8,133478.9,139611.9,145385.1,152735.8,161790.3,168509.1,175205.4,181917.6,187705.5,185062.7,191752.6,200586.6,205790.5,211496.6,219265.3,224669.9,231656.7,242602.3,254964.5,261626.8,252088.0,277462.0
 "27000","Minnesota",4,SAPCE1,2,"..."," Goods ","Millions of current dollars",38328.9,40446.7,44262.2,47879.0,49767.9,51432.8,53359.2,56435.8,57764.5,58933.0,60553.8,61444.8,58579.2,61162.1,65250.6,66811.5,67709.6,68992.7,69047.7,69756.9,72642.7,76133.5,77383.9,79513.6,91901.8
 "27000","Minnesota",4,SAPCE1,3,"...","  Durable goods ","Millions of current dollars",14769.7,16047.3,17864.5,19137.8,19933.0,20962.7,21381.0,22630.2,22322.8,22054.8,22592.2,21572.8,20738.4,21491.2,22509.0,23139.6,23955.3,24777.4,25997.0,26957.4,28545.4,30098.0,30928.5,33076.6,39544.8
 "27000","Minnesota",4,SAPCE1,4,"...","   Motor vehicles and parts ","Millions of current dollars",6047.5,6550.2,7058.7,7133.9,7617.3,7851.1,7613.8,7572.6,7068.4,6484.6,6514.4,5771.6,5724.4,6240.8,6694.5,7234.9,7617.7,8182.8,8897.1,9209.5,9981.2,10734.0,10909.5,11141.2,13029.7
 "27000","Minnesota",4,SAPCE1,5,"...","   Furnishings and durable household equipment ","Millions of current dollars",3026.5,3288.9,3670.9,4107.1,4252.1,4520.6,4699.5,5095.8,5050.6,5096.5,5033.9,4767.6,4332.7,4332.4,4439.0,4572.4,4694.8,4852.9,5151.8,5346.8,5525.4,5761.4,5953.5,6544.0,7906.7
 "27000","Minnesota",4,SAPCE1,6,"...","   Recreational goods and vehicles ","Millions of current dollars",4043.9,4446.8,5223.8,5806.2,6040.2,6530.3,6873.1,7609.9,7767.1,7924.5,8346.3,8289.0,7994.4,8103.5,8404.7,8336.6,8577.0,8609.9,8701.1,9144.0,9802.8,10268.2,10768.7,12408.2,14697.0
 "27000","Minnesota",4,SAPCE1,7,"...","   Other durable goods ","Millions of current dollars",1651.8,1761.3,1911.1,2090.6,2023.3,2060.8,2194.7,2351.9,2436.7,2549.2,2697.7,2744.6,2686.9,2814.5,2970.7,2995.7,3065.8,3131.9,3246.9,3257.1,3236.0,3334.5,3296.9,2983.3,3911.4
 "27000","Minnesota",4,SAPCE1,8,"...","  Nondurable goods ","Millions of current dollars",23559.2,24399.5,26397.7,28741.2,29834.9,30470.0,31978.2,33805.6,35441.7,36878.2,37961.6,39872.0,37840.8,39670.9,42741.6,43671.8,43754.3,44215.3,43050.7,42799.5,44097.3,46035.4,46455.5,46437.0,52357.0
 "27000","Minnesota",4,SAPCE1,9,"...","   Food and beverages purchased for off-premises consumption ","Millions of current dollars",8696.0,9030.5,9669.4,10218.9,10824.7,11146.0,11341.3,11569.8,11805.3,11982.3,12248.5,12854.9,13088.1,13350.2,14019.2,14633.0,14679.0,14948.6,15122.1,15228.3,15554.8,16076.6,16339.4,17478.6,18342.5
 "27000","Minnesota",4,SAPCE1,10,"...","   Clothing and footwear ","Millions of current dollars",4432.8,4604.0,4752.6,4957.2,5037.2,5098.6,5270.7,5545.9,5594.3,5550.0,5514.7,5534.4,5343.2,5563.6,5741.7,5898.3,6018.3,6180.3,6356.2,6454.6,6476.3,6587.4,6510.6,5948.2,7588.9
