GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "45000","South Carolina",5,SAPCE1,1,"...","Personal consumption expenditures ","Millions of current dollars",70588.3,74955.5,80383.0,86016.9,89509.3,93115.0,97975.0,105225.8,112950.6,120096.5,127609.3,132643.9,131069.1,137415.4,142820.0,146532.2,151996.2,159071.9,165037.1,171796.1,179228.8,188518.4,196321.3,196787.9,224785.5
 "45000","South Carolina",5,SAPCE1,2,"..."," Goods ","Millions of current dollars",27447.1,28941.6,31874.5,33770.8,34107.9,34941.0,36840.4,39895.5,43413.2,45981.2,48208.7,48933.1,46398.5,49116.6,51917.8,53210.3,55251.7,57409.8,57895.3,59647.0,62117.7,65370.5,67461.2,71625.5,84710.8
 "45000","South Carolina",5,SAPCE1,3,"...","  Durable goods ","Millions of current dollars",9290.0,10151.8,11235.8,11758.6,11763.8,12222.6,12762.8,13635.3,14436.3,15006.0,15658.5,14176.7,12874.7,13633.0,14003.4,14643.7,15582.5,16391.3,17600.8,18520.8,19349.6,20213.6,20951.2,23534.2,30156.8
 "45000","South Carolina",5,SAPCE1,4,"...","   Motor vehicles and parts ","Millions of current dollars",4221.8,4626.5,5100.3,5309.1,5358.9,5695.5,5739.1,5732.6,5794.2,5732.8,5965.1,4986.4,4580.2,5146.1,5379.0,5847.8,6267.4,6642.1,7289.0,7621.7,7952.6,8146.9,8204.3,8989.5,11971.9
 "45000","South Carolina",5,SAPCE1,5,"...","   Furnishings and durable household equipment ","Millions of current dollars",2224.6,2409.2,2688.2,2843.8,2782.4,2818.2,2981.8,3350.9,3617.9,3877.1,3895.9,3551.9,3117.8,3164.2,3197.9,3295.3,3533.8,3769.1,4029.0,4298.0,4563.2,4896.0,5263.6,6302.2,7633.0
 "45000","South Carolina",5,SAPCE1,6,"...","   Recreational goods and vehicles ","Millions of current dollars",1771.1,1958.9,2168.1,2268.1,2304.4,2299.2,2485.6,2834.9,3189.1,3361.1,3550.6,3398.3,2982.8,3062.9,3048.4,3066.6,3241.8,3315.4,3503.0,3753.2,3883.2,4096.3,4321.4,5187.1,6605.9
 "45000","South Carolina",5,SAPCE1,7,"...","   Other durable goods ","Millions of current dollars",1072.5,1157.3,1279.2,1337.5,1318.0,1409.7,1556.4,1716.8,1835.2,2035.0,2246.8,2240.1,2193.9,2259.8,2378.1,2434.0,2539.5,2664.6,2779.9,2847.9,2950.6,3074.4,3162.0,3055.5,3946.1
 "45000","South Carolina",5,SAPCE1,8,"...","  Nondurable goods ","Millions of current dollars",18157.1,18789.8,20638.7,22012.2,22344.1,22718.4,24077.6,26260.2,28976.9,30975.2,32550.2,34756.4,33523.8,35483.6,37914.3,38566.6,39669.2,41018.5,40294.5,41126.2,42768.2,45156.9,46510.0,48091.3,54554.0
 "45000","South Carolina",5,SAPCE1,9,"...","   Food and beverages purchased for off-premises consumption ","Millions of current dollars",6776.5,7087.6,7605.0,7884.0,8085.2,8053.5,8233.7,8926.6,9748.3,10100.0,10659.1,11505.0,11816.2,12159.7,12445.9,12586.5,13078.7,13749.3,14069.6,14570.1,14742.3,15354.6,15860.7,17615.3,18839.4
 "45000","South Carolina",5,SAPCE1,10,"...","   Clothing and footwear ","Millions of current dollars",3624.8,3769.4,4004.3,4048.5,4002.8,4073.2,4192.9,4388.0,4560.3,4720.5,4784.4,4738.1,4572.5,4654.8,4799.4,4909.9,4995.4,5195.8,5297.7,5457.9,5710.5,5972.6,6222.0,5930.0,7061.8
 "45000","South Carolina",5,SAPCE1,11,"...","   Gasoline and other energy goods ","Millions of current dollars",2489.3,2247.0,2494.8,3223.7,3034.3,2959.1,3561.9,4254.1,5291.5,6149.7,6501.4,7443.9,5513.2,6600.2,8188.8,8390.1,8329.5,7951.1,6006.0,5405.3,5954.7,6759.9,6548.7,4927.2,7470.8
 "45000","South Carolina",5,SAPCE1,12,"...","   Other nondurable goods ","Millions of current dollars",5266.6,5685.8,6534.5,6856.1,7221.9,7632.6,8089.1,8691.5,9376.8,10005.0,10605.4,11069.5,11621.9,12068.9,12480.2,12680.1,13265.6,14122.3,14921.1,15692.9,16360.6,17069.8,17878.5,19618.9,21182.1
 "45000","South Carolina",5,SAPCE1,13,"..."," Services ","Millions of current dollars",43141.2,46013.9,48508.6,52246.1,55401.4,58174.0,61134.6,65330.3,69537.4,74115.2,79400.5,83710.8,84670.6,88298.8,90902.2,93321.9,96744.5,101662.2,107141.8,112149.1,117111.1,123147.8,128860.1,125162.3,140074.6
