GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,SAPCE1,1,"...","Personal consumption expenditures ","Millions of current dollars",5536790.1,5877248.2,6283757.5,6767179.3,7073801.0,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857.0,11047363.2,11363527.8,11847725.1,12263476.3,12693265.6,13233608.6,13904979.5,14392721.0,14116165.7,15902575.3
 "00000","United States", ,SAPCE1,2,"..."," Goods ","Millions of current dollars",2006505.5,2108439.4,2287061.7,2453171.8,2525593.2,2598804.7,2722597.4,2902021.1,3082922.8,3239655.4,3367030.6,3363221.0,3180022.3,3317824.7,3518120.9,3637739.2,3729972.7,3862956.5,3922992.5,3991848.9,4159375.0,4355177.3,4473509.9,4670135.0,5496516.0
 "00000","United States", ,SAPCE1,3,"...","  Durable goods ","Millions of current dollars",715529.6,779293.4,855568.3,912571.8,941515.1,985368.1,1017800.6,1080574.3,1128610.2,1158333.1,1188043.0,1098760.6,1012121.3,1048962.5,1093498.8,1144221.0,1189413.3,1242075.5,1307605.2,1345193.9,1398248.0,1470686.8,1510542.9,1646793.0,2060246.3
 "00000","United States", ,SAPCE1,4,"...","   Motor vehicles and parts ","Millions of current dollars",293082.5,320204.7,350730.2,363227.6,383289.5,401346.5,401518.3,409310.9,409954.2,394949.3,400573.0,343337.2,318583.1,344466.2,365178.4,396607.9,417533.0,441992.0,475346.0,484318.5,502150.2,520875.0,517001.3,533928.4,688718.9
 "00000","United States", ,SAPCE1,5,"...","   Furnishings and durable household equipment ","Millions of current dollars",160490.2,173579.1,191184.9,208105.7,214940.1,225868.3,235161.0,254310.4,271273.5,283597.6,283457.6,264348.6,238275.2,240924.2,246861.8,253938.0,263589.7,276166.5,294219.7,308489.1,322796.3,346025.8,360456.0,411923.1,495001.7
 "00000","United States", ,SAPCE1,6,"...","   Recreational goods and vehicles ","Millions of current dollars",174632.0,191359.7,210921.5,230858.6,234933.1,244773.3,259466.2,284842.1,306400.9,326319.7,339189.9,328061.1,297516.5,298612.2,305352.7,311821.3,321560.9,329928.0,336482.1,349414.9,366861.1,389838.1,415746.6,494517.9,603891.4
 "00000","United States", ,SAPCE1,7,"...","   Other durable goods ","Millions of current dollars",87324.8,94149.8,102731.7,110380.0,108352.4,113379.9,121655.2,132110.9,140981.6,153466.5,164822.6,163013.7,157746.5,164959.9,176105.9,181853.7,186729.7,193989.0,201557.4,202971.3,206440.3,213947.9,217338.9,206423.7,272634.3
 "00000","United States", ,SAPCE1,8,"...","  Nondurable goods ","Millions of current dollars",1290976.0,1329146.0,1431493.4,1540600.0,1584078.0,1613436.7,1704796.8,1821446.8,1954312.6,2081322.4,2178987.6,2264460.3,2167901.1,2268862.2,2424622.1,2493518.2,2540559.3,2620881.0,2615387.4,2646655.0,2761127.0,2884490.5,2962967.0,3023342.0,3436269.7
 "00000","United States", ,SAPCE1,9,"...","   Food and beverages purchased for off-premises consumption ","Millions of current dollars",474777.2,487437.0,515530.4,540578.4,564002.8,575052.2,599580.2,632604.5,668216.1,700260.4,737332.0,769085.5,772929.7,786866.1,819542.4,846198.0,863994.0,896855.4,920955.4,940635.3,972901.3,999717.3,1030816.8,1126148.9,1205033.4
 "00000","United States", ,SAPCE1,10,"...","   Clothing and footwear ","Millions of current dollars",247496.1,257805.3,271096.9,280831.4,277868.4,278834.8,285295.5,297379.6,310509.3,320022.8,323474.1,317372.5,304042.6,316611.3,332585.6,345219.5,350533.1,360750.6,368734.4,375706.3,380436.7,391313.3,397816.5,358363.1,461299.5
