GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "54000","West Virginia",5,SAPCE1,1,"...","Personal consumption expenditures ","Millions of current dollars",30313.2,31658.0,33356.4,35221.9,36582.9,38098.3,39784.4,42156.7,44383.6,46349.1,48335.7,50416.0,51240.2,53331.2,55749.0,57346.1,58325.7,59563.0,60923.0,62330.9,63838.0,66575.1,67992.2,66537.4,73374.9
 "54000","West Virginia",5,SAPCE1,2,"..."," Goods ","Millions of current dollars",11628.8,11991.6,12690.2,13306.3,13502.9,13924.1,14444.0,15299.2,15889.5,16568.5,17187.1,17730.0,17479.6,18407.1,19494.4,19801.5,20080.6,20188.9,20080.4,20102.3,20367.3,20993.7,21123.2,21644.0,25118.1
 "54000","West Virginia",5,SAPCE1,3,"...","  Durable goods ","Millions of current dollars",3784.1,4014.3,4261.8,4397.8,4515.0,4782.0,4880.4,5099.6,5049.0,5004.6,5121.1,4898.0,4815.5,5112.7,5296.9,5538.4,5644.3,5656.7,5856.7,5837.9,5820.2,6120.3,6174.5,6656.9,8138.2
 "54000","West Virginia",5,SAPCE1,4,"...","   Motor vehicles and parts ","Millions of current dollars",1822.2,1950.3,2082.6,2099.6,2248.5,2375.4,2386.9,2414.5,2297.6,2180.5,2248.2,2025.8,2015.9,2274.6,2384.9,2582.2,2620.9,2631.6,2761.7,2724.8,2737.3,2924.0,2933.8,3015.5,3723.8
 "54000","West Virginia",5,SAPCE1,5,"...","   Furnishings and durable household equipment ","Millions of current dollars",920.1,945.6,998.6,1047.6,1031.0,1105.9,1133.2,1212.0,1244.3,1261.9,1260.1,1241.8,1194.4,1208.1,1233.2,1238.8,1257.6,1278.2,1329.1,1363.0,1379.5,1443.1,1459.5,1685.1,2000.9
 "54000","West Virginia",5,SAPCE1,6,"...","   Recreational goods and vehicles ","Millions of current dollars",685.2,730.5,765.4,811.4,814.0,859.4,901.9,988.8,998.5,1015.6,1028.6,1039.0,1015.4,1017.9,1027.3,1057.7,1093.8,1074.7,1069.1,1066.3,1040.3,1073.4,1096.6,1298.8,1500.1
 "54000","West Virginia",5,SAPCE1,7,"...","   Other durable goods ","Millions of current dollars",356.7,387.9,415.2,439.2,421.4,441.4,458.4,484.4,508.5,546.6,584.2,591.5,589.8,612.1,651.4,659.8,672.0,672.3,696.8,683.8,663.1,679.8,684.5,657.5,913.5
 "54000","West Virginia",5,SAPCE1,8,"...","  Nondurable goods ","Millions of current dollars",7844.7,7977.3,8428.4,8908.6,8988.0,9142.0,9563.6,10199.6,10840.6,11563.8,12066.0,12832.0,12664.1,13294.4,14197.6,14263.1,14436.3,14532.1,14223.7,14264.3,14547.1,14873.4,14948.8,14987.1,16979.9
 "54000","West Virginia",5,SAPCE1,9,"...","   Food and beverages purchased for off-premises consumption ","Millions of current dollars",3087.6,3113.7,3204.0,3271.8,3282.5,3325.4,3405.0,3587.3,3743.7,3938.3,4131.3,4418.5,4578.3,4680.7,4842.5,4877.6,4946.4,4990.7,5016.5,5158.0,5235.0,5253.0,5390.4,5821.4,6233.9
 "54000","West Virginia",5,SAPCE1,10,"...","   Clothing and footwear ","Millions of current dollars",1116.0,1180.0,1216.5,1255.4,1218.6,1218.7,1213.0,1234.0,1297.0,1340.1,1357.5,1381.8,1375.8,1409.0,1440.3,1470.2,1489.3,1494.3,1509.0,1505.3,1475.5,1483.8,1468.4,1389.4,1860.8
