GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "06000","California",8,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",20829,21730,23000,24661,25528,26326,27466,29071,30892,32680,34419,35148,33695,34573,35741,36896,37687,39116,40584,42099,44094,46385,48478,46802,53082
 "06000","California",8,SAPCE2,2,"..."," Goods ","Dollars",6899,7195,7783,8462,8674,8948,9256,9820,10342,10780,11105,10770,9747,10099,10639,11026,11152,11525,11756,11920,12400,12975,13418,13914,16451
 "06000","California",8,SAPCE2,3,"...","  Durable goods ","Dollars",2497,2738,3039,3333,3438,3579,3652,3867,4059,4150,4153,3703,3237,3322,3435,3605,3668,3812,4008,4051,4178,4380,4496,4871,6054
 "06000","California",8,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",843,946,1066,1121,1189,1260,1252,1284,1311,1252,1201,982,833,865,935,1041,1092,1143,1230,1263,1309,1315,1266,1269,1682
 "06000","California",8,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",547,592,663,745,784,812,840,897,955,997,981,871,772,782,793,798,810,855,907,928,969,1040,1080,1214,1453
 "06000","California",8,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",771,840,919,1044,1056,1076,1099,1176,1247,1323,1353,1248,1077,1099,1098,1127,1128,1152,1185,1173,1200,1294,1397,1681,1995
 "06000","California",8,SAPCE2,7,"...","   Other durable goods ","Dollars",337,360,392,424,409,431,460,510,546,577,618,602,555,576,610,638,638,663,685,687,700,731,753,707,924
 "06000","California",8,SAPCE2,8,"...","  Nondurable goods ","Dollars",4402,4457,4744,5129,5236,5369,5605,5952,6283,6630,6952,7067,6509,6778,7204,7421,7484,7713,7748,7869,8222,8595,8922,9043,10397
 "06000","California",8,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1685,1694,1793,1875,1959,2014,2086,2152,2256,2362,2512,2564,2472,2495,2590,2659,2711,2826,2909,2959,3039,3113,3231,3553,3865
 "06000","California",8,SAPCE2,10,"...","   Clothing and footwear ","Dollars",959,991,1032,1083,1034,1064,1076,1178,1238,1217,1234,1186,1062,1107,1178,1244,1247,1296,1330,1351,1413,1467,1527,1347,1721
 "06000","California",8,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",454,396,425,520,501,490,558,676,783,882,933,1059,751,867,1082,1104,1064,1017,778,719,836,947,934,690,1039
 "06000","California",8,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1304,1375,1494,1651,1742,1801,1885,1947,2006,2170,2274,2258,2225,2309,2354,2414,2462,2574,2731,2839,2933,3068,3229,3452,3772
 "06000","California",8,SAPCE2,13,"..."," Services ","Dollars",13930,14534,15217,16199,16854,17378,18210,19251,20550,21901,23314,24378,23948,24474,25102,25871,26535,27591,28828,30179,31694,33410,35060,32888,36631
 "06000","California",8,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",13620,14219,14842,15741,16300,16719,17574,18666,19964,21216,22481,23452,23044,23554,24132,24790,25405,26428,27582,28813,30261,31897,33525,31151,35083
 "06000","California",8,SAPCE2,15,"...","   Housing and utilities ","Dollars",4065,4234,4401,4617,4888,4995,5155,5400,5775,6053,6386,6914,6971,7059,7051,7149,7322,7493,7653,7942,8313,8690,9089,9504,9972
 "06000","California",8,SAPCE2,16,"...","   Health care ","Dollars",2879,2957,2972,3039,3191,3405,3629,3873,4127,4355,4615,4906,5134,5310,5520,5706,5884,6141,6537,6834,7209,7581,8046,7697,8501
