GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",22252,23421,25016,26946,27754,28126,29120,30585,32006,33336,34682,35273,34219,34812,35909,36502,37581,39149,40643,42226,44024,45758,47559,47072,53374
 "08000","Colorado",7,SAPCE2,2,"..."," Goods ","Dollars",8235,8608,9368,10039,10193,10030,10279,10785,11325,11611,12051,11850,10973,11094,11494,11745,12089,12582,12825,13196,13955,14552,14991,15848,18369
 "08000","Colorado",7,SAPCE2,3,"...","  Durable goods ","Dollars",3272,3522,3879,4236,4289,4251,4243,4437,4581,4625,4779,4349,3903,3901,3904,3987,4186,4405,4622,4783,5084,5367,5570,6096,7355
 "08000","Colorado",7,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1140,1236,1372,1457,1544,1573,1536,1552,1511,1439,1514,1285,1161,1187,1192,1263,1342,1431,1539,1561,1650,1723,1708,1759,2166
 "08000","Colorado",7,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",754,807,874,948,969,969,961,1027,1088,1112,1118,1044,898,885,902,918,966,1019,1084,1144,1203,1288,1338,1533,1830
 "08000","Colorado",7,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",1024,1102,1226,1398,1361,1283,1295,1376,1471,1524,1565,1457,1314,1289,1240,1233,1287,1346,1358,1430,1569,1667,1814,2117,2475
 "08000","Colorado",7,SAPCE2,7,"...","   Other durable goods ","Dollars",354,377,407,433,416,427,451,482,510,551,582,564,530,538,569,573,590,609,640,648,663,689,710,687,884
 "08000","Colorado",7,SAPCE2,8,"...","  Nondurable goods ","Dollars",4963,5086,5488,5803,5904,5779,6036,6348,6744,6985,7272,7501,7069,7194,7590,7758,7902,8177,8203,8414,8871,9185,9422,9751,11014
 "08000","Colorado",7,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1808,1856,2007,2063,2162,2128,2221,2326,2455,2476,2598,2705,2715,2695,2782,2886,2939,3088,3194,3314,3441,3489,3598,3925,4098
 "08000","Colorado",7,SAPCE2,10,"...","   Clothing and footwear ","Dollars",942,982,1033,1053,1045,1020,1036,1057,1092,1122,1120,1087,1018,1032,1079,1092,1109,1129,1150,1169,1168,1210,1256,1159,1466
 "08000","Colorado",7,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",597,520,572,716,699,625,705,805,937,1023,1103,1250,887,1000,1197,1201,1195,1154,894,806,929,1060,1014,758,1079
 "08000","Colorado",7,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1616,1728,1876,1970,1998,2006,2074,2160,2260,2363,2451,2458,2450,2467,2532,2578,2659,2806,2965,3124,3332,3426,3555,3909,4370
 "08000","Colorado",7,SAPCE2,13,"..."," Services ","Dollars",14016,14813,15648,16908,17561,18096,18841,19800,20681,21725,22632,23423,23247,23718,24415,24757,25492,26567,27819,29029,30069,31206,32568,31224,35005
 "08000","Colorado",7,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",13785,14543,15307,16495,17086,17590,18307,19257,20139,21099,22029,22723,22560,23006,23641,23897,24612,25644,26931,28106,29124,30183,31564,30014,33823
