GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",23133,24336,25668,27049,28209,29299,30760,32405,34126,35303,36804,37287,36401,37541,38684,39273,39904,40815,41816,42558,43536,45398,46607,45481,51113
 "10000","Delaware",2,SAPCE2,2,"..."," Goods ","Dollars",8546,8922,9717,10164,10467,10890,11409,11992,12413,12684,12934,12654,11850,12201,12731,12896,13140,13353,13526,13631,13770,14262,14375,14674,17104
 "10000","Delaware",2,SAPCE2,3,"...","  Durable goods ","Dollars",3451,3683,4024,4169,4271,4527,4736,4966,5043,4968,5006,4513,4162,4282,4431,4537,4594,4708,4913,4974,4984,5171,5267,5557,6682
 "10000","Delaware",2,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1402,1516,1669,1697,1751,1863,1877,1879,1802,1671,1670,1401,1363,1477,1571,1646,1684,1804,1919,1913,1941,2000,1975,1945,2308
 "10000","Delaware",2,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",693,744,818,871,903,978,1018,1117,1161,1139,1097,992,877,886,889,909,935,955,1016,1063,1083,1159,1176,1340,1604
 "10000","Delaware",2,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",920,954,1018,1058,1086,1134,1257,1350,1436,1474,1520,1424,1249,1224,1230,1227,1213,1180,1185,1193,1162,1197,1298,1517,1804
 "10000","Delaware",2,SAPCE2,7,"...","   Other durable goods ","Dollars",436,469,518,543,532,552,583,621,644,683,719,696,671,694,741,754,762,768,794,804,799,815,819,755,967
 "10000","Delaware",2,SAPCE2,8,"...","  Nondurable goods ","Dollars",5095,5239,5694,5995,6196,6363,6674,7026,7370,7717,7929,8141,7689,7919,8300,8359,8546,8645,8612,8657,8785,9091,9108,9116,10422
 "10000","Delaware",2,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1928,1967,2084,2164,2262,2335,2425,2528,2622,2730,2815,2883,2862,2881,2905,2914,2985,3045,3055,3027,3067,3152,3163,3464,3645
 "10000","Delaware",2,SAPCE2,10,"...","   Clothing and footwear ","Dollars",1082,1132,1221,1239,1255,1265,1268,1290,1293,1263,1240,1193,1130,1174,1256,1298,1278,1273,1296,1318,1289,1291,1274,1102,1427
 "10000","Delaware",2,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",453,393,443,545,516,498,601,724,885,996,1080,1240,888,1022,1242,1237,1257,1213,980,911,1032,1175,1130,871,1349
