GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "98000","Far West",8,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",20916,21896,23172,24774,25559,26329,27479,29071,30842,32551,34165,34867,33535,34352,35499,36548,37353,38733,40081,41475,43380,45597,47471,45954,51959
 "98000","Far West",8,SAPCE2,2,"..."," Goods ","Dollars",7100,7408,7982,8598,8750,8983,9328,9908,10452,10913,11234,10928,9950,10267,10796,11134,11323,11682,11854,12008,12497,13079,13468,14039,16504
 "98000","Far West",8,SAPCE2,3,"...","  Durable goods ","Dollars",2554,2804,3089,3338,3412,3549,3640,3861,4047,4139,4163,3727,3276,3341,3448,3602,3707,3859,4043,4130,4287,4504,4613,5036,6245
 "98000","Far West",8,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",912,1019,1133,1181,1230,1300,1294,1329,1354,1294,1259,1031,889,921,982,1079,1139,1191,1280,1315,1368,1384,1339,1347,1776
 "98000","Far West",8,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",565,614,681,749,778,807,839,900,961,1005,992,890,782,788,795,804,824,867,919,948,993,1067,1105,1247,1477
 "98000","Far West",8,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",755,825,899,1005,1014,1034,1071,1150,1216,1292,1325,1235,1075,1082,1088,1114,1134,1169,1194,1214,1260,1360,1459,1776,2125
 "98000","Far West",8,SAPCE2,7,"...","   Other durable goods ","Dollars",323,347,376,403,390,409,436,481,516,548,586,571,530,549,583,606,610,632,651,652,665,694,710,666,867
 "98000","Far West",8,SAPCE2,8,"...","  Nondurable goods ","Dollars",4545,4603,4894,5260,5338,5434,5688,6047,6405,6774,7071,7201,6674,6925,7348,7532,7617,7823,7811,7878,8211,8575,8854,9003,10259
 "98000","Far West",8,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1767,1785,1878,1961,2038,2088,2170,2259,2372,2489,2631,2691,2613,2631,2726,2787,2839,2942,3009,3039,3112,3190,3298,3629,3908
 "98000","Far West",8,SAPCE2,10,"...","   Clothing and footwear ","Dollars",935,963,1000,1036,995,1011,1023,1108,1168,1162,1174,1126,1017,1067,1138,1193,1202,1240,1262,1276,1325,1376,1424,1257,1601
