GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "19000","Iowa",4,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",18690,19555,20588,21720,22436,22961,24114,25510,26774,27974,29071,30022,29738,30680,31952,32680,33189,34109,34610,35383,36422,37631,38214,37419,41758
 "19000","Iowa",4,SAPCE2,2,"..."," Goods ","Dollars",7296,7528,8024,8410,8501,8600,9009,9642,10070,10571,10936,11148,10724,11153,11830,12099,12210,12390,12243,12368,12725,13088,13066,13501,15800
 "19000","Iowa",4,SAPCE2,3,"...","  Durable goods ","Dollars",2566,2773,2961,2992,3060,3142,3227,3382,3416,3445,3504,3342,3312,3449,3550,3700,3819,3934,4092,4214,4342,4487,4530,4975,6122
 "19000","Iowa",4,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1168,1271,1368,1350,1432,1442,1415,1444,1393,1314,1367,1245,1274,1397,1438,1526,1592,1673,1801,1858,1931,2012,2009,2186,2769
 "19000","Iowa",4,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",531,562,605,639,641,674,704,749,769,786,779,755,717,707,729,751,768,781,809,846,869,906,921,1046,1228
 "19000","Iowa",4,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",571,625,653,654,651,680,742,802,855,916,916,896,874,881,912,935,967,983,983,1013,1044,1064,1103,1274,1529
 "19000","Iowa",4,SAPCE2,7,"...","   Other durable goods ","Dollars",297,315,334,349,335,345,365,386,399,429,442,445,447,464,472,489,491,498,498,496,498,506,497,469,595
 "19000","Iowa",4,SAPCE2,8,"...","  Nondurable goods ","Dollars",4730,4756,5064,5419,5442,5459,5782,6260,6654,7126,7432,7806,7412,7704,8279,8399,8391,8455,8151,8154,8383,8601,8536,8525,9678
 "19000","Iowa",4,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1617,1644,1717,1776,1832,1847,1907,2013,2105,2199,2310,2412,2436,2466,2574,2660,2663,2728,2773,2819,2845,2854,2819,3050,3255
 "19000","Iowa",4,SAPCE2,10,"...","   Clothing and footwear ","Dollars",752,774,808,825,810,801,822,841,859,876,853,858,856,876,882,896,894,903,899,921,921,944,936,862,1077
 "19000","Iowa",4,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",751,674,766,955,907,837,948,1143,1354,1540,1676,1923,1426,1654,2032,2031,1978,1874,1470,1297,1425,1582,1501,1104,1656
 "19000","Iowa",4,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1610,1663,1773,1862,1893,1974,2105,2263,2335,2511,2593,2613,2694,2708,2792,2811,2855,2951,3009,3117,3192,3222,3280,3509,3690
 "19000","Iowa",4,SAPCE2,13,"..."," Services ","Dollars",11394,12027,12564,13310,13935,14361,15105,15867,16704,17403,18135,18874,19014,19527,20122,20580,20979,21719,22368,23015,23697,24542,25147,23918,25957
 "19000","Iowa",4,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",10808,11350,11835,12534,13070,13478,14162,14965,15797,16446,17217,17827,17903,18372,18915,19307,19686,20403,21012,21569,22218,23004,23613,22239,24399
 "19000","Iowa",4,SAPCE2,15,"...","   Housing and utilities ","Dollars",3181,3313,3455,3686,3939,3965,4164,4362,4651,4803,4972,5146,5175,5304,5484,5560,5727,5870,5964,6057,6208,6458,6687,6841,7041
 "19000","Iowa",4,SAPCE2,16,"...","   Health care ","Dollars",2698,2865,2992,3172,3406,3649,3815,4035,4275,4465,4681,4881,5039,5211,5352,5469,5533,5786,6020,6263,6352,6472,6656,6159,6894
 "19000","Iowa",4,SAPCE2,17,"...","   Transportation services ","Dollars",529,570,585,610,618,607,621,668,705,747,781,797,780,768,793,808,862,928,946,990,1047,1091,1140,946,1109
 "19000","Iowa",4,SAPCE2,18,"...","   Recreation services ","Dollars",736,749,777,779,767,779,830,908,922,968,1043,1073,1092,1091,1093,1141,1126,1123,1116,1119,1119,1162,1186,898,1058
