GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",17390,17999,18921,20072,20658,21162,22113,23254,24646,26073,27106,27265,26173,26797,27614,28234,28963,29890,30724,31664,33051,34699,35364,35232,39739
 "16000","Idaho",7,SAPCE2,2,"..."," Goods ","Dollars",6929,7010,7412,7837,7880,7901,8372,8936,9661,10287,10657,10364,9404,9609,10000,10305,10699,10990,11117,11248,11709,12080,12040,12653,15124
 "16000","Idaho",7,SAPCE2,3,"...","  Durable goods ","Dollars",2519,2645,2793,2878,2890,2967,3109,3381,3670,3789,3869,3433,3024,3016,3066,3192,3432,3633,3948,4152,4380,4565,4583,5152,6513
 "16000","Idaho",7,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1013,1062,1097,1064,1093,1156,1177,1230,1253,1249,1303,1065,932,961,984,1055,1141,1234,1378,1443,1574,1631,1584,1690,2120
 "16000","Idaho",7,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",503,530,581,645,643,652,672,738,844,902,868,787,677,662,656,675,715,744,795,822,852,919,972,1152,1348
 "16000","Idaho",7,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",717,759,809,847,842,840,915,1036,1160,1188,1207,1110,954,924,945,966,1065,1134,1244,1359,1423,1475,1490,1802,2390
 "16000","Idaho",7,SAPCE2,7,"...","   Other durable goods ","Dollars",286,293,306,322,311,318,345,377,414,450,490,471,460,469,481,496,511,521,532,527,532,540,536,507,656
 "16000","Idaho",7,SAPCE2,8,"...","  Nondurable goods ","Dollars",4410,4366,4619,4959,4990,4934,5264,5555,5991,6498,6788,6932,6380,6592,6934,7113,7267,7357,7169,7096,7329,7515,7458,7501,8611
 "16000","Idaho",7,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1861,1864,1925,1968,2010,2007,2134,2220,2318,2470,2605,2583,2553,2498,2560,2670,2738,2798,2861,2870,2929,2944,2965,3149,3296
 "16000","Idaho",7,SAPCE2,10,"...","   Clothing and footwear ","Dollars",640,637,647,680,683,668,685,697,735,767,784,772,742,748,755,796,811,813,822,843,837,863,859,815,997
