GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",20218,21111,22288,23590,24194,24830,25793,27433,28955,30346,31545,31860,30905,31682,32592,33143,33968,35256,36523,37567,39369,41331,42766,42232,47779
 "41000","Oregon",8,SAPCE2,2,"..."," Goods ","Dollars",7714,7928,8466,8850,8856,8970,9202,9880,10491,11067,11383,11068,10193,10477,10907,11156,11521,11950,12111,12152,12743,13407,13694,14452,16974
 "41000","Oregon",8,SAPCE2,3,"...","  Durable goods ","Dollars",2887,3062,3337,3410,3412,3517,3528,3760,3952,4085,4173,3725,3327,3398,3446,3558,3788,4030,4274,4445,4758,5031,5145,5630,7012
 "41000","Oregon",8,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1202,1293,1383,1349,1358,1397,1328,1357,1374,1327,1327,1058,931,970,986,1054,1126,1197,1319,1393,1507,1557,1526,1570,2100
 "41000","Oregon",8,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",649,686,760,775,760,779,809,890,965,1024,1028,932,807,819,818,844,897,959,1023,1061,1132,1222,1278,1454,1698
 "41000","Oregon",8,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",757,787,872,944,954,989,1025,1117,1187,1267,1331,1267,1137,1139,1143,1146,1242,1334,1376,1446,1560,1670,1751,2035,2458
 "41000","Oregon",8,SAPCE2,7,"...","   Other durable goods ","Dollars",279,297,322,343,340,352,366,395,427,468,487,469,452,469,499,513,524,540,557,546,559,582,589,571,757
 "41000","Oregon",8,SAPCE2,8,"...","  Nondurable goods ","Dollars",4827,4866,5130,5439,5444,5453,5674,6120,6538,6982,7210,7343,6866,7079,7460,7598,7733,7919,7837,7707,7985,8376,8550,8822,9962
 "41000","Oregon",8,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1922,1961,2019,2102,2182,2237,2338,2525,2628,2793,2936,2987,2921,2937,3026,3089,3139,3241,3304,3247,3299,3386,3494,3857,4104
 "41000","Oregon",8,SAPCE2,10,"...","   Clothing and footwear ","Dollars",904,913,938,936,922,914,900,956,1007,1055,1026,970,921,958,1004,1040,1057,1084,1097,1091,1118,1160,1188,1125,1488
