GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "42000","Pennsylvania",2,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",20899,21992,23335,24923,25986,26895,28407,29886,31357,32648,33907,34990,34512,35845,37043,37741,38384,39336,40318,41131,42411,44425,45640,44088,49040
 "42000","Pennsylvania",2,SAPCE2,2,"..."," Goods ","Dollars",7482,7746,8332,8847,9069,9292,9826,10263,10636,10970,11298,11480,11058,11506,12077,12249,12334,12517,12496,12631,12937,13458,13756,14069,16453
 "42000","Pennsylvania",2,SAPCE2,3,"...","  Durable goods ","Dollars",2662,2835,3058,3212,3332,3466,3603,3774,3803,3790,3862,3681,3529,3692,3855,3945,3982,4020,4093,4135,4232,4463,4584,4899,6022
 "42000","Pennsylvania",2,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1073,1151,1234,1251,1308,1368,1388,1424,1364,1270,1286,1128,1094,1189,1247,1313,1362,1425,1512,1502,1537,1579,1564,1537,1937
 "42000","Pennsylvania",2,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",582,613,659,717,740,772,796,848,885,896,904,872,798,807,820,832,843,855,894,933,967,1021,1063,1182,1456
 "42000","Pennsylvania",2,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",660,702,764,822,874,905,969,1033,1070,1112,1140,1154,1121,1159,1217,1225,1189,1144,1086,1088,1106,1225,1312,1567,1825
 "42000","Pennsylvania",2,SAPCE2,7,"...","   Other durable goods ","Dollars",347,369,401,423,410,422,450,470,484,511,533,526,516,537,571,575,588,596,601,612,622,639,645,612,804
 "42000","Pennsylvania",2,SAPCE2,8,"...","  Nondurable goods ","Dollars",4821,4912,5275,5634,5737,5826,6224,6489,6833,7180,7436,7799,7529,7814,8222,8304,8352,8497,8404,8496,8705,8995,9172,9170,10431
 "42000","Pennsylvania",2,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1711,1738,1834,1923,1968,1994,2137,2166,2258,2351,2465,2596,2586,2606,2651,2715,2731,2785,2826,2876,2913,2953,3021,3222,3491
 "42000","Pennsylvania",2,SAPCE2,10,"...","   Clothing and footwear ","Dollars",914,948,997,1025,992,977,1007,1013,1029,1032,1026,1011,991,1022,1060,1060,1066,1096,1098,1120,1113,1127,1120,990,1291
 "42000","Pennsylvania",2,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",544,478,521,653,640,598,713,874,1039,1145,1226,1418,1082,1258,1511,1482,1437,1383,1072,966,1049,1179,1145,842,1240
 "42000","Pennsylvania",2,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1651,1748,1923,2034,2138,2256,2367,2436,2508,2652,2719,2774,2870,2929,3001,3047,3119,3233,3408,3534,3630,3736,3885,4116,4410
 "42000","Pennsylvania",2,SAPCE2,13,"..."," Services ","Dollars",13417,14245,15003,16076,16918,17603,18581,19622,20721,21678,22609,23510,23454,24339,24966,25492,26049,26819,27822,28500,29474,30967,31883,30019,32586
 "42000","Pennsylvania",2,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",12786,13494,14179,15175,15897,16526,17455,18465,19542,20364,21229,22005,21950,22837,23422,23916,24429,25153,26162,26747,27660,29024,29907,27848,30677
 "42000","Pennsylvania",2,SAPCE2,15,"...","   Housing and utilities ","Dollars",3489,3658,3839,4086,4379,4514,4701,4918,5233,5381,5582,5896,5947,6168,6209,6318,6504,6577,6807,6813,7031,7311,7448,7640,7886
 "42000","Pennsylvania",2,SAPCE2,16,"...","   Health care ","Dollars",3181,3297,3407,3597,3887,4158,4391,4695,4998,5247,5509,5739,5887,6182,6418,6556,6609,6838,7187,7450,7633,7984,8291,7871,8641
 "42000","Pennsylvania",2,SAPCE2,17,"...","   Transportation services ","Dollars",699,734,786,847,858,835,851,883,897,912,916,929,892,914,973,995,1041,1091,1138,1177,1203,1275,1320,1008,1176
 "42000","Pennsylvania",2,SAPCE2,18,"...","   Recreation services ","Dollars",675,704,756,799,812,848,914,981,1013,1069,1139,1192,1220,1262,1256,1320,1372,1394,1452,1508,1536,1587,1639,1223,1500
 "42000","Pennsylvania",2,SAPCE2,19,"...","   Food services and accommodations ","Dollars",1112,1163,1201,1284,1316,1368,1430,1509,1588,1652,1751,1792,1783,1859,1950,2050,2101,2175,2283,2343,2415,2504,2582,1971,2593
 "42000","Pennsylvania",2,SAPCE2,20,"...","   Financial services and insurance ","Dollars",1543,1682,1812,2010,1965,2011,2145,2294,2480,2578,2682,2693,2488,2635,2761,2783,2887,3033,3130,3156,3370,3650,3667,3800,4148
 "42000","Pennsylvania",2,SAPCE2,21,"...","   Other services ","Dollars",2087,2257,2378,2552,2681,2791,3023,3184,3332,3526,3651,3764,3734,3816,3855,3894,3914,4045,4165,4300,4472,4713,4959,4335,4733
 "42000","Pennsylvania",2,SAPCE2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) ","Dollars",630,751,824,902,1021,1077,1126,1157,1179,1313,1379,1505,1505,1502,1544,1576,1620,1666,1660,1752,1813,1943,1976,2172,1909
 "42000","Pennsylvania",2,SAPCE2,23,"...","   Gross output of nonprofit institutions ","Dollars",2266,2453,2590,2737,2987,3188,3312,3496,3652,3884,4088,4250,4332,4401,4478,4554,4654,4797,4945,5124,5293,5579,5793,5851,6105
 "42000","Pennsylvania",2,SAPCE2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions ","Dollars",1636,1702,1765,1835,1966,2111,2187,2339,2473,2570,2709,2745,2827,2899,2934,2978,3034,3131,3285,3371,3480,3636,3817,3680,4196
"Note: See the included footnote file."
"SAPCE2: Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Last updated: October 6, 2022-- new statistics for 2021; revised statistics for 2010-2020."
"U.S. Bureau of Economic Analysis"
