GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",20199,21292,22485,24132,25199,26328,27983,29386,31120,32589,33801,34439,34159,34773,35656,35897,36682,37775,38716,39485,40614,42036,42976,41548,46909
 "44000","Rhode Island",1,SAPCE2,2,"..."," Goods ","Dollars",6239,6510,7117,7698,7967,8417,8901,9301,9770,10025,10165,9998,9531,9656,10051,10163,10466,10881,11124,11367,11814,12381,12639,12995,14946
 "44000","Rhode Island",1,SAPCE2,3,"...","  Durable goods ","Dollars",1996,2154,2418,2726,2805,3065,3240,3349,3449,3453,3464,3180,3000,3091,3154,3197,3268,3404,3549,3592,3704,3838,3914,4162,5149
 "44000","Rhode Island",1,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",931,1023,1126,1247,1301,1418,1467,1441,1435,1349,1328,1149,1122,1184,1194,1210,1256,1323,1383,1360,1384,1449,1416,1408,1729
 "44000","Rhode Island",1,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",430,451,510,592,611,678,713,762,796,822,814,751,677,677,692,709,716,750,793,836,900,944,991,1141,1328
 "44000","Rhode Island",1,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",389,424,490,558,576,635,690,741,791,813,824,794,735,740,751,748,755,769,779,804,805,810,867,1016,1283
 "44000","Rhode Island",1,SAPCE2,7,"...","   Other durable goods ","Dollars",245,256,292,329,317,335,371,405,427,468,497,487,466,491,517,530,541,562,593,593,615,636,640,597,809
 "44000","Rhode Island",1,SAPCE2,8,"...","  Nondurable goods ","Dollars",4243,4356,4699,4972,5162,5352,5660,5952,6321,6572,6701,6818,6531,6565,6896,6966,7197,7477,7576,7774,8110,8543,8724,8833,9797
 "44000","Rhode Island",1,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1667,1717,1816,1904,1991,2030,2083,2169,2282,2382,2501,2554,2544,2566,2618,2667,2739,2851,2928,3013,3119,3225,3295,3554,3803
 "44000","Rhode Island",1,SAPCE2,10,"...","   Clothing and footwear ","Dollars",756,790,848,894,885,894,893,910,935,950,939,904,831,852,864,915,919,933,942,943,940,952,944,845,1144
 "44000","Rhode Island",1,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",424,359,384,463,459,436,571,636,743,741,759,856,620,683,828,832,848,847,679,630,716,865,860,611,820
