GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "97000","Rocky Mountain",7,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",19860,20800,22041,23565,24319,24865,25840,27242,28667,30100,31434,31956,30860,31431,32456,33214,34100,35408,36596,37784,39314,41016,42387,42174,47800
 "97000","Rocky Mountain",7,SAPCE2,2,"..."," Goods ","Dollars",7595,7852,8430,8930,9071,9097,9415,10006,10578,11095,11630,11453,10508,10661,11054,11363,11662,12088,12276,12529,13121,13699,14003,14791,17418
 "97000","Rocky Mountain",7,SAPCE2,3,"...","  Durable goods ","Dollars",2936,3127,3381,3605,3669,3743,3790,4024,4211,4333,4527,4114,3665,3674,3708,3842,4053,4268,4535,4712,4985,5268,5427,6028,7460
 "97000","Rocky Mountain",7,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1103,1183,1276,1324,1399,1461,1439,1472,1459,1422,1504,1273,1149,1189,1218,1301,1382,1463,1573,1601,1697,1774,1764,1870,2325
 "97000","Rocky Mountain",7,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",655,694,749,802,814,829,839,905,972,1022,1043,968,832,817,819,838,878,920,988,1037,1082,1167,1216,1406,1657
 "97000","Rocky Mountain",7,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",853,907,992,1093,1082,1068,1102,1205,1309,1375,1429,1339,1176,1151,1131,1151,1228,1301,1363,1464,1586,1683,1792,2128,2671
 "97000","Rocky Mountain",7,SAPCE2,7,"...","   Other durable goods ","Dollars",326,343,366,385,373,385,411,442,471,514,551,534,508,516,540,551,565,583,611,611,620,643,655,624,806
 "97000","Rocky Mountain",7,SAPCE2,8,"...","  Nondurable goods ","Dollars",4659,4725,5049,5326,5402,5354,5624,5982,6368,6762,7102,7339,6844,6986,7346,7521,7609,7820,7741,7816,8136,8432,8576,8762,9958
 "97000","Rocky Mountain",7,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1789,1820,1924,1967,2034,2023,2119,2234,2346,2436,2580,2651,2634,2606,2678,2758,2793,2913,2986,3057,3141,3196,3274,3538,3705
 "97000","Rocky Mountain",7,SAPCE2,10,"...","   Clothing and footwear ","Dollars",842,864,900,910,904,892,911,933,966,1004,1013,985,937,942,974,1000,1013,1027,1043,1057,1058,1091,1114,1042,1320
 "97000","Rocky Mountain",7,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",607,539,601,760,732,668,743,866,1030,1170,1275,1451,1025,1168,1392,1418,1390,1338,1026,905,1024,1157,1104,819,1191
 "97000","Rocky Mountain",7,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1421,1502,1625,1689,1731,1771,1851,1949,2025,2151,2234,2252,2248,2270,2301,2345,2413,2542,2686,2797,2912,2987,3084,3364,3742
 "97000","Rocky Mountain",7,SAPCE2,13,"..."," Services ","Dollars",12264,12948,13611,14635,15249,15768,16425,17237,18089,19005,19804,20503,20352,20770,21402,21851,22438,23321,24319,25255,26194,27316,28384,27384,30383
 "97000","Rocky Mountain",7,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",11981,12621,13228,14199,14758,15238,15875,16702,17574,18420,19224,19835,19691,20103,20696,21071,21642,22499,23516,24421,25329,26403,27493,26314,29383
 "97000","Rocky Mountain",7,SAPCE2,15,"...","   Housing and utilities ","Dollars",3773,3918,4068,4278,4528,4638,4779,5010,5320,5529,5688,5996,6034,6084,6250,6292,6513,6631,6892,7111,7388,7653,8069,8397,8766
 "97000","Rocky Mountain",7,SAPCE2,16,"...","   Health care ","Dollars",2359,2469,2537,2761,3011,3280,3455,3710,3882,4042,4285,4467,4656,4800,4921,5047,5154,5376,5714,6037,6180,6359,6618,6280,6929
