GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "95000","Southeast",5,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",19331,20191,21286,22569,23280,23898,24912,26278,27761,29197,30286,30720,29922,30806,31875,32592,33251,34405,35333,36237,37404,39027,40155,39607,44881
 "95000","Southeast",5,SAPCE2,2,"..."," Goods ","Dollars",7330,7602,8141,8563,8693,8811,9149,9686,10261,10750,10990,10824,10170,10550,11093,11385,11618,11944,12029,12124,12512,13008,13277,13916,16392
 "95000","Southeast",5,SAPCE2,3,"...","  Durable goods ","Dollars",2640,2824,3037,3144,3189,3299,3386,3578,3740,3834,3858,3463,3143,3249,3366,3513,3654,3796,3987,4078,4193,4387,4487,4914,6172
 "95000","Southeast",5,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1166,1254,1344,1366,1403,1453,1441,1464,1475,1429,1422,1173,1062,1159,1214,1307,1370,1431,1534,1559,1586,1636,1619,1692,2219
 "95000","Southeast",5,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",609,648,698,731,744,775,803,863,923,962,936,848,755,755,766,788,819,853,903,942,982,1051,1098,1276,1507
 "95000","Southeast",5,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",566,604,652,686,690,709,755,833,902,963,986,941,840,831,854,872,906,932,948,981,1025,1080,1149,1352,1652
 "95000","Southeast",5,SAPCE2,7,"...","   Other durable goods ","Dollars",299,318,342,361,352,363,387,418,441,481,514,501,485,504,533,546,559,580,601,597,600,618,621,593,794
 "95000","Southeast",5,SAPCE2,8,"...","  Nondurable goods ","Dollars",4690,4777,5104,5418,5505,5512,5763,6108,6521,6915,7132,7362,7027,7301,7727,7873,7964,8148,8042,8046,8318,8622,8790,9002,10220
 "95000","Southeast",5,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1769,1804,1881,1949,1996,1990,2041,2135,2236,2317,2401,2490,2506,2527,2606,2671,2705,2781,2833,2869,2942,3009,3093,3374,3606
 "95000","Southeast",5,SAPCE2,10,"...","   Clothing and footwear ","Dollars",829,856,892,907,896,883,893,918,945,979,980,949,909,936,965,987,1000,1026,1040,1049,1047,1066,1073,992,1278
 "95000","Southeast",5,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",574,515,567,705,666,620,712,833,1011,1151,1209,1347,980,1149,1393,1410,1384,1317,992,872,973,1086,1036,759,1145
 "95000","Southeast",5,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1519,1602,1764,1858,1946,2019,2116,2223,2329,2469,2542,2576,2631,2689,2764,2805,2875,3024,3177,3255,3357,3461,3587,3877,4191
 "95000","Southeast",5,SAPCE2,13,"..."," Services ","Dollars",12001,12589,13145,14006,14587,15087,15763,16592,17501,18448,19296,19896,19753,20256,20781,21207,21633,22461,23304,24113,24893,26019,26878,25691,28489
 "95000","Southeast",5,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",11853,12414,12939,13762,14308,14775,15458,16296,17233,18120,18949,19466,19346,19861,20365,20749,21164,21972,22837,23603,24384,25477,26373,25014,27865
 "95000","Southeast",5,SAPCE2,15,"...","   Housing and utilities ","Dollars",3614,3767,3918,4127,4383,4485,4637,4834,5139,5414,5698,5949,5954,6069,6130,6139,6279,6416,6539,6692,6843,7110,7379,7612,7893
 "95000","Southeast",5,SAPCE2,16,"...","   Health care ","Dollars",2796,2886,2956,3116,3352,3602,3783,4017,4222,4401,4596,4738,4919,5049,5161,5327,5372,5561,5861,6107,6263,6499,6809,6449,7198
 "95000","Southeast",5,SAPCE2,17,"...","   Transportation services ","Dollars",640,674,712,758,733,702,728,751,776,800,811,809,762,778,836,854,895,951,995,1046,1089,1141,1211,933,1152
 "95000","Southeast",5,SAPCE2,18,"...","   Recreation services ","Dollars",693,726,767,815,829,850,891,951,994,1054,1110,1140,1127,1153,1159,1208,1238,1285,1339,1401,1449,1502,1539,1238,1477
 "95000","Southeast",5,SAPCE2,19,"...","   Food services and accommodations ","Dollars",1273,1311,1357,1432,1450,1494,1581,1692,1798,1895,1963,1988,1953,2018,2106,2199,2268,2389,2529,2617,2704,2817,2915,2434,3165
 "95000","Southeast",5,SAPCE2,20,"...","   Financial services and insurance ","Dollars",1359,1458,1559,1718,1664,1684,1782,1902,2056,2176,2286,2312,2135,2261,2381,2418,2492,2621,2755,2824,3022,3251,3221,3283,3592
 "95000","Southeast",5,SAPCE2,21,"...","   Other services ","Dollars",1477,1591,1668,1795,1897,1958,2056,2148,2247,2379,2487,2529,2497,2534,2592,2605,2619,2749,2819,2916,3015,3157,3300,3066,3389
 "95000","Southeast",5,SAPCE2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) ","Dollars",148,176,206,244,279,312,305,295,268,327,347,430,407,394,417,457,470,489,467,510,508,542,505,677,624
 "95000","Southeast",5,SAPCE2,23,"...","   Gross output of nonprofit institutions ","Dollars",1310,1421,1494,1590,1710,1847,1917,2015,2116,2274,2390,2504,2554,2605,2666,2748,2805,2893,3029,3176,3256,3387,3475,3503,3605
 "95000","Southeast",5,SAPCE2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions ","Dollars",1161,1245,1288,1345,1431,1535,1612,1719,1848,1947,2043,2074,2148,2211,2249,2291,2336,2404,2561,2666,2747,2845,2969,2826,2981
"Note: See the included footnote file."
"SAPCE2: Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Last updated: October 6, 2022-- new statistics for 2021; revised statistics for 2010-2020."
"U.S. Bureau of Economic Analysis"
