GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "96000","Southwest",6,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",18899,19843,20891,22225,23032,23516,24389,25588,27139,28342,29477,30090,29344,30233,31448,32333,33141,34416,35213,36014,37222,38821,39863,39317,44222
 "96000","Southwest",6,SAPCE2,2,"..."," Goods ","Dollars",7111,7386,7902,8407,8559,8598,8876,9394,10103,10527,10929,10792,10075,10421,11077,11483,11732,12132,12151,12198,12607,13138,13307,13929,16473
 "96000","Southwest",6,SAPCE2,3,"...","  Durable goods ","Dollars",2623,2861,3109,3310,3374,3437,3463,3629,3794,3895,4022,3651,3293,3376,3516,3700,3822,3983,4195,4257,4397,4621,4686,5102,6486
 "96000","Southwest",6,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1155,1271,1383,1447,1541,1563,1530,1531,1532,1492,1549,1301,1171,1254,1328,1484,1554,1643,1738,1733,1781,1859,1839,1928,2489
 "96000","Southwest",6,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",568,606,660,708,709,731,739,786,850,892,902,843,758,754,772,785,817,859,916,949,975,1045,1069,1229,1513
 "96000","Southwest",6,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",574,639,699,763,746,753,781,871,944,999,1031,979,859,847,855,857,865,882,916,950,1006,1063,1121,1322,1664
 "96000","Southwest",6,SAPCE2,7,"...","   Other durable goods ","Dollars",326,345,367,392,378,390,413,441,468,511,541,528,506,522,561,575,585,600,625,625,635,654,656,624,820
 "96000","Southwest",6,SAPCE2,8,"...","  Nondurable goods ","Dollars",4488,4525,4794,5097,5185,5161,5413,5766,6309,6632,6907,7141,6781,7045,7561,7783,7910,8148,7957,7940,8210,8517,8621,8827,9987
 "96000","Southwest",6,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1642,1657,1736,1778,1835,1825,1891,2001,2116,2202,2292,2373,2363,2383,2474,2549,2581,2677,2713,2735,2804,2858,2894,3193,3384
 "96000","Southwest",6,SAPCE2,10,"...","   Clothing and footwear ","Dollars",857,878,907,939,923,915,933,945,1000,1052,1062,1027,999,1022,1079,1116,1123,1133,1145,1159,1164,1189,1186,1094,1381
 "96000","Southwest",6,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",586,516,555,700,685,628,717,843,1095,1130,1232,1370,1007,1167,1456,1505,1503,1461,1089,948,1037,1171,1115,817,1187
 "96000","Southwest",6,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1404,1474,1595,1679,1743,1793,1872,1976,2099,2249,2321,2370,2411,2472,2552,2613,2703,2877,3010,3098,3206,3298,3426,3723,4036
 "96000","Southwest",6,SAPCE2,13,"..."," Services ","Dollars",11787,12457,12989,13818,14474,14918,15514,16194,17036,17815,18548,19298,19269,19812,20372,20850,21409,22284,23062,23816,24615,25683,26556,25388,27749
 "96000","Southwest",6,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",11539,12159,12648,13426,14027,14426,15000,15679,16564,17289,18027,18679,18653,19204,19740,20156,20700,21555,22349,23048,23831,24859,25750,24441,26941
