GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",17608,18204,18919,19969,20525,21161,21962,23333,24666,26098,27385,27738,26631,26892,27691,28664,29377,30561,31585,32658,34003,35744,37034,37320,42653
 "49000","Utah",7,SAPCE2,2,"..."," Goods ","Dollars",7128,7230,7586,7844,7875,8040,8310,9033,9557,10293,10916,10618,9630,9740,10037,10474,10775,11236,11534,11899,12458,13155,13500,14321,17233
 "49000","Utah",7,SAPCE2,3,"...","  Durable goods ","Dollars",2854,2964,3091,3162,3166,3334,3347,3631,3876,4121,4416,3964,3466,3475,3522,3747,3994,4233,4627,4933,5281,5667,5890,6654,8467
 "49000","Utah",7,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1076,1128,1150,1177,1204,1290,1249,1300,1334,1340,1440,1225,1083,1109,1161,1257,1352,1409,1529,1576,1680,1783,1789,1969,2469
 "49000","Utah",7,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",654,679,722,735,725,743,758,825,879,960,1024,919,780,766,747,773,802,838,936,993,1038,1149,1200,1386,1590
 "49000","Utah",7,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",806,826,877,897,894,945,957,1093,1220,1326,1410,1299,1104,1100,1096,1182,1291,1410,1547,1743,1934,2076,2230,2675,3606
 "49000","Utah",7,SAPCE2,7,"...","   Other durable goods ","Dollars",318,330,343,353,343,355,382,412,444,495,541,521,499,501,519,535,550,575,616,621,628,660,671,625,802
 "49000","Utah",7,SAPCE2,8,"...","  Nondurable goods ","Dollars",4275,4267,4495,4683,4709,4706,4964,5403,5681,6172,6501,6654,6163,6265,6515,6727,6781,7004,6907,6967,7177,7488,7610,7667,8767
 "49000","Utah",7,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1671,1667,1721,1755,1789,1774,1847,2003,2081,2217,2370,2409,2351,2325,2369,2391,2387,2494,2526,2577,2621,2689,2748,2956,3112
 "49000","Utah",7,SAPCE2,10,"...","   Clothing and footwear ","Dollars",797,802,828,815,802,804,827,850,876,931,952,916,893,870,890,939,950,952,965,976,988,1024,1031,966,1234
 "49000","Utah",7,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",565,517,586,746,692,620,693,826,973,1127,1212,1338,925,1038,1263,1347,1322,1279,985,876,984,1114,1088,797,1162
 "49000","Utah",7,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1242,1281,1360,1367,1426,1508,1597,1724,1751,1897,1966,1990,1994,2032,1993,2050,2123,2279,2431,2537,2584,2662,2742,2947,3259
 "49000","Utah",7,SAPCE2,13,"..."," Services ","Dollars",10480,10974,11333,12125,12650,13121,13651,14299,15108,15805,16468,17121,17001,17152,17655,18190,18602,19325,20051,20759,21545,22588,23534,22999,25420
