GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "51000","Virginia",5,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",20691,21778,23211,24737,25652,26708,28076,29850,31725,33209,34585,35511,34807,35817,36762,37430,37910,38801,39392,40263,41257,42883,43822,42831,48249
 "51000","Virginia",5,SAPCE2,2,"..."," Goods ","Dollars",7826,8171,8870,9388,9516,9795,10224,10898,11511,11958,12146,12086,11346,11723,12278,12505,12578,12691,12688,12750,13152,13620,13904,14564,16918
 "51000","Virginia",5,SAPCE2,3,"...","  Durable goods ","Dollars",2756,2994,3279,3460,3509,3685,3817,4118,4290,4337,4315,3980,3664,3757,3871,3983,4069,4118,4257,4310,4395,4590,4710,5165,6267
 "51000","Virginia",5,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1118,1205,1297,1364,1426,1491,1518,1600,1590,1504,1509,1294,1193,1273,1306,1384,1414,1452,1527,1556,1568,1607,1585,1611,2004
 "51000","Virginia",5,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",653,699,776,812,841,905,941,1020,1076,1087,1057,972,871,867,884,900,920,935,985,1008,1039,1093,1116,1315,1530
 "51000","Virginia",5,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",624,705,781,842,810,840,876,973,1073,1144,1119,1094,1002,999,1035,1039,1067,1053,1050,1055,1098,1181,1290,1545,1827
 "51000","Virginia",5,SAPCE2,7,"...","   Other durable goods ","Dollars",361,386,425,441,432,449,481,524,551,602,631,620,598,619,646,659,667,678,694,691,690,709,720,694,907
 "51000","Virginia",5,SAPCE2,8,"...","  Nondurable goods ","Dollars",5070,5177,5591,5928,6007,6109,6407,6780,7221,7621,7831,8106,7682,7966,8407,8522,8510,8573,8431,8440,8756,9030,9194,9399,10651
 "51000","Virginia",5,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1768,1796,1895,1979,2024,2077,2128,2215,2329,2431,2518,2619,2614,2654,2735,2809,2797,2830,2879,2949,3068,3112,3179,3459,3729
 "51000","Virginia",5,SAPCE2,10,"...","   Clothing and footwear ","Dollars",991,1028,1088,1094,1076,1074,1102,1155,1182,1214,1194,1161,1104,1135,1153,1172,1164,1169,1178,1184,1165,1182,1188,1088,1403
 "51000","Virginia",5,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",616,557,619,775,750,707,830,964,1174,1299,1374,1541,1121,1297,1529,1518,1470,1389,1038,900,1007,1121,1067,785,1139
 "51000","Virginia",5,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1697,1796,1989,2080,2157,2251,2346,2446,2536,2676,2745,2785,2843,2879,2990,3023,3079,3184,3336,3406,3517,3615,3760,4067,4381
