GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",21468,22701,24121,25735,27142,28280,29814,31537,33312,34851,36004,37352,37157,38362,39950,40945,41754,43048,43506,44127,44964,46846,47860,46205,50761
 "50000","Vermont",1,SAPCE2,2,"..."," Goods ","Dollars",7632,7895,8499,9047,9527,9939,10390,11080,11607,11929,12240,12504,11994,12428,13062,13238,13446,13696,13531,13480,13740,14338,14464,14817,16783
 "50000","Vermont",1,SAPCE2,3,"...","  Durable goods ","Dollars",2563,2758,2995,3150,3357,3600,3765,3989,4045,3965,4045,3819,3628,3716,3818,3909,4032,4200,4326,4384,4465,4622,4646,4872,5870
 "50000","Vermont",1,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1139,1246,1337,1381,1480,1578,1644,1723,1657,1517,1526,1363,1306,1402,1481,1538,1620,1736,1847,1852,1941,2013,1992,1959,2403
 "50000","Vermont",1,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",520,553,617,697,765,833,866,953,977,987,993,952,858,856,864,887,901,917,943,985,1006,1064,1085,1227,1434
 "50000","Vermont",1,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",649,694,759,771,816,880,928,965,1032,1052,1095,1078,1049,1027,1029,1036,1052,1078,1053,1065,1048,1071,1094,1243,1462
 "50000","Vermont",1,SAPCE2,7,"...","   Other durable goods ","Dollars",255,265,282,301,296,308,327,348,379,409,430,426,416,431,444,448,459,470,484,481,470,474,475,444,571
 "50000","Vermont",1,SAPCE2,8,"...","  Nondurable goods ","Dollars",5069,5137,5503,5897,6169,6339,6625,7091,7562,7965,8195,8685,8365,8712,9244,9329,9413,9496,9205,9097,9275,9716,9818,9945,10913
 "50000","Vermont",1,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",2000,2053,2168,2257,2373,2434,2514,2627,2747,2851,2980,3195,3313,3387,3508,3596,3618,3665,3692,3664,3693,3852,3923,4210,4443
 "50000","Vermont",1,SAPCE2,10,"...","   Clothing and footwear ","Dollars",884,872,886,902,893,884,882,897,921,932,916,877,826,836,841,841,855,866,872,875,867,875,878,778,967
 "50000","Vermont",1,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",624,551,606,788,815,798,929,1125,1329,1474,1527,1792,1340,1535,1828,1803,1759,1661,1242,1090,1191,1355,1260,940,1270
 "50000","Vermont",1,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1560,1660,1843,1951,2089,2223,2299,2443,2566,2707,2772,2822,2887,2955,3066,3089,3182,3304,3400,3468,3524,3634,3757,4017,4233
 "50000","Vermont",1,SAPCE2,13,"..."," Services ","Dollars",13836,14805,15623,16688,17615,18341,19424,20456,21704,22922,23765,24847,25163,25934,26888,27707,28308,29352,29975,30647,31224,32508,33397,31388,33978
 "50000","Vermont",1,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",13078,13848,14604,15558,16343,17109,18146,19153,20307,21326,22188,23070,23256,23920,24676,25325,25832,26785,27366,27899,28421,29592,30456,28286,31137
 "50000","Vermont",1,SAPCE2,15,"...","   Housing and utilities ","Dollars",4022,4228,4430,4693,5014,5173,5372,5655,6055,6363,6720,7046,7122,7229,7385,7607,7639,7944,8051,8121,8134,8556,8806,9126,9544
 "50000","Vermont",1,SAPCE2,16,"...","   Health care ","Dollars",2756,2926,3185,3440,3766,4155,4556,4792,5122,5466,5760,6052,6388,6629,6851,7125,7367,7552,7693,7961,8040,8325,8734,8350,8859
 "50000","Vermont",1,SAPCE2,17,"...","   Transportation services ","Dollars",666,711,762,822,884,908,979,1047,1094,1105,1098,1123,1060,1027,1099,1106,1107,1176,1199,1261,1262,1375,1418,1064,1255
 "50000","Vermont",1,SAPCE2,18,"...","   Recreation services ","Dollars",881,892,904,927,927,949,985,1038,1065,1122,1135,1180,1188,1231,1240,1313,1367,1408,1477,1579,1676,1744,1806,1249,1618
 "50000","Vermont",1,SAPCE2,19,"...","   Food services and accommodations ","Dollars",1487,1533,1580,1685,1717,1796,1883,2019,2096,2175,2227,2287,2281,2379,2482,2571,2671,2805,2929,2981,3099,3194,3269,2313,3125
 "50000","Vermont",1,SAPCE2,20,"...","   Financial services and insurance ","Dollars",1247,1393,1516,1698,1655,1672,1782,1952,2102,2182,2268,2291,2099,2216,2337,2374,2507,2639,2776,2737,2811,2847,2766,2759,2965
