GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11000","District of Columbia",2,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",19210.5,19755.8,21050.0,22397.9,23136.4,24138.4,25431.2,27219.5,28744.2,30129.2,31729.8,33021.3,32415.1,33892.4,35460.9,36737.2,38295.1,39914.0,41546.1,43139.6,45021.0,47626.2,49118.1,47733.5,52805.9
 "11000","District of Columbia",2,SAPCE3,2,"..."," Goods ","Millions of current dollars",6319.7,6167.7,6523.7,6803.9,6981.3,7192.4,7658.7,8179.6,8545.1,8894.1,9132.1,9063.0,8563.6,8955.5,9449.3,9893.2,10465.7,10854.7,11309.4,11755.9,12389.2,13050.3,13623.9,13777.6,15673.6
 "11000","District of Columbia",2,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",1856.2,1970.0,2134.1,2258.2,2367.6,2564.8,2705.5,2829.0,2878.1,2924.6,3004.8,2742.3,2557.1,2654.7,2795.0,2850.6,2992.7,3114.6,3269.5,3512.9,3709.5,3986.8,4179.1,4636.9,5652.4
 "11000","District of Columbia",2,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",790.8,810.3,847.7,898.7,928.8,982.8,1000.6,1016.7,1000.5,947.8,967.7,813.6,775.9,852.4,868.3,936.1,957.2,994.3,1080.9,1100.2,1128.7,1180.1,1185.5,1226.2,1539.5
 "11000","District of Columbia",2,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",390.0,411.5,464.1,506.6,542.4,562.3,594.1,596.5,575.2,527.3,528.8,408.1,375.0,422.5,467.5,531.0,543.1,563.8,593.5,583.4,588.9,604.7,611.4,614.3,713.6
 "11000","District of Columbia",2,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",252.8,269.8,299.0,315.6,314.2,320.1,297.5,308.0,305.0,296.3,306.1,275.6,278.5,297.5,262.0,261.8,269.2,284.1,330.4,357.5,376.5,411.0,405.3,447.6,637.5
 "11000","District of Columbia",2,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",147.9,129.0,84.6,76.5,72.2,100.4,109.0,112.2,120.3,124.2,132.8,129.9,122.4,132.4,138.8,143.3,144.9,146.3,157.0,159.3,163.3,164.4,168.8,164.3,188.5
 "11000","District of Columbia",2,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",392.5,420.1,484.0,522.2,513.2,521.0,554.8,620.5,672.3,717.5,688.4,636.7,545.6,535.9,592.3,629.4,695.6,755.8,794.0,861.8,883.5,946.8,988.4,1062.2,1191.4
 "11000","District of Columbia",2,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",219.9,234.0,275.6,311.5,314.7,313.3,325.4,367.1,411.2,446.9,443.1,416.8,347.0,339.0,373.3,393.0,417.5,450.7,485.3,528.9,551.6,601.6,641.2,702.3,792.9
 "11000","District of Columbia",2,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",42.1,46.6,51.5,49.0,47.2,52.3,60.4,67.7,70.3,73.4,66.6,63.9,58.2,60.3,71.7,80.1,105.9,120.2,124.0,139.5,141.8,152.9,159.1,164.7,177.6
 "11000","District of Columbia",2,SAPCE3,11,"...","    Glassware, tableware, and household utensils ","Millions of current dollars",85.8,91.3,105.5,106.6,112.4,112.6,119.2,130.4,134.6,137.4,133.9,121.7,109.0,104.3,100.1,95.7,86.8,86.7,89.0,88.1,91.6,92.0,96.2,100.2,121.3
 "11000","District of Columbia",2,SAPCE3,12,"...","    Tools and equipment for house and garden ","Millions of current dollars",44.7,48.3,51.4,55.2,38.8,42.8,49.8,55.3,56.1,59.8,44.8,34.3,31.4,32.3,47.3,60.7,85.3,98.2,95.7,105.3,98.5,100.3,92.0,95.0,99.6
 "11000","District of Columbia",2,SAPCE3,13,"...","   Recreational goods and vehicles ","Millions of current dollars",407.8,461.5,495.8,525.8,605.9,717.8,776.7,798.3,793.2,819.1,881.7,834.3,794.0,806.7,842.5,795.3,810.3,807.8,795.6,926.0,1029.4,1158.9,1276.5,1664.1,2096.6
 "11000","District of Columbia",2,SAPCE3,14,"...","    Video, audio, photographic, and information processing equipment and media ","Millions of current dollars",239.9,290.9,305.5,330.6,389.9,472.4,504.4,512.5,506.4,522.1,564.8,543.1,528.4,559.6,606.6,576.7,594.4,589.5,569.1,676.6,752.7,879.7,982.7,1321.3,1693.6
 "11000","District of Columbia",2,SAPCE3,15,"...","    Sporting equipment, supplies, guns, and ammunition ","Millions of current dollars",20.8,21.4,22.5,21.5,23.4,24.3,33.4,39.7,43.2,47.8,54.0,62.6,61.1,59.6,61.2,61.4,64.0,74.8,87.2,101.8,117.1,123.5,134.4,160.8,163.7
 "11000","District of Columbia",2,SAPCE3,16,"...","    Sports and recreational vehicles ","Millions of current dollars",26.3,26.9,27.8,28.3,30.2,32.9,33.4,35.2,37.1,39.9,43.3,43.0,38.8,37.5,36.0,35.4,33.5,32.1,32.3,33.4,35.4,33.3,31.6,29.4,41.1
 "11000","District of Columbia",2,SAPCE3,17,"...","    Recreational books ","Millions of current dollars",116.9,117.2,134.9,140.2,155.3,178.7,197.2,203.5,200.4,203.5,214.2,180.0,159.9,143.0,130.8,114.5,109.8,100.7,93.6,102.1,111.6,109.1,114.0,137.8,175.8
 "11000","District of Columbia",2,SAPCE3,18,"...","    Musical instruments ","Millions of current dollars",4.0,5.1,5.0,5.3,7.1,9.5,8.3,7.4,6.2,5.8,5.4,5.6,5.7,7.0,7.9,7.3,8.7,10.8,13.4,12.1,12.7,13.4,13.9,14.8,22.4
 "11000","District of Columbia",2,SAPCE3,19,"...","   Other durable goods ","Millions of current dollars",265.1,278.1,306.7,311.4,319.7,343.1,373.4,393.6,412.0,440.2,466.9,457.7,441.6,459.7,491.9,489.7,529.6,556.8,599.0,624.9,667.8,701.1,728.6,684.4,824.9
 "11000","District of Columbia",2,SAPCE3,20,"...","    Jewelry and watches ","Millions of current dollars",91.9,92.6,99.7,102.0,97.6,99.7,108.4,116.2,126.1,136.0,147.4,143.6,128.4,130.5,145.0,144.1,150.9,158.9,168.6,171.9,176.9,183.0,184.5,177.7,237.6
