GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "26000","Michigan",3,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",193173.8,202963.9,216244.2,229744.6,237983.4,245855.3,255035.6,266385.0,276927.9,285612.0,293658.7,301720.7,296896.8,308262.0,321336.1,332018.7,341805.2,356075.1,367102.3,380298.5,394195.6,411741.0,422231.1,411989.1,458227.3
 "26000","Michigan",3,SAPCE3,2,"..."," Goods ","Millions of current dollars",72633.5,75584.8,82043.3,86358.2,87828.1,89294.2,90639.7,93823.6,95072.8,96552.1,97314.4,98218.3,93212.1,97102.1,103206.1,105690.6,108134.1,112222.0,113842.2,116741.5,122473.3,127917.7,130862.2,134521.9,157781.0
 "26000","Michigan",3,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",25531.4,27145.9,30020.9,30972.7,31430.3,32516.8,31636.9,32300.2,31855.1,31206.4,30688.5,29262.9,27605.0,28602.7,30130.9,31498.3,32738.6,34752.0,36820.3,38358.7,40059.9,41815.4,42700.0,45751.3,57491.3
 "26000","Michigan",3,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",10758.7,11299.5,12363.0,12286.8,12885.4,13469.4,12122.8,11364.7,10213.9,8877.6,8161.0,7617.6,7604.3,8489.8,9256.7,9980.9,10625.9,11836.5,12670.3,13220.2,14030.7,14393.8,14253.5,14593.7,18322.6
 "26000","Michigan",3,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",6127.6,6500.8,7252.4,7320.6,7916.6,8381.3,7708.9,7079.8,6187.3,5150.7,4617.7,4023.2,3947.1,4493.8,5240.3,5919.5,6315.9,7121.8,7438.0,7566.1,7984.9,8055.3,7998.4,8126.8,9587.7
 "26000","Michigan",3,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",3071.4,3250.2,3519.2,3361.2,3404.1,3521.8,2840.7,2696.5,2414.3,2117.5,1930.3,1973.2,2103.1,2277.0,2130.8,2111.0,2266.4,2602.2,2993.6,3323.0,3633.2,3847.6,3688.3,3837.1,5672.7
 "26000","Michigan",3,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",1559.6,1548.5,1591.4,1605.1,1564.8,1566.2,1573.2,1588.5,1612.3,1609.3,1613.0,1621.1,1554.2,1719.0,1885.6,1950.4,2043.6,2112.5,2238.7,2331.1,2412.6,2490.9,2566.8,2629.8,3062.2
 "26000","Michigan",3,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",5881.7,6294.2,6837.5,7335.2,7393.2,7600.8,7606.5,8002.2,7951.9,7859.0,7533.6,7046.4,6397.2,6499.1,6678.1,6966.5,7145.9,7410.0,8019.3,8593.5,9074.5,9533.2,9755.3,10717.1,12990.0
 "26000","Michigan",3,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",3545.9,3773.8,4057.1,4351.7,4344.4,4458.3,4483.8,4755.0,4762.7,4719.6,4563.2,4165.4,3720.5,3811.7,3903.9,4120.6,4241.3,4419.9,4856.2,5269.6,5600.1,5931.1,6124.2,6740.9,8330.7
 "26000","Michigan",3,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",864.0,919.3,1004.3,1068.2,1104.6,1146.4,1127.5,1220.9,1277.2,1288.5,1236.5,1223.8,1146.4,1145.1,1211.8,1272.3,1338.2,1358.6,1415.1,1470.5,1497.2,1567.2,1586.5,1776.3,2065.2
