GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "38000","North Dakota",4,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",12002.4,12587.8,13190.0,13971.0,14725.9,15415.9,16264.8,17299.6,18379.5,19392.6,20527.1,21592.7,22215.9,23590.4,25806.9,28326.3,30418.9,32422.6,33195.7,32848.8,33017.3,34104.2,34788.1,33820.5,37338.5
 "38000","North Dakota",4,SAPCE3,2,"..."," Goods ","Millions of current dollars",4443.8,4570.8,4813.7,5079.7,5319.9,5590.1,5911.2,6302.5,6650.6,7138.4,7514.1,7761.8,7753.5,8315.8,9163.8,10179.2,10741.2,11141.2,10971.0,10478.5,10338.6,10659.5,10688.9,11153.3,12800.2
 "38000","North Dakota",4,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",1624.3,1683.4,1759.7,1854.9,1977.7,2107.6,2204.0,2333.5,2432.1,2563.6,2723.1,2650.4,2691.2,2920.9,3197.3,3597.8,3786.1,3947.2,4035.3,3874.0,3841.6,4001.5,4029.2,4457.2,5328.1
 "38000","North Dakota",4,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",686.5,662.6,692.6,711.6,782.3,809.8,815.9,830.2,817.4,788.5,847.2,824.1,885.8,1029.7,1148.7,1301.9,1388.9,1456.4,1480.8,1378.5,1410.7,1468.0,1468.9,1541.2,1868.6
 "38000","North Dakota",4,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",306.0,296.1,315.5,330.7,383.4,401.6,422.9,420.8,404.5,373.8,395.9,347.9,362.8,439.7,532.5,632.9,679.2,709.0,704.9,639.7,650.2,667.1,673.3,704.8,772.8
 "38000","North Dakota",4,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",276.9,267.8,278.4,281.6,300.0,306.0,281.5,289.2,286.8,282.5,306.4,318.4,361.7,412.6,399.7,418.9,450.6,474.9,515.6,510.8,540.9,586.1,578.8,617.6,842.8
 "38000","North Dakota",4,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",103.6,98.7,98.7,99.3,98.8,102.1,111.5,120.3,126.0,132.2,144.9,157.8,161.4,177.4,216.4,250.2,259.2,272.5,260.2,228.0,219.6,214.8,216.9,218.9,253.0
 "38000","North Dakota",4,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",379.5,405.0,418.3,440.3,457.3,488.3,510.0,548.3,588.8,618.3,641.9,611.1,607.5,643.1,709.1,835.3,881.1,926.2,950.1,909.8,868.1,903.5,916.5,1058.7,1261.8
 "38000","North Dakota",4,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",207.1,217.1,223.2,235.1,240.6,253.1,272.7,305.5,338.9,359.9,387.9,372.4,365.1,384.6,423.1,501.9,533.4,565.9,589.1,568.6,550.2,581.6,598.7,709.0,858.2
 "38000","North Dakota",4,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",62.7,66.3,68.4,71.9,77.8,85.3,91.2,98.4,108.8,119.3,121.5,125.6,124.9,129.1,138.6,156.0,167.4,176.7,180.6,176.5,168.6,171.7,169.0,187.6,217.4
 "38000","North Dakota",4,SAPCE3,11,"...","    Glassware, tableware, and household utensils ","Millions of current dollars",75.9,84.4,90.5,97.1,104.3,114.5,108.6,104.3,98.5,94.4,89.1,64.9,69.4,74.6,82.1,92.3,92.0,90.7,91.1,84.2,75.8,74.2,73.1,78.7,94.1
 "38000","North Dakota",4,SAPCE3,12,"...","    Tools and equipment for house and garden ","Millions of current dollars",33.8,37.2,36.1,36.1,34.7,35.4,37.6,40.0,42.5,44.7,43.5,48.3,48.1,54.8,65.3,85.0,88.3,92.9,89.2,80.4,73.5,76.0,75.7,83.4,92.1
 "38000","North Dakota",4,SAPCE3,13,"...","   Recreational goods and vehicles ","Millions of current dollars",346.1,389.4,412.2,455.4,493.9,552.5,608.2,673.0,735.1,837.1,899.5,878.1,865.8,883.6,932.9,1012.8,1058.6,1090.4,1118.2,1114.3,1110.2,1174.0,1189.8,1423.7,1624.4
 "38000","North Dakota",4,SAPCE3,14,"...","    Video, audio, photographic, and information processing equipment and media ","Millions of current dollars",145.7,161.7,170.3,190.7,207.3,239.3,286.2,343.3,410.5,495.1,555.2,528.7,533.9,522.2,533.2,550.0,561.8,578.9,577.6,579.1,611.8,662.5,694.7,822.3,890.6
 "38000","North Dakota",4,SAPCE3,15,"...","    Sporting equipment, supplies, guns, and ammunition ","Millions of current dollars",125.5,144.3,159.4,172.3,189.7,204.0,199.1,191.3,181.6,189.1,179.0,184.8,186.2,200.2,221.6,248.0,268.1,279.0,301.7,307.0,284.0,293.9,282.9,351.3,417.0
 "38000","North Dakota",4,SAPCE3,16,"...","    Sports and recreational vehicles ","Millions of current dollars",63.6,71.2,68.9,76.4,79.3,88.4,100.6,114.6,118.7,125.4,137.2,139.3,120.9,138.3,156.4,193.7,207.6,210.2,216.4,204.8,191.9,194.2,189.7,226.6,289.8
 "38000","North Dakota",4,SAPCE3,17,"...","    Recreational books ","Millions of current dollars",6.4,6.8,7.8,8.9,9.6,11.6,12.5,13.1,12.4,13.8,14.1,12.1,12.5,11.4,10.2,9.3,9.0,9.1,8.2,9.3,8.9,9.1,8.2,8.4,8.7
 "38000","North Dakota",4,SAPCE3,18,"...","    Musical instruments ","Millions of current dollars",4.9,5.3,5.7,7.1,8.0,9.2,9.8,10.6,11.9,13.7,14.0,13.2,12.4,11.5,11.4,11.7,12.2,13.1,14.3,14.1,13.6,14.3,14.4,15.2,18.4
 "38000","North Dakota",4,SAPCE3,19,"...","   Other durable goods ","Millions of current dollars",212.2,226.5,236.7,247.6,244.1,257.1,269.9,282.1,290.8,319.8,334.5,337.1,332.0,364.5,406.7,447.8,457.5,474.2,486.2,471.4,452.6,456.0,454.1,433.5,573.2
 "38000","North Dakota",4,SAPCE3,20,"...","    Jewelry and watches ","Millions of current dollars",84.0,87.0,87.3,89.5,87.5,91.5,96.9,103.0,108.6,123.1,131.4,133.2,120.4,129.4,147.5,163.9,169.0,178.1,180.7,168.9,154.1,152.5,149.4,145.9,219.1
